split,method,leg_pct,card_pct,slates
Train_2023,Frozen_V1,0.6868686868686869,0.3939393939393939,33
Train_2023,Engine_A_market,0.6256410256410256,0.2923076923076923,65
Train_2023,Engine_B_market_day,0.6256410256410256,0.2923076923076923,65
Train_2023,Engine_C_full,0.6198830409356725,0.2807017543859649,57
Train_2023,Engine_D_rules,0.6256410256410256,0.2923076923076923,65
Train_2023,Engine_A_market+DQ,0.696969696969697,0.42424242424242425,33
Train_2023,Engine_B_market_day+DQ,0.696969696969697,0.42424242424242425,33
Train_2023,Engine_C_full+DQ,0.6538461538461539,0.34615384615384615,26
Train_2023,Engine_D_rules+DQ,0.6767676767676768,0.36363636363636365,33
Val_2024,Frozen_V1,0.6931818181818182,0.3409090909090909,88
Val_2024,Engine_A_market,0.6816479400749064,0.33707865168539325,89
Val_2024,Engine_B_market_day,0.6779026217228464,0.3258426966292135,89
Val_2024,Engine_C_full,0.6761904761904762,0.3,70
Val_2024,Engine_D_rules,0.651685393258427,0.2808988764044944,89
Val_2024,Engine_A_market+DQ,0.6856060606060606,0.3409090909090909,88
Val_2024,Engine_B_market_day+DQ,0.6818181818181818,0.32954545454545453,88
Val_2024,Engine_C_full+DQ,0.6811594202898551,0.30434782608695654,69
Val_2024,Engine_D_rules+DQ,0.6590909090909091,0.2840909090909091,88
OOS_2025,Frozen_V1,0.6948356807511737,0.3380281690140845,71
OOS_2025,Engine_A_market,0.7129629629629629,0.375,72
OOS_2025,Engine_B_market_day,0.7083333333333334,0.3611111111111111,72
OOS_2025,Engine_C_full,0.6540880503144654,0.3018867924528302,53
OOS_2025,Engine_D_rules,0.6851851851851852,0.3194444444444444,72
OOS_2025,Engine_A_market+DQ,0.7136150234741784,0.38028169014084506,71
OOS_2025,Engine_B_market_day+DQ,0.7089201877934272,0.36619718309859156,71
OOS_2025,Engine_C_full+DQ,0.6538461538461539,0.3076923076923077,52
OOS_2025,Engine_D_rules+DQ,0.6854460093896714,0.323943661971831,71
