column_name,classification,reason
opp_sp_workload_pitches_last_5,SAFE_FEATURE,PIT-safe pregame
opp_sp_workload_pitches_last_10,SAFE_FEATURE,PIT-safe pregame
opp_sp_workload_ppbf_last_3,SAFE_FEATURE,PIT-safe pregame
opp_sp_workload_ppbf_last_5,SAFE_FEATURE,PIT-safe pregame
opp_sp_workload_ppbf_last_10,SAFE_FEATURE,PIT-safe pregame
opp_sp_damage_hr_rate_last_3,SAFE_FEATURE,PIT-safe pregame
opp_sp_damage_hr_rate_last_5,SAFE_FEATURE,PIT-safe pregame
opp_sp_damage_hr_rate_last_10,SAFE_FEATURE,PIT-safe pregame
opp_sp_damage_hits_per_bf_last_3,SAFE_FEATURE,PIT-safe pregame
opp_sp_damage_hits_per_bf_last_5,SAFE_FEATURE,PIT-safe pregame
opp_sp_damage_hits_per_bf_last_10,SAFE_FEATURE,PIT-safe pregame
home_score,EXCLUDED,identifier or outcome
away_score,EXCLUDED,identifier or outcome
actual_total,EXCLUDED,identifier or outcome
actual_f5_total,EXCLUDED,identifier or outcome
venue_id,EXCLUDED,identifier or outcome
venue_name,EXCLUDED,identifier or outcome
park_id,EXCLUDED,identifier or outcome
home_rest_days,SAFE_FEATURE,PIT-safe pregame
away_rest_days,SAFE_FEATURE,PIT-safe pregame
doubleheader_flag,EXCLUDED,identifier or outcome
temperature,SAFE_FEATURE,PIT-safe pregame
wind_speed,FORBIDDEN_FEATURE,market/outcome derived
wind_direction,FORBIDDEN_FEATURE,market/outcome derived
roof_status,EXCLUDED,identifier or outcome
park_factor_runs,FORBIDDEN_FEATURE,market/outcome derived
park_factor_hr,SAFE_FEATURE,PIT-safe pregame
umpire_name,EXCLUDED,identifier or outcome
umpire_id,EXCLUDED,identifier or outcome
game_hour_utc,EXCLUDED,identifier or outcome
local_start_hour,EXCLUDED,identifier or outcome
innings_played,EXCLUDED,identifier or outcome
completed_early,EXCLUDED,identifier or outcome
umpire_matched,EXCLUDED,identifier or outcome
batting_total_bip_last_1,SAFE_FEATURE,PIT-safe pregame
batting_avg_exit_velo_last_1,SAFE_FEATURE,PIT-safe pregame
batting_hard_hit_rate_last_1,SAFE_FEATURE,PIT-safe pregame
batting_barrel_rate_last_1,SAFE_FEATURE,PIT-safe pregame
batting_xwoba_contact_last_1,SAFE_FEATURE,PIT-safe pregame
batting_total_bip_last_3,SAFE_FEATURE,PIT-safe pregame
batting_avg_exit_velo_last_3,SAFE_FEATURE,PIT-safe pregame
batting_hard_hit_rate_last_3,SAFE_FEATURE,PIT-safe pregame
batting_barrel_rate_last_3,SAFE_FEATURE,PIT-safe pregame
