model,R2,signal_H_coef,signal_H_p,delta_R2
M1,0.027717479004154777,,,
M2,0.029789907810040095,,,0.002072428805885318
M3,0.03020432021625996,1.771665363001695,0.7709063340183261,0.0004144124062198662
