player_name,player_id,team,opponent,game_date,season,dataset_split,proj_ip,actual_ip,proj_tbf,actual_tbf,proj_k,actual_k,k_rate,bf_ip,statcast_available,csw_mod,whiff_mod,velo_mod,opp_k_mod,line,lean,edge,edge_bucket,model_prob_over,model_prob_under,model_prob_over_analytical,implied_prob_over,implied_prob_under,actual_odds,bet_win,seg_A,seg_B,seg_D,seg_E,n_books
Dean Kremer,665152.0,BAL,CHW,2023-08-29,2023,TRAIN,5.99,6.0,26.0,24,4.9,,0.1883,4.35,True,0.981,0.923,1.0,1.0,4.5,UNDER,0.066,5%+,0.5092,0.4908,0.5424,0.5752,0.4248,-146.0,,False,True,False,False,9
Jesse Scholtens,669947.0,CWS,BAL,2023-08-29,2023,TRAIN,4.96,5.1,23.1,22,3.79,,0.1643,4.65,True,0.987,0.963,1.0,0.994,3.5,UNDER,0.0173,0-2%,0.5006,0.4994,0.5249,0.5179,0.4821,-770.0,,False,True,False,False,9
Quinn Priester,682990.0,BOS,TBR,2024-09-29,2024,VALIDATION,5.13,5.0,24.7,20,3.16,2.0,0.1276,4.82,True,0.992,0.958,1.0,1.0,3.5,UNDER,0.1964,5%+,0.3658,0.6342,0.3879,0.5622,0.4378,114.0,1.0,False,True,False,False,7
Ryan Pepiot,686752.0,TB,BOS,2024-09-29,2024,VALIDATION,4.48,4.0,20.7,18,7.25,5.0,0.3496,4.63,True,1.019,1.08,1.0,1.13,5.5,OVER,0.0597,5%+,0.6412,0.3588,0.7296,0.5815,0.4185,-305.0,0.0,False,True,True,False,7
Shane Baz,669358.0,TB,CLE,2025-08-26,2025,OOS,5.05,6.0,23.7,23,7.19,,0.3032,4.7,True,1.046,1.07,1.0,0.97,5.5,OVER,0.1514,5%+,0.6432,0.3568,0.7231,0.4918,0.5082,-104.0,,False,True,False,False,8
Edward Cabrera,665795.0,MIA,SEA,2023-06-13,2023,TRAIN,5.38,4.0,22.9,19,8.83,4.0,0.386,4.25,True,1.039,1.08,1.0,1.148,6.5,OVER,0.2359,5%+,0.7212,0.2788,0.7774,0.4853,0.5147,100.0,0.0,False,True,True,False,11
George Kirby,669923.0,SEA,MIA,2023-06-13,2023,TRAIN,5.74,6.0,25.8,22,4.56,10.0,0.1765,4.5,True,1.013,0.92,1.0,0.951,4.5,UNDER,0.1103,5%+,0.4574,0.5426,0.4794,0.5677,0.4323,-154.0,0.0,False,True,False,False,11
Patrick Corbin,571578.0,WSH,CHW,2024-05-15,2024,VALIDATION,5.13,5.2,24.1,23,3.17,,0.1314,4.7,True,0.92,0.92,1.0,1.0,4.5,UNDER,0.1866,5%+,0.2206,0.7794,0.2135,0.4072,0.5928,-166.0,,False,True,False,False,10
Garrett Crochet,676979.0,CWS,CHW,2024-05-15,2024,VALIDATION,5.25,5.0,22.2,21,8.18,,0.3679,4.24,True,1.001,1.05,1.0,1.0,6.5,OVER,0.1968,5%+,0.6406,0.3594,0.7077,0.4438,0.5562,115.0,,False,True,False,False,7
Sandy Alcantara,645261.0,MIA,ATL,2025-06-22,2025,OOS,5.4,6.0,25.4,26,4.41,4.0,0.1734,4.71,True,0.983,0.92,1.0,0.974,3.5,OVER,0.0693,5%+,0.604,0.396,0.6419,0.5347,0.4653,-140.0,1.0,False,True,False,False,3
Bryce Elder,693821.0,ATL,MIA,2025-06-22,2025,OOS,5.63,5.1,24.8,27,4.82,4.0,0.1941,4.41,True,0.979,0.978,1.0,0.904,4.5,UNDER,0.0293,2-5%,0.491,0.509,0.5273,0.5203,0.4797,-135.0,1.0,False,True,False,False,3
Landen Roupp,694738.0,SF,SFG,2025-04-24,2025,OOS,5.0,3.2,21.4,20,7.48,,0.3487,4.29,True,1.086,1.08,1.0,1.0,5.5,OVER,0.1951,5%+,0.6736,0.3264,0.7562,0.4785,0.5215,-104.0,,True,False,False,False,8
Garrett Crochet,676979.0,CWS,SEA,2024-06-13,2024,VALIDATION,5.85,7.0,23.5,25,11.46,13.0,0.487,4.02,True,1.049,1.08,1.0,1.18,7.5,OVER,0.2506,5%+,0.8004,0.1996,0.8841,0.5498,0.4502,-159.0,1.0,False,True,True,False,9
Yusei Kikuchi,579328.0,TOR,LAD,2024-04-27,2024,VALIDATION,5.66,6.0,23.5,27,7.89,3.0,0.3349,4.16,True,1.061,1.08,1.0,0.958,5.5,OVER,0.2173,5%+,0.7568,0.2432,0.798,0.5395,0.4605,-295.0,0.0,True,True,False,False,10
Tyler Glasnow,607192.0,LAD,TOR,2024-04-27,2024,VALIDATION,6.57,6.0,25.9,24,9.01,9.0,0.3473,3.95,True,1.073,1.08,1.0,0.901,7.5,OVER,0.161,5%+,0.6276,0.3724,0.6768,0.4666,0.5334,-110.0,1.0,True,True,False,False,10
Tanner Houck,656557.0,BOS,KCR,2023-09-02,2023,TRAIN,4.78,5.0,20.7,26,3.97,5.0,0.1913,4.34,True,1.011,1.053,1.0,1.0,4.5,UNDER,0.1453,5%+,0.3392,0.6608,0.3644,0.4845,0.5155,-265.0,0.0,False,True,False,False,9
Alec Marsh,679525.0,KC,KCR,2023-09-02,2023,TRAIN,4.3,2.2,22.2,17,6.38,1.0,0.2874,5.16,True,1.021,1.08,1.0,1.0,4.5,OVER,0.1929,5%+,0.6914,0.3086,0.7625,0.4985,0.5015,-250.0,0.0,False,True,False,False,9
Aaron Civale,650644.0,MIL,BOS,2025-05-27,2025,OOS,3.5,5.0,14.7,18,2.31,,0.1573,4.2,False,1.0,1.0,1.0,1.016,4.5,UNDER,0.4586,5%+,0.1137,0.8863,0.0851,0.5723,0.4277,128.0,,False,False,False,False,5
Dylan Cease,656302.0,CWS,CLE,2023-05-23,2023,TRAIN,5.41,6.0,24.9,24,4.58,,0.1839,4.6,True,0.997,1.063,1.0,0.82,5.5,UNDER,0.1205,5%+,0.2938,0.7062,0.3111,0.4143,0.5857,-345.0,,False,True,False,False,10
Zach Davies,605200.0,AZ,ARI,2023-09-06,2023,TRAIN,4.79,3.0,23.0,19,4.17,,0.1815,4.79,True,0.985,0.94,1.0,1.0,5.5,UNDER,0.1989,5%+,0.2517,0.7483,0.2412,0.4506,0.5494,-300.0,,False,True,False,False,7
Zachary Davies,605200.0,AZ,ARI,2023-09-06,2023,TRAIN,4.79,3.0,23.0,19,4.17,,0.1815,4.79,True,0.985,0.94,1.0,1.0,5.5,UNDER,0.1881,5%+,0.264,0.736,0.2412,0.452,0.548,-141.0,,False,True,False,False,2
