market,archetype,course_type,N,book_resid_pp,p_value,ACTUAL_ODDS_ROI,dg_controlled_pp,flag
top_20,STYLE_01,LOW_SCORING_ENV,7077,0.0064967871141280945,0.9869736440274517,0.04595293760154551,4.810495975414735,
top_20,STYLE_01,MID_SCORING_ENV,7684,-1.3161540057190977,0.00045578012422732507,-9.468226136211877,3.2690475723613823,
top_20,STYLE_01,HIGH_SCORING_ENV,5485,5.120818003820114,1.8799739793391026e-25,37.746020147160465,10.13981117631493,INTERACTION_CANDIDATE
top_20,STYLE_02,LOW_SCORING_ENV,2539,-2.334854770832014,0.000349864098866148,-14.591335103203917,1.4709678224825444,
top_20,STYLE_02,MID_SCORING_ENV,2668,1.6612754017019467,0.029931028213420956,9.705505422106132,5.931127949568584,
top_20,STYLE_02,HIGH_SCORING_ENV,3451,-1.548752755361486,0.01162952091268393,-9.745228434939989,4.551043042698004,
top_20,STYLE_03,LOW_SCORING_ENV,34658,6.832907767767393,6.365015512113284e-175,31.458502950426247,10.155426445823887,INTERACTION_CANDIDATE
top_20,STYLE_03,MID_SCORING_ENV,39916,8.166671736379271,4.5408329193758496e-287,37.798427391378866,10.76732281569597,INTERACTION_CANDIDATE
top_20,STYLE_03,HIGH_SCORING_ENV,43852,10.48786120802809,0.0,51.962580862387874,12.568707768209014,INTERACTION_CANDIDATE
top_20,STYLE_04,LOW_SCORING_ENV,9669,1.753461780884609,1.789757971344131e-05,9.15722850328946,5.647073331180795,
top_20,STYLE_04,MID_SCORING_ENV,10896,6.245315291331586,1.9018655994460687e-53,34.25552357717845,9.2876162568006,INTERACTION_CANDIDATE
top_20,STYLE_04,HIGH_SCORING_ENV,10863,4.414166614103979,2.168040248462461e-29,24.774664144023163,7.759112531614186,INTERACTION_CANDIDATE
top_10,STYLE_01,LOW_SCORING_ENV,6959,0.910547850021062,0.0037112644095314224,12.758872825667078,3.4704760764113054,
top_10,STYLE_01,MID_SCORING_ENV,7581,-0.6227315762916718,0.018975713382127567,-9.571855728712952,1.6643285535152368,
top_10,STYLE_01,HIGH_SCORING_ENV,5169,3.303485328665313,3.4698892885367825e-18,48.203417468777474,5.857039667403486,INTERACTION_CANDIDATE
top_10,STYLE_02,LOW_SCORING_ENV,2511,-0.05822279110309933,0.9118802996992305,-0.7479584149038265,1.864553104508544,
top_10,STYLE_02,MID_SCORING_ENV,2559,0.3438850060585602,0.5504775876212611,4.070313602871356,2.911746864814108,
top_10,STYLE_02,HIGH_SCORING_ENV,3320,-1.8556079900602591,1.7088745211506188e-06,-26.831239410016817,0.9768768492314934,
top_10,STYLE_03,LOW_SCORING_ENV,34643,2.8469657187913344,3.224406464226105e-50,22.954091338813964,5.3851235440639424,
top_10,STYLE_03,MID_SCORING_ENV,39531,2.355570940209608,4.392774642745741e-43,20.33670029765069,4.178212925698699,
top_10,STYLE_03,HIGH_SCORING_ENV,43349,4.289472244348926,4.722782147233063e-136,38.871564587540306,5.995991310095702,INTERACTION_CANDIDATE
top_10,STYLE_04,LOW_SCORING_ENV,9530,-0.6717605272930934,0.02223327199976703,-6.633941193046766,1.7018336185200136,
top_10,STYLE_04,MID_SCORING_ENV,10665,0.7548642763906697,0.008526993394440937,7.548687178903202,3.120779820000218,
top_10,STYLE_04,HIGH_SCORING_ENV,10418,3.1784132810365753,2.499921530680446e-24,34.42524413672645,5.073197358285738,INTERACTION_CANDIDATE
top_5,STYLE_01,LOW_SCORING_ENV,7092,0.35662898396492354,0.12600703654537915,9.308573694998756,2.042728338022108,
top_5,STYLE_01,MID_SCORING_ENV,7649,-0.5818725667606285,0.0028525793977873986,-16.15471212751174,0.831933885219501,
top_5,STYLE_01,HIGH_SCORING_ENV,5485,1.8332748671635566,6.758943664422563e-11,53.6451728804237,3.4811708624761573,
top_5,STYLE_02,LOW_SCORING_ENV,2545,0.7436063234360075,0.08063495873386659,17.35021125151459,2.2196979809536446,
top_5,STYLE_02,MID_SCORING_ENV,2661,0.39322308232700337,0.3580867112697208,8.75354454156383,1.8644788060956576,
top_5,STYLE_02,HIGH_SCORING_ENV,3450,-0.9073220861169937,0.003281577729511217,-21.107256005140172,1.5388471027332344,
top_5,STYLE_03,LOW_SCORING_ENV,35014,1.9950687149427948,4.70358129030184e-42,31.361171453384394,3.4204751575498933,
top_5,STYLE_03,MID_SCORING_ENV,39902,1.0491775316002583,1.7236639022145203e-16,17.462680234615036,2.0945449649125605,
top_5,STYLE_03,HIGH_SCORING_ENV,43893,1.99668632678689,1.6019229286850705e-54,34.76979496879209,3.1094093993141487,
top_5,STYLE_04,LOW_SCORING_ENV,9712,-0.9092525528124524,5.5014156656589534e-06,-17.03752307576548,0.7436648580029206,
top_5,STYLE_04,MID_SCORING_ENV,10886,0.16795138606301413,0.43295483972575965,3.375045314820291,1.5584452144244665,
top_5,STYLE_04,HIGH_SCORING_ENV,10891,0.07187116054624079,0.7228685671329167,1.481994598102121,1.59893988339478,
