market,archetype,divergence_N,divergence_resid_pp,divergence_ROI,comparison_N,comparison_resid_pp,gap_pp
top_20,STYLE_01,24573,-4.6809613886910535,-31.3655140323858,95782,2.078730023682842,-6.759691412373895
top_20,STYLE_02,10687,-7.003277566032004,-41.708842837639004,39612,1.0661165030962712,-8.069394069128276
top_20,STYLE_03,171287,2.7710734583639933,13.187433744674681,551985,10.54750768488434,-7.776434226520347
top_20,STYLE_04,43225,-0.23869793674739698,-1.301398553228983,147420,6.015683395914824,-6.254381332662221
top_10,STYLE_01,24196,-1.6131764766607395,-21.094907824803954,93377,1.702780263207378,-3.315956739868118
top_10,STYLE_02,10605,-3.4862198971254976,-43.76792457196302,38186,0.45406598522111546,-3.940285882346613
top_10,STYLE_03,170507,0.47243325763715266,4.09492451386646,547646,4.076127749131722,-3.603694491494569
top_10,STYLE_04,42373,-0.04459985245169315,-0.470587004173606,143546,1.7332545196108329,-1.777854372062526
top_5,STYLE_01,24588,-1.0431409626917925,-25.895076912210303,95597,0.7292231167907266,-1.772364079482519
top_5,STYLE_02,10667,-1.3183747166076663,-30.008902891958954,39596,0.5767278813360082,-1.8951025979436744
top_5,STYLE_03,171796,0.04039170601876651,0.6647565542568179,553312,2.149910839483479,-2.1095191334647123
top_5,STYLE_04,43234,-1.4232868471907643,-29.02094581113802,147644,0.3285239587739186,-1.7518108059646829
