market,archetype,N,mean_book_resid_pp,sd_book_resid,t_stat,p_value,actual_hit_pct,book_implied_pct,ACTUAL_ODDS_ROI,dg_resid_phase3c,compression_pp,flag
top_20,ALL,29392,5.975970222857669,42.73880797819112,23.9717968797381,8.848368486923173e-126,25.728089275993465,19.752119053135797,30.254830921085095,9.23457279941243,3.25860257655476,
top_20,STYLE_01,3404,0.67710332934762,33.89985529066541,1.165337925481442,0.24396390899167494,14.659224441833137,13.982121112485519,4.842636706550851,5.407511890720418,4.730408561372798,NULL
top_20,STYLE_02,1483,-1.2471997962795536,35.90868066990139,-1.337541167606387,0.18125128097349755,15.23937963587323,16.48657943215278,-7.564939722106412,3.645817952156802,4.893017748436355,NULL
top_20,STYLE_03,19340,8.012968027439214,44.870621450093836,24.83473671912526,4.738625533523067e-134,29.34332988624612,21.33036185880691,37.566020119488996,10.744469815646635,2.731501788207421,CANDIDATE
top_20,STYLE_04,5165,3.914743989223901,40.93301171085862,6.873292547735665,7.016513629079056e-12,22.49757986447241,18.582835875248506,21.066450866297348,7.562465434914454,3.647721445690553,CANDIDATE
top_10,ALL,28903,2.21527088132059,32.80803585817824,11.479370403429977,1.949950590739692e-30,12.925993841469744,10.710722960149154,20.68273906031215,4.4067125671239635,2.1914416858033734,
top_10,STYLE_01,3302,0.7854268367143171,25.188459504388355,1.7918129183410922,0.07325449956499779,7.662023016353725,6.8765961796394075,11.421738549078263,3.359741029217626,2.574314192503309,NULL
top_10,STYLE_02,1434,-1.1313959620558236,25.096448579131312,-1.707170634191672,0.08800696705647658,6.624825662482567,7.75622162453839,-14.586947315641686,1.3042637044139718,2.435659666469795,NULL
top_10,STYLE_03,19148,2.996982144724699,35.02157931830141,11.841593214113232,3.082562613736646e-32,14.795278880300813,11.798296735576116,25.401820380459796,5.064549953173945,2.0675678084492457,CANDIDATE
top_10,STYLE_04,5019,1.12984709511414,30.23699638491506,2.6472174880694808,0.008141078472331992,11.05797967722654,9.9281325821124,11.380257926347536,3.462720202874729,2.332873107760589,NULL
top_5,ALL,29493,1.0153870843096264,24.562053890551812,7.099478207282625,1.280600357072535e-12,6.584613298070728,5.569226213761103,18.232103443754653,2.361665083463477,1.3462779991538505,
top_5,STYLE_01,3402,0.221226950329382,18.73333581591927,0.688795131419862,0.49099918313200236,3.880070546737213,3.658843596407831,6.0463625869817905,1.7002883515227014,1.4790614011933194,NULL
top_5,STYLE_02,1484,-0.2731303684787839,19.870913906451744,-0.5295038221804133,0.5965352467107509,4.110512129380054,4.383642497858838,-6.230671607280758,1.5214741125766793,1.794604481055463,NULL
top_5,STYLE_03,19428,1.5482293441442248,26.490251703144317,8.146353599270597,3.9755432773466377e-16,7.664196005764875,6.11596666162065,25.31454845657979,2.7547077458107174,1.2064784016664927,WATCH
top_5,STYLE_04,5179,-0.09258100766329908,21.36784225765103,-0.31180580039832606,0.7552006693565346,5.020274184205445,5.1128551918687455,-1.8107496533548817,1.5331098682200794,1.6256908758833786,NULL
