signal,family,bucket,window,N_flagged,N_nonflagged,over_rate_flagged,over_rate_nonflagged,over_rate_gap,break_even_gap,p_value,p_perm,direction_consistent,data_availability_clean,disposition
A5_HIGH_TURNOVER_LU,A,MID_TT,validation,186,1236,0.4462,0.4434,0.0029,-0.0776,1.0,1.0,YES,True,TESTED
A5_HIGH_TURNOVER_LU,A,MID_TT,oos,79,653,0.5443,0.4472,0.0971,0.0205,0.1292,0.1193,YES,True,TESTED
A5_HIGH_TURNOVER_LU,A,HIGH_TT,discovery,4,23,,,,,,,N/A,True,INSUFFICIENT
A5_HIGH_TURNOVER_LU,A,HIGH_TT,validation,2,32,,,,,,,N/A,True,INSUFFICIENT
A5_HIGH_TURNOVER_LU,A,HIGH_TT,oos,3,18,,,,,,,N/A,True,INSUFFICIENT
B1_OPP_SHORT_LEASH,B,LOW_TT,discovery,408,1572,0.5221,0.4962,0.0259,-0.0017,0.3811,0.3802,N/A,True,TESTED
B1_OPP_SHORT_LEASH,B,LOW_TT,validation,250,1132,0.46,0.4867,-0.0267,-0.0638,0.4863,0.4837,NO,True,TESTED
B1_OPP_SHORT_LEASH,B,LOW_TT,oos,138,549,0.5652,0.561,0.0042,0.0414,1.0,1.0,YES,True,TESTED
B1_OPP_SHORT_LEASH,B,MID_TT,discovery,423,1246,0.4681,0.4888,-0.0207,-0.0557,0.4971,0.4742,N/A,True,TESTED
B1_OPP_SHORT_LEASH,B,MID_TT,validation,298,1124,0.3926,0.4573,-0.0647,-0.1312,0.0533,0.048,YES,True,TESTED
B1_OPP_SHORT_LEASH,B,MID_TT,oos,194,538,0.4175,0.4721,-0.0546,-0.1063,0.2208,0.2018,YES,True,TESTED
B1_OPP_SHORT_LEASH,B,HIGH_TT,discovery,12,15,0.3333,0.2667,0.0667,-0.1905,1.0,,N/A,True,THIN
B1_OPP_SHORT_LEASH,B,HIGH_TT,validation,11,23,0.3636,0.5217,-0.1581,-0.1602,0.4768,,NO,True,THIN
B1_OPP_SHORT_LEASH,B,HIGH_TT,oos,9,12,,,,,,,N/A,True,INSUFFICIENT
B2_OPP_INEFFICIENT,B,LOW_TT,discovery,452,1528,0.5265,0.4941,0.0324,0.0027,0.2468,0.2391,N/A,True,TESTED
B2_OPP_INEFFICIENT,B,LOW_TT,validation,281,1101,0.4911,0.4796,0.0115,-0.0327,0.7805,0.7319,YES,True,TESTED
B2_OPP_INEFFICIENT,B,LOW_TT,oos,177,510,0.5424,0.5686,-0.0263,0.0186,0.604,0.5959,NO,True,TESTED
B2_OPP_INEFFICIENT,B,MID_TT,discovery,514,1155,0.4514,0.4978,-0.0465,-0.0724,0.089,0.0747,N/A,True,TESTED
B2_OPP_INEFFICIENT,B,MID_TT,validation,416,1006,0.4231,0.4523,-0.0292,-0.1007,0.3421,0.3291,YES,True,TESTED
B2_OPP_INEFFICIENT,B,MID_TT,oos,234,498,0.453,0.4598,-0.0068,-0.0708,0.9252,0.8724,YES,True,TESTED
B2_OPP_INEFFICIENT,B,HIGH_TT,discovery,4,23,,,,,,,N/A,True,INSUFFICIENT
B2_OPP_INEFFICIENT,B,HIGH_TT,validation,18,16,0.3333,0.625,-0.2917,-0.1905,0.1749,,NO,True,THIN
B2_OPP_INEFFICIENT,B,HIGH_TT,oos,7,14,,,,,,,N/A,True,INSUFFICIENT
B3_OPP_DEPLETED_BRIDGE,B,LOW_TT,discovery,443,1537,0.4966,0.5029,-0.0063,-0.0272,0.857,0.8289,N/A,True,TESTED
B3_OPP_DEPLETED_BRIDGE,B,LOW_TT,validation,255,1127,0.4549,0.488,-0.0331,-0.0689,0.3754,0.3651,YES,True,TESTED
B3_OPP_DEPLETED_BRIDGE,B,LOW_TT,oos,144,543,0.5764,0.558,0.0184,0.0526,0.7636,0.7036,NO,True,TESTED
B3_OPP_DEPLETED_BRIDGE,B,MID_TT,discovery,371,1298,0.4771,0.4854,-0.0083,-0.0467,0.8241,0.8181,N/A,True,TESTED
B3_OPP_DEPLETED_BRIDGE,B,MID_TT,validation,312,1110,0.4455,0.4432,0.0023,-0.0783,0.9946,0.9492,NO,True,TESTED
B3_OPP_DEPLETED_BRIDGE,B,MID_TT,oos,158,574,0.443,0.4617,-0.0186,-0.0808,0.7443,0.7223,YES,True,TESTED
B3_OPP_DEPLETED_BRIDGE,B,HIGH_TT,discovery,3,24,,,,,,,N/A,True,INSUFFICIENT
B3_OPP_DEPLETED_BRIDGE,B,HIGH_TT,validation,7,27,,,,,,,N/A,True,INSUFFICIENT
B3_OPP_DEPLETED_BRIDGE,B,HIGH_TT,oos,0,21,,,,,,,N/A,True,INSUFFICIENT
B4_OPP_USAGE_STRESSED,B,LOW_TT,discovery,287,1693,0.5645,0.4908,0.0736,0.0407,0.0249,0.0239,N/A,True,TESTED
B4_OPP_USAGE_STRESSED,B,LOW_TT,validation,197,1185,0.4315,0.4903,-0.0588,-0.0923,0.1462,0.1461,NO,True,TESTED
B4_OPP_USAGE_STRESSED,B,LOW_TT,oos,139,548,0.5612,0.562,-0.0009,0.0374,1.0,1.0,NO,True,TESTED
B4_OPP_USAGE_STRESSED,B,MID_TT,discovery,277,1392,0.4765,0.4849,-0.0084,-0.0473,0.8501,0.8386,N/A,True,TESTED
B4_OPP_USAGE_STRESSED,B,MID_TT,validation,256,1166,0.4922,0.4331,0.0591,-0.0316,0.0982,0.0955,NO,True,TESTED
B4_OPP_USAGE_STRESSED,B,MID_TT,oos,212,520,0.4811,0.4481,0.0331,-0.0427,0.4639,0.4627,NO,True,TESTED
B4_OPP_USAGE_STRESSED,B,HIGH_TT,discovery,4,23,,,,,,,N/A,True,INSUFFICIENT
B4_OPP_USAGE_STRESSED,B,HIGH_TT,validation,10,24,0.5,0.4583,0.0417,-0.0238,1.0,,NO,True,THIN
B4_OPP_USAGE_STRESSED,B,HIGH_TT,oos,9,12,,,,,,,N/A,True,INSUFFICIENT
