engine,player_name,player_id,game_date,season,dataset_split,team,opponent,p_k,bf_mean,bf_std,beta_concentration,proj_k,actual_bf,actual_k,line,lean,edge,edge_bucket,model_prob_over,model_prob_under,implied_prob_over,implied_prob_under,actual_odds,bet_win,odds_flag,statcast_available,seg_A,seg_D,seg_E,n_books
BetaBinomial,Brandon Pfaadt,694297.0,2023-07-22,2023,TRAIN,AZ,CIN,0.2021,20.6,6.63,50.7,4.16,24,6.0,4.5,UNDER,0.0789,5%+,0.4008,0.5992,0.4797,0.5203,-285.0,0.0,False,True,False,True,False,6
BetaBinomial,Chris Bassitt,605135.0,2024-04-21,2024,VALIDATION,TOR,SDP,0.2181,23.5,4.67,50.0,5.12,23,4.0,4.5,OVER,0.0113,0-2%,0.5452,0.4548,0.5339,0.4661,-315.0,0.0,False,True,False,False,False,10
BetaBinomial,Joe Musgrove,605397.0,2024-04-21,2024,VALIDATION,SD,SDP,0.2078,26.2,8.36,18.0,5.44,25,3.0,4.5,UNDER,0.0078,0-2%,0.5326,0.4674,0.5404,0.4596,-210.0,1.0,False,True,False,False,False,10
BetaBinomial,Aaron Civale,650644.0,2024-04-09,2024,VALIDATION,TB,LAA,0.3078,21.0,4.2,50.0,6.46,21,4.0,5.5,OVER,0.0998,5%+,0.605,0.395,0.5052,0.4948,-115.0,0.0,False,False,False,False,False,10
BetaBinomial,Patrick Sandoval,663776.0,2024-04-09,2024,VALIDATION,LAA,TBR,0.223,13.7,4.2,50.0,3.06,24,6.0,5.5,UNDER,0.3792,5%+,0.1383,0.8617,0.5176,0.4824,-215.0,0.0,False,False,False,False,False,10
BetaBinomial,David Peterson,656849.0,2025-05-24,2025,OOS,NYM,LAD,0.2033,26.1,2.95,12.4,5.3,28,7.0,4.5,OVER,0.017,0-2%,0.5266,0.4734,0.5096,0.4904,-110.0,1.0,False,True,False,False,False,7
BetaBinomial,Tony Gonsolin,664062.0,2025-05-24,2025,OOS,LAD,NYM,0.2644,21.2,3.48,50.0,5.59,24,4.0,4.5,OVER,0.1089,5%+,0.6408,0.3592,0.5319,0.4681,-130.0,0.0,False,True,True,False,False,7
BetaBinomial,Jack Flaherty,656427.0,2024-08-03,2024,VALIDATION,LAD,OAK,0.3254,23.4,2.05,20.8,7.62,25,7.0,6.5,OVER,0.0541,5%+,0.6116,0.3884,0.5575,0.4425,-159.0,1.0,False,True,False,True,False,7
BetaBinomial,Mitch Spence,687765.0,2024-08-03,2024,VALIDATION,OAK,LAD,0.1752,24.1,4.71,37.3,4.22,24,6.0,4.5,UNDER,0.1356,5%+,0.4044,0.5956,0.54,0.46,-108.0,0.0,False,True,False,False,False,8
BetaBinomial,Michael Soroka,647336.0,2024-04-09,2024,VALIDATION,CWS,CLE,0.0668,21.0,4.2,50.0,1.4,18,4.0,2.5,UNDER,0.3546,5%+,0.2041,0.7959,0.5587,0.4413,-5000.0,0.0,False,False,False,False,False,10
BetaBinomial,Drew Smyly,592767.0,2023-06-28,2023,TRAIN,CHC,PHI,0.1751,25.6,5.11,10.8,4.49,22,2.0,4.5,UNDER,0.1328,5%+,0.4196,0.5804,0.5524,0.4476,105.0,1.0,False,True,False,True,False,11
BetaBinomial,Aaron Nola,605400.0,2023-06-28,2023,TRAIN,PHI,CHC,0.2788,25.9,4.09,19.2,7.21,24,4.0,5.5,OVER,0.0619,5%+,0.6454,0.3546,0.5835,0.4165,-165.0,0.0,False,True,True,False,False,11
BetaBinomial,Joe Ryan,657746.0,2023-06-16,2023,TRAIN,MIN,DET,0.2428,23.7,3.33,12.8,5.75,28,7.0,7.5,UNDER,0.148,5%+,0.284,0.716,0.432,0.568,-155.0,1.0,False,True,False,True,False,4
BetaBinomial,Frankie Montas,593423.0,2024-05-23,2024,VALIDATION,CIN,SDP,0.1415,28.7,13.38,12.2,4.07,27,3.0,1.5,OVER,0.2077,5%+,0.6976,0.3024,0.4899,0.5101,-110.0,1.0,False,True,False,False,False,1
BetaBinomial,Matt Waldron,663362.0,2024-05-23,2024,VALIDATION,SD,CIN,0.264,22.5,4.49,15.0,5.94,22,7.0,5.5,OVER,0.0113,0-2%,0.491,0.509,0.4797,0.5203,-105.0,1.0,False,True,False,True,False,1
BetaBinomial,Jack Flaherty,656427.0,2023-07-26,2023,TRAIN,STL,ARI,0.2078,26.8,4.16,21.7,5.56,25,4.0,5.5,OVER,0.0466,2-5%,0.4612,0.5388,0.4146,0.5854,-165.0,0.0,False,True,False,False,False,9
BetaBinomial,Zac Gallen,668678.0,2023-07-26,2023,TRAIN,AZ,ARI,0.2403,26.2,3.21,24.3,6.29,27,8.0,6.5,UNDER,0.0257,2-5%,0.4308,0.5692,0.4565,0.5435,-145.0,0.0,False,True,False,False,False,9
BetaBinomial,Domingo Germán,593334.0,2023-06-10,2023,TRAIN,NYY,BOS,0.2149,21.8,6.31,7.6,4.67,26,,5.5,UNDER,0.0912,5%+,0.332,0.668,0.4232,0.5768,-159.0,,False,True,False,False,False,1
BetaBinomial,Tanner Houck,656557.0,2023-06-10,2023,TRAIN,BOS,NYY,0.2714,22.4,3.97,38.7,6.09,22,,5.5,OVER,0.145,5%+,0.544,0.456,0.399,0.601,-146.0,,False,True,True,True,True,11
BetaBinomial,Luis Ortiz,682847.0,2024-07-26,2024,VALIDATION,PIT,ARI,0.2172,18.5,2.73,50.0,4.02,22,,3.5,OVER,0.0057,0-2%,0.5518,0.4482,0.5461,0.4539,-146.0,,False,True,True,False,False,8
BetaBinomial,Luis Castillo,622491.0,2023-08-27,2023,TRAIN,SEA,KCR,0.2648,26.5,2.72,18.0,7.01,23,6.0,7.5,UNDER,0.0469,2-5%,0.4,0.6,0.4469,0.5531,-275.0,1.0,False,True,False,False,False,9
BetaBinomial,Alec Marsh,679525.0,2023-08-27,2023,TRAIN,KC,SEA,0.255,21.9,6.75,13.0,5.58,24,9.0,5.5,UNDER,0.0631,5%+,0.45,0.55,0.5131,0.4869,-240.0,0.0,False,True,False,True,False,9
