tier,N,mkt_err,over%,roi,inverted
STRONG_OVER,28,1.6,53.6,2.3,False
LEAN_OVER,109,0.0,45.0,-13.3,False
NO_SIGNAL,118,1.6,52.5,0.3,False
LEAN_UNDER,13,-7.3,38.5,17.5,False
STRONG_UNDER,7,5.0,57.1,-18.2,True
