f,c
high_t,-0.5115393851421476
h_ropp,-0.3286493759214683
home_b2b,-0.3223050171313015
ct_c,-0.3181107544172021
any_b2b,-0.2876180122106662
h_r3pa,-0.28556273824987266
a_ropp,-0.2677504233109114
a_r3pa,0.2604671770320337
a_rpace,-0.21990397634089773
rest_diff,0.20018959135944325
a_rpts,-0.17973535219984352
low_t,0.14563246941668614
h_rpts,0.1274108578395574
avg_pace,-0.10007328938825452
h_rpace,0.08397272904572352
