tier,N,mkt_err,over%,roi,inverted
STRONG_OVER,42,-0.6,42.9,-15.8,False
LEAN_OVER,211,-0.7,45.5,-12.2,False
NO_SIGNAL,214,0.8,52.3,0.4,False
LEAN_UNDER,21,0.2,47.6,0.0,False
STRONG_UNDER,14,5.5,71.4,-45.5,True
