signal_type,price_tier,n_graded,n_wins,hit_rate,ci_lo,ci_hi,mean_break_even,edge_pp,actual_roi,synthetic_roi,roi_difference,robust,sufficient,mean_price
bp_adv_dog,DOG,9,2,0.2222,0.0632,0.5474,0.4682,-24.6,-52.3,-57.6,5.2,BELOW_BE,INSUFF,114.0
night_dog,DOG,6,1,0.1667,0.0301,0.5635,0.4686,-30.2,-63.8,-68.2,4.4,BELOW_BE,INSUFF,114.0
