market,archetype,N,Q1,Q2,Q3,Q4,verdict
make_cut,STYLE_04,4954,0.9517263138369952,3.918267569632676,5.320127591804911,3.8313126682615843,SKILL_ROBUST
top_20,STYLE_01,3220,2.3595515682882127,9.914412837123725,10.770414564262294,23.40869049310105,SKILL_ROBUST
top_20,STYLE_02,1401,0.7891944496176967,4.076154313303852,6.065550535153414,9.717444299793362,SKILL_ROBUST
top_20,STYLE_03,18808,6.799748040088008,6.879722167217663,12.175926848455969,14.51717739859156,SKILL_ROBUST
top_20,STYLE_04,4931,1.35858852566568,4.251680111478348,8.659105891055171,16.560510178766737,SKILL_ROBUST
top_10,STYLE_01,3220,1.5266846785036952,5.185424860348534,5.015888965183325,21.36953504589313,SKILL_ROBUST
top_10,STYLE_03,18808,2.5832421745545875,3.3279304279117445,5.836721416271554,6.992010613525883,SKILL_ROBUST
top_10,STYLE_04,4931,-0.19003578932657483,0.7694135444133442,3.1924163391430316,10.599687400401633,SKILL_ROBUST
make_cut,STYLE_03,18872,3.3183327946353964,6.6400944931887915,1.2377162188719164,1.2148113421568987,SKILL_ROBUST
top_5,STYLE_03,18808,1.5068104695283162,1.9017961478760523,2.929836871244763,3.9159402375348624,SKILL_ROBUST
