hole_archetype,par,N,avg_yardage,avg_scoring_average,avg_scoring_diff,avg_birdie_rate,avg_bogey_plus_rate,avg_eagle_rate,avg_difficulty_rank,suggested_label
P3_A,3,212,177.1745283018868,2.9023141509433965,-0.11463301886792454,0.21023956055296836,0.09014946237884577,0.0009801776153060286,10.834905660377359,short attackable
P3_B,3,333,199.68168168168168,3.0482642642642643,0.04826426426426427,0.12971662108211113,0.1616359717478389,0.0003533568985793418,6.657657657657658,standard par-3
P3_C,3,171,217.3918128654971,3.198432748538012,0.19738245614035088,0.0849919084326214,0.25160102034283216,0.00033569604225372994,3.6315789473684212,brutal par-3
P4_A,4,72,350.94555555555553,3.6497019444444447,-0.35029805555555554,0.40435010050297976,0.07279198020642975,0.015614720379985514,14.902777777777779,wedge/scoring
P4_B,4,336,392.49095238095236,3.786057976190476,-0.2139420238095238,0.2968763101058669,0.07829670463154972,0.0017233252838712559,13.056547619047619,wedge/scoring
P4_C,4,584,422.6489726027397,3.9572773972602735,-0.04272260273972603,0.19157743823885878,0.13405540427781923,0.0009260424525584911,10.169520547945206,controlled birdie
P4_D,4,568,456.3169014084507,4.090306338028169,0.09030633802816901,0.13358579682586968,0.1987826531109201,0.00039331714582229355,5.669014084507042,positional
P4_E,4,299,476.01672240802674,4.2704013377926415,0.27040133779264214,0.08786873238302956,0.3049530490934076,0.000331249944503945,2.5183946488294313,long demanding
P5_A,5,207,549.1207729468599,4.383657004830918,-0.6150061835748794,0.5633838503326946,0.04264426849123639,0.04923607392571707,17.386473429951693,reachable scoring
P5_B,5,270,577.2037037037037,4.654466666666667,-0.34553333333333336,0.4091056905934107,0.08694667249049186,0.020388479626521856,16.355555555555554,standard par-5
P5_C,5,98,583.5714285714286,4.827572653061225,-0.09753836734693878,0.2781112498313851,0.1579872781324295,0.007830654013098856,13.116734693877552,three-shot survival
