tournament_id,tournament_name,season,n_holes,n_archetypes,archetypes
157,Hero World Challenge,2023,18,10,"P3_A,P3_B,P3_C,P4_A,P4_C,P4_D,P4_E,P5_A,P5_B,P5_C"
158,QBE Shootout,2023,18,6,"P3_A,P3_B,P4_A,P4_B,P4_C,P5_A"
159,Sentry Tournament of Champions,2023,18,8,"P3_A,P3_B,P4_A,P4_B,P4_C,P4_D,P5_A,P5_B"
160,Sony Open in Hawaii,2023,18,7,"P3_A,P3_B,P4_B,P4_C,P4_D,P4_E,P5_A"
161,The American Express,2023,54,10,"P3_A,P3_B,P3_C,P4_A,P4_B,P4_C,P4_D,P5_A,P5_B,P5_C"
162,Farmers Insurance Open,2023,36,10,"P3_B,P3_C,P4_A,P4_B,P4_C,P4_D,P4_E,P5_A,P5_B,P5_C"
163,AT&T Pebble Beach Pro-Am,2023,54,10,"P3_A,P3_B,P3_C,P4_B,P4_C,P4_D,P4_E,P5_A,P5_B,P5_C"
164,WM Phoenix Open,2023,18,8,"P3_B,P3_C,P4_B,P4_C,P4_D,P4_E,P5_A,P5_C"
165,The Genesis Invitational,2023,18,8,"P3_A,P3_C,P4_B,P4_C,P4_D,P4_E,P5_A,P5_B"
166,The Honda Classic,2023,18,8,"P3_B,P3_C,P4_B,P4_C,P4_D,P4_E,P5_A,P5_B"
167,Arnold Palmer Invitational presented by Mastercard,2023,18,6,"P3_B,P4_C,P4_D,P4_E,P5_B,P5_C"
168,Puerto Rico Open,2023,18,6,"P3_A,P3_B,P4_C,P4_D,P5_A,P5_B"
169,THE PLAYERS Championship,2023,18,9,"P3_B,P3_C,P4_B,P4_C,P4_D,P4_E,P5_A,P5_B,P5_C"
170,Valspar Championship,2023,18,8,"P3_B,P3_C,P4_C,P4_D,P4_E,P5_A,P5_B,P5_C"
171,World Golf Championships-Dell Technologies Match Play,2023,18,8,"P3_A,P3_B,P4_A,P4_B,P4_C,P4_E,P5_A,P5_B"
172,Corales Puntacana Championship,2023,18,8,"P3_B,P3_C,P4_C,P4_D,P4_E,P5_A,P5_B,P5_C"
173,Valero Texas Open,2023,18,9,"P3_A,P3_B,P3_C,P4_A,P4_C,P4_D,P4_E,P5_B,P5_C"
174,Masters Tournament,2023,18,8,"P3_A,P3_B,P3_C,P4_C,P4_D,P4_E,P5_B,P5_C"
175,RBC Heritage,2023,18,8,"P3_B,P4_A,P4_B,P4_C,P4_D,P5_A,P5_B,P5_C"
176,Zurich Classic of New Orleans,2023,18,7,"P3_A,P3_B,P4_B,P4_C,P4_D,P5_A,P5_B"
177,Mexico Open at Vidanta,2023,18,9,"P3_A,P3_B,P3_C,P4_A,P4_C,P4_D,P4_E,P5_A,P5_B"
178,Wells Fargo Championship,2023,18,7,"P3_B,P3_C,P4_A,P4_B,P4_D,P4_E,P5_B"
179,AT&T Byron Nelson,2023,18,9,"P3_A,P3_B,P4_A,P4_B,P4_C,P4_D,P4_E,P5_A,P5_B"
180,PGA Championship,2023,18,8,"P3_A,P3_B,P3_C,P4_B,P4_C,P4_D,P4_E,P5_C"
181,Charles Schwab Challenge,2023,18,7,"P3_B,P3_C,P4_C,P4_D,P4_E,P5_B,P5_C"
182,the Memorial Tournament presented by Workday,2023,18,8,"P3_B,P3_C,P4_C,P4_D,P4_E,P5_A,P5_B,P5_C"
183,RBC Canadian Open,2023,18,9,"P3_A,P3_B,P4_B,P4_C,P4_D,P4_E,P5_A,P5_B,P5_C"
184,U.S. Open,2023,18,9,"P3_A,P3_B,P3_C,P4_B,P4_C,P4_D,P4_E,P5_B,P5_C"
185,Travelers Championship,2023,18,7,"P3_A,P3_B,P4_A,P4_B,P4_C,P4_D,P5_B"
186,Rocket Mortgage Classic,2023,18,7,"P3_A,P3_C,P4_B,P4_C,P4_D,P5_A,P5_B"
187,John Deere Classic,2023,18,8,"P3_A,P3_B,P4_A,P4_B,P4_C,P4_D,P5_A,P5_B"
188,Genesis Scottish Open,2023,18,8,"P3_A,P3_B,P3_C,P4_B,P4_C,P4_D,P4_E,P5_B"
189,Barbasol Championship,2023,18,7,"P3_B,P4_B,P4_C,P4_D,P4_E,P5_A,P5_B"
190,The Open Championship,2023,18,7,"P3_B,P3_C,P4_C,P4_D,P4_E,P5_B,P5_C"
191,Barracuda Championship,2023,18,8,"P3_B,P3_C,P4_B,P4_C,P4_D,P4_E,P5_A,P5_B"
192,3M Open,2023,18,9,"P3_A,P3_B,P4_B,P4_C,P4_D,P4_E,P5_A,P5_B,P5_C"
193,Wyndham Championship,2023,18,8,"P3_A,P3_B,P4_B,P4_C,P4_D,P4_E,P5_A,P5_B"
194,FedEx St. Jude Championship,2023,18,7,"P3_A,P3_C,P4_B,P4_C,P4_D,P5_A,P5_B"
195,BMW Championship,2023,18,8,"P3_A,P3_B,P3_C,P4_B,P4_C,P4_D,P4_E,P5_B"
196,TOUR Championship,2023,18,7,"P3_A,P3_B,P4_B,P4_C,P4_D,P4_E,P5_C"
197,Fortinet Championship,2023,18,6,"P3_B,P3_C,P4_C,P4_D,P5_B,P5_C"
199,Sanderson Farms Championship,2023,18,8,"P3_A,P3_B,P4_A,P4_B,P4_C,P4_D,P4_E,P5_B"
200,Shriners Children's Open,2023,18,10,"P3_A,P3_B,P3_C,P4_A,P4_B,P4_C,P4_D,P4_E,P5_A,P5_B"
201,ZOZO CHAMPIONSHIP,2023,18,7,"P3_A,P3_B,P4_B,P4_C,P4_D,P4_E,P5_B"
202,World Wide Technology Championship,2023,18,9,"P3_A,P3_B,P4_A,P4_B,P4_C,P4_D,P5_A,P5_B,P5_C"
203,Butterfield Bermuda Championship,2023,18,8,"P3_A,P3_B,P3_C,P4_B,P4_C,P4_D,P5_A,P5_B"
204,The RSM Classic,2023,36,10,"P3_A,P3_B,P3_C,P4_B,P4_C,P4_D,P4_E,P5_A,P5_B,P5_C"
205,Hero World Challenge,2023,18,8,"P3_A,P3_B,P4_A,P4_D,P4_E,P5_A,P5_B,P5_C"
206,Grant Thornton Invitational,2023,18,7,"P3_A,P3_B,P4_A,P4_B,P4_C,P4_D,P5_A"
207,PGA TOUR Q-School presented by Korn Ferry,2023,36,10,"P3_A,P3_B,P3_C,P4_B,P4_C,P4_D,P4_E,P5_A,P5_B,P5_C"
