label,N,sim_r,mkt_r,edge_r,sim_beats_mkt,hv_n,hv_hit,hv_mkt,hv_roi
OWGR 31-60,1496,0.16942987046019273,0.1802467021361531,-0.04033974132715072,False,396,0.2828282828282828,0.18792215568632376,62.669475016235964
OWGR 16-60,2322,0.2026119477106113,0.237638243922915,-0.12031567599729144,False,517,0.28433268858800775,0.19292500252626935,59.65910079928868
ALL,13366,0.31052174196036963,0.30467964949864984,-0.14350454394489626,True,4554,0.1697408871321915,0.11666721423485506,41.42319318610587
