feature,coef,abs_coef
home_rolling_opp_pts,0.19363404137752682,0.19363404137752682
early_season_flag,-0.19199824197162355,0.19199824197162355
pace_x_offense,-0.1590520260972264,0.1590520260972264
away_rolling_pts,-0.14607039175289271,0.14607039175289271
home_premium,-0.1429516054519323,0.1429516054519323
away_rolling_pace,-0.1205393338652637,0.1205393338652637
avg_pace,-0.1171003261120748,0.1171003261120748
home_rolling_3pa_rate,0.07196851005203353,0.07196851005203353
away_rolling_3pa_rate,-0.046628490524163776,0.046628490524163776
pace_diff,0.04401539291081414,0.04401539291081414
away_rolling_opp_pts,-0.04400082592186864,0.04400082592186864
pace_x_defense,0.04382328392925328,0.04382328392925328
home_rolling_pace,-0.04240196147353778,0.04240196147353778
away_b2b_x_pts,-0.03704305920482339,0.03704305920482339
away_b2b,-0.035450419101618974,0.035450419101618974
any_b2b,-0.03545041910161897,0.03545041910161897
away_b2b_x_def,-0.034391220547297575,0.034391220547297575
home_b2b_x_def,-0.030484242429400888,0.030484242429400888
home_b2b,-0.030484242429400888,0.030484242429400888
home_b2b_x_pts,-0.03048424242940088,0.03048424242940088
low_total_flag,0.012896774990100376,0.012896774990100376
home_rolling_pts,-0.010833228149971817,0.010833228149971817
closing_total_centered,0.010348951267163554,0.010348951267163554
rest_diff,-0.005703872501642511,0.005703872501642511
pace_x_3pa,0.0028447329579405216,0.0028447329579405216
high_total_flag,-0.00037199437055271726,0.00037199437055271726
