outcome,class,baseline,disc,val,tier_a,best
of,A,47.7,122,59,24,65.9
home_win,A,52.4,189,173,98,76.6
hrl,A,31.7,163,150,83,53.0
low5,B,40.2,1,1,0,0.0
high7,B,48.8,82,37,13,70.5
shutout,B,8.7,0,0,0,0.0
ot,B,40.5,2,0,0,0.0
b2p,B,64.9,127,68,40,82.6
h4,B,43.6,22,17,10,58.3
a4,B,39.6,16,14,7,63.6
blow,B,41.2,0,0,0,0.0
backup_game,B,67.1,166,129,84,89.2
one_goal,B,40.5,2,0,0,0.0
