hypothesis,split,N_active,mean_err_active,error_gap,over_rate,roi
H11_offense_mismatch,DISCOVERY,106,-2.99,-4.75,41.5,-18.4
H11_offense_mismatch,HOLDOUT,121,1.12,0.86,48.8,-6.9
