market,matchup_type,N,raw_resid_pp,relative_resid_pp,sd_pp,t_stat,p_value,actual_hit_pct,book_implied_pct,ACTUAL_ODDS_ROI,dg_residual_pp,flag
top_20,STYLE_01_x_COURSE_A,403,0.7319085393135921,-5.693472411065633,32.958155426985805,-3.467902238922551,0.000581192722271624,14.888337468982629,14.156428929669037,5.1701494985056495,5.712882114882445,MISMATCH_CANDIDATE
top_20,STYLE_01_x_COURSE_B,645,-0.17891140081401483,-6.604292351193239,32.89302966586699,-5.099202633916955,4.490956545827892e-07,13.333333333333334,13.51224473414735,-1.3240686823994707,4.897080268086002,MISMATCH_CANDIDATE
top_20,STYLE_01_x_COURSE_C,924,2.594031394041573,-3.8313495563376523,35.54249179076307,-3.2767242168334696,0.0010893558977029066,16.017316017316016,13.423284623274444,19.324863227170308,7.291553229653941,MISMATCH_CANDIDATE
top_20,STYLE_01_x_COURSE_D,360,1.9562516459117667,-4.469129304467459,35.031119791638474,-2.4205839568898835,0.015991136228163325,16.944444444444446,14.98819279853268,13.051951440758614,8.40832034448508,MISMATCH_CANDIDATE
top_20,STYLE_02_x_COURSE_A,149,-2.226661627946116,-8.652042578325341,34.83193803224206,-3.032034531764075,0.0028688162735436,14.76510067114094,16.991762299087053,-13.10435956407976,1.74789172734349,MISMATCH_CANDIDATE
top_20,STYLE_02_x_COURSE_B,238,0.10050188415589116,-6.324879066223334,34.879224542462104,-2.797524403981431,0.0055727376468969565,14.285714285714285,14.185212401558392,0.7084975628905754,3.654206409225169,MISMATCH_CANDIDATE
top_20,STYLE_02_x_COURSE_C,461,-1.7842398780717035,-8.20962082845093,35.14886865362544,-5.014899233985101,7.589535174148187e-07,13.882863340563992,15.667103218635695,-11.388447839862225,3.5173220549521695,MISMATCH_CANDIDATE
top_20,STYLE_02_x_COURSE_D,250,-1.5308107682888414,-7.956191718668068,35.733346594887536,-3.5204773313284283,0.0005121170034108165,14.000000000000002,15.530810768288841,-9.85660562817805,4.175561094801761,MISMATCH_CANDIDATE
top_20,STYLE_03_x_COURSE_A,2395,10.114380121264514,3.6889991708852867,45.32956223580001,3.982720152109318,7.016321682948901e-05,28.768267223382043,18.653887102117533,54.22130018207496,12.286472712851618,CANDIDATE
top_20,STYLE_03_x_COURSE_B,3485,5.1274315698063235,-1.2979493805729008,43.32388476210843,-1.7686086907101994,0.07704668678910104,27.173601147776182,22.046169577969856,23.257698130608738,8.732324169173758,
top_20,STYLE_03_x_COURSE_C,6095,9.454927090098911,3.0295461397196863,44.79632727929344,5.27985526125136,1.337618117161882e-07,30.500410172272353,21.04548308217344,44.92615851668285,11.746496638551111,CANDIDATE
top_20,STYLE_03_x_COURSE_D,2727,8.01513891236972,1.5897579619904942,45.10454393623834,1.8405739954170746,0.06579263849490771,29.042904290429046,21.027765378059325,38.116931439290425,10.333916341351468,WATCH
top_20,STYLE_04_x_COURSE_A,600,7.402510101842506,0.9771291514632827,42.779711716853356,0.5594866673542399,0.5760387618909695,25.5,18.09748989815749,40.90351835254322,10.715792620214144,
top_20,STYLE_04_x_COURSE_B,981,4.609142652598546,-1.8162382977806792,42.423695308164646,-1.3409075553870646,0.1802611782290907,23.24159021406728,18.63244756146873,24.737183010406525,8.528552170425709,
top_20,STYLE_04_x_COURSE_C,1630,3.5725523945017033,-2.8528285558775224,39.82629572575609,-2.892008472701955,0.0038786798248336717,21.779141104294478,18.206588709792772,19.622305152530494,7.274359043879963,MISMATCH_CANDIDATE
top_20,STYLE_04_x_COURSE_D,651,4.896747923911969,-1.5286330264672554,41.50861663625041,-0.9396269679569145,0.3477579742816367,23.04147465437788,18.14472673046591,26.987168209538726,9.018707035719657,
top_10,STYLE_01_x_COURSE_A,395,1.916381491551555,-0.6253412795981093,27.238593362083137,-0.456279513193617,0.6484404012440371,9.113924050632912,7.197542559081356,26.6254971863084,4.545917112423129,
top_10,STYLE_01_x_COURSE_B,646,0.7626260514678571,-1.7790967196818066,24.767555291701303,-1.8257137094354443,0.06835561890574281,6.96594427244582,6.203318220977963,12.293840559216518,3.0638417469889405,
top_10,STYLE_01_x_COURSE_C,858,1.7494740874235117,-0.7922486837261526,25.618923889430828,-0.905824966838863,0.36528309753932875,8.158508158508159,6.409034071084646,27.297000889986478,3.9414850937769366,
top_10,STYLE_01_x_COURSE_D,339,1.8487075249580494,-0.6930152461916143,27.307093228229856,-0.46726921040997943,0.6406083701795332,9.43952802359882,7.5908204986407695,24.35451510530493,5.069288832831112,
top_10,STYLE_02_x_COURSE_A,145,-2.8558088043076975,-5.397531575457361,24.88422065928601,-2.6118916018225207,0.009958540904211107,6.206896551724138,9.062705356031836,-31.51165895961703,-0.7835322632614303,MISMATCH_CANDIDATE
top_10,STYLE_02_x_COURSE_B,232,2.309870011736969,-0.23185275941269576,29.049257858040328,-0.12156854528156685,0.9033464107746421,9.051724137931034,6.741854126194065,34.261643288341894,4.259260070609651,
