market,archetype,N,raw_resid_pp,relative_resid_pp,ACTUAL_ODDS_ROI,p_value
top_20,STYLE_01,2332,1.4068168475304403,-5.018564102848785,10.182395556730706,2.118967563080835e-12
top_20,STYLE_02,1098,-1.3780422677578643,-7.803423218137088,-8.89368347275068,3.657202304393806e-13
top_20,STYLE_03,14702,8.26949420754922,1.8441132571699954,39.58627025922261,5.508544589913906e-07
top_20,STYLE_04,3862,4.654095884207443,-1.771285066171782,25.449761296265795,0.007652726141280989
top_10,STYLE_01,2238,1.5091098017789328,-1.032612969370731,22.63268439008701,0.05961358656099718
top_10,STYLE_02,1057,-1.4567080946810576,-3.998430865830721,-20.42166391598631,4.7816727031953656e-08
top_10,STYLE_03,14477,3.237714087054951,0.695991315905286,28.368373749018126,0.016313477384123604
top_10,STYLE_04,3723,1.591269633968341,-0.9504531371813236,16.605970797270242,0.05683459866728684
top_5,STYLE_01,2332,0.6686882044167924,-0.5349766966410082,18.69622473630439,0.18710679599235908
top_5,STYLE_02,1098,-0.8040952945974853,-2.007760195655286,-19.69478008653115,0.00021191876238665783
top_5,STYLE_03,14723,1.8003070641817953,0.5966421631239949,30.50371346620684,0.00639019496094383
top_5,STYLE_04,3868,-0.17489668536366684,-1.3785615864214678,-3.4913444933550086,5.871796811304306e-05
