market,matchup,early_N,early_rel_pp,early_ROI,late_N,late_rel_pp,late_ROI,stability
top_20,STYLE_03_x_COURSE_A,2009,4.791587875879458,60.96259580644106,386,-2.0496037004444716,21.904564580520457,UNSTABLE
top_20,STYLE_03_x_COURSE_C,5293,4.331009027719691,51.35330258245669,802,-5.559784366744186,3.9883762739715056,UNSTABLE
top_20,STYLE_03_x_COURSE_D,2438,2.1360542407447025,40.50825678008842,289,-3.01878988438583,16.928993787691816,UNSTABLE
