market,matchup,full_N,full_ROI,filtered_N,filtered_ROI,helps
top_20,STYLE_03_x_COURSE_A,2333,57.14665154956759,666,149.44433174420192,EDGE_FILTERING_HELPS
top_20,STYLE_03_x_COURSE_C,5889,45.69248264237915,1619,122.64428449060252,EDGE_FILTERING_HELPS
top_20,STYLE_03_x_COURSE_D,2541,42.41787011530407,790,140.43763255711076,EDGE_FILTERING_HELPS
