game_id,game_date,home_team,away_team,model_total,market_total,actual_total,model_edge,model_error,market_error
2024020060,2024-10-16,ANA,UTA,5.840432883225059,6.0,9,-0.15956711677494084,-3.159567116774941,-3.0
2024020090,2024-10-20,ANA,LAK,6.223809909775753,6.0,5,0.22380990977575266,1.2238099097757527,1.0
2024020105,2024-10-22,ANA,SJS,5.422879016245635,6.0,4,-0.5771209837543649,1.422879016245635,2.0
2024020191,2024-11-03,ANA,CHI,5.8443800067895655,6.0,6,-0.15561999321043452,-0.15561999321043452,0.0
2024020203,2024-11-05,ANA,VAN,6.107394369754904,6.0,6,0.10739436975490424,0.10739436975490424,0.0
2024020222,2024-11-08,ANA,MIN,6.086525081604351,6.0,7,0.0865250816043508,-0.9134749183956492,-1.0
2024020238,2024-11-10,ANA,CBJ,6.246154350242585,6.5,6,-0.2538456497574151,0.24615435024258492,0.5
2024020256,2024-11-13,ANA,VGK,6.462532050849765,6.5,5,-0.037467949150235214,1.4625320508497648,1.5
2024020271,2024-11-15,ANA,DET,6.348042834284062,6.0,10,0.3480428342840618,-3.651957165715938,-4.0
2024020317,2024-11-22,ANA,BUF,6.356748098672841,6.0,5,0.3567480986728411,1.356748098672841,1.0
2024020343,2024-11-25,ANA,SEA,5.912003870224503,5.5,5,0.4120038702245026,0.9120038702245026,0.5
2024020370,2024-11-29,ANA,LAK,5.991492759114459,5.5,3,0.49149275911445933,2.9914927591144593,2.5
2024020392,2024-12-01,ANA,OTT,5.516643398257372,6.0,7,-0.48335660174262784,-1.4833566017426278,-1.0
2024020408,2024-12-04,ANA,VGK,5.989014072909955,6.0,5,-0.010985927090045422,0.9890140729099546,1.0
2024020424,2024-12-06,ANA,MIN,6.091818337215722,6.0,6,0.09181833721572197,0.09181833721572197,0.0
2024020511,2024-12-18,ANA,WPG,6.031628776823492,6.0,5,0.03162877682349219,1.0316287768234922,1.0
2024020527,2024-12-20,ANA,COL,6.35798187467295,6.5,6,-0.14201812532705027,0.35798187467294973,0.5
2024020568,2024-12-28,ANA,PHI,6.3706454575975275,6.0,4,0.37064545759752754,2.3706454575975275,2.0
2024020578,2024-12-29,ANA,EDM,6.39277315386673,6.5,8,-0.10722684613326994,-1.60722684613327,-1.5
2024020598,2024-12-31,ANA,NJD,5.3259508586334094,6.0,5,-0.6740491413665906,0.32595085863340945,1.0
2024020636,2025-01-05,ANA,TBL,5.86387515009747,6.5,5,-0.6361248499025303,0.8638751500974697,1.5
2024020648,2025-01-07,ANA,CGY,5.923634769927132,6.5,5,-0.5763652300728683,0.9236347699271317,1.5
2024020756,2025-01-21,ANA,FLA,5.705232563264261,5.5,7,0.20523256326426065,-1.2947674367357394,-1.5
2024020769,2025-01-23,ANA,PIT,6.334747247591169,5.5,6,0.834747247591169,0.33474724759116903,-0.5
2024020787,2025-01-25,ANA,NSH,6.255176309446821,5.5,7,0.7551763094468207,-0.7448236905531793,-1.5
2024020837,2025-02-02,ANA,MTL,5.913510739565433,6.5,5,-0.5864892604345666,0.9135107395654334,1.5
2024020856,2025-02-04,ANA,DAL,5.89155765603798,5.5,3,0.3915576560379801,2.89155765603798,2.5
2024020944,2025-02-27,ANA,VAN,5.205976395087706,5.5,7,-0.29402360491229373,-1.7940236049122937,-1.5
2024020959,2025-03-01,ANA,CHI,6.3371777373130955,5.5,9,0.8371777373130955,-2.6628222626869045,-3.5
2024021002,2025-03-07,ANA,STL,5.963569927666983,5.5,7,0.4635699276669829,-1.036430072333017,-1.5
2024021020,2025-03-09,ANA,NYI,5.705308336557849,5.5,5,0.20530833655784875,0.7053083365578487,0.5
2024021033,2025-03-11,ANA,WSH,5.854759928145711,6.5,11,-0.645240071854289,-5.145240071854289,-4.5
2024021053,2025-03-14,ANA,NSH,5.859481644841707,6.5,3,-0.6405183551582931,2.859481644841707,3.5
2024021123,2025-03-23,ANA,CAR,5.967145379921395,5.5,7,0.46714537992139515,-1.0328546200786048,-1.5
2024021142,2025-03-26,ANA,BOS,6.259695896986461,5.5,8,0.7596958969864609,-1.740304103013539,-2.5
2024021158,2025-03-28,ANA,NYR,6.030603605513736,5.5,9,0.5306036055137362,-2.969396394486264,-3.5
2024021176,2025-03-30,ANA,TOR,6.101318946152389,6.5,5,-0.39868105384761066,1.1013189461523893,1.5
2024021190,2025-04-01,ANA,SJS,5.947873276592611,6.5,7,-0.5521267234073894,-1.0521267234073894,-0.5
2024021232,2025-04-07,ANA,EDM,5.907238354126421,6.5,5,-0.5927616458735789,0.9072383541264211,1.5
2024021249,2025-04-09,ANA,CGY,6.032551786145777,5.5,7,0.5325517861457767,-0.9674482138542233,-1.5
2024021284,2025-04-13,ANA,COL,5.83451832085984,5.5,6,0.3345183208598401,-0.16548167914015988,-0.5
2024020011,2024-10-10,BOS,MTL,5.872098744823805,6.0,10,-0.12790125517619533,-4.127901255176195,-4.0
2024020024,2024-10-12,BOS,LAK,5.992041383613877,5.5,3,0.49204138361387706,2.992041383613877,2.5
2024020042,2024-10-14,BOS,FLA,5.645527122211346,5.5,7,0.14552712221134634,-1.3544728777886537,-1.5
2024020109,2024-10-24,BOS,DAL,5.901684789453938,5.5,7,0.40168478945393815,-1.0983152105460618,-1.5
2024020125,2024-10-26,BOS,TOR,5.8703041151074515,6.0,7,-0.12969588489254846,-1.1296958848925485,-1.0
2024020148,2024-10-29,BOS,PHI,6.4713407018956435,6.0,2,0.4713407018956435,4.4713407018956435,4.0
2024020187,2024-11-03,BOS,SEA,6.078828792492005,6.0,2,0.07882879249200503,4.078828792492005,4.0
2024020208,2024-11-07,BOS,CGY,6.069045452038306,5.5,7,0.5690454520383064,-0.9309545479616936,-1.5
2024020226,2024-11-09,BOS,OTT,5.975599227787805,6.0,5,-0.02440077221219461,0.9755992277878054,1.0
2024020272,2024-11-16,BOS,STL,6.258881614082311,5.5,5,0.7588816140823109,1.258881614082311,0.5
2024020288,2024-11-18,BOS,CBJ,5.849888055543184,6.0,6,-0.15011194445681575,-0.15011194445681575,0.0
2024020306,2024-11-21,BOS,UTA,6.487602518952236,6.0,1,0.4876025189522357,5.487602518952236,5.0
2024020345,2024-11-26,BOS,VAN,6.137796360115203,5.5,2,0.6377963601152032,4.137796360115203,3.5
2024020372,2024-11-29,BOS,PIT,5.7959896804000275,6.0,3,-0.2040103195999725,2.7959896804000275,3.0
2024020389,2024-12-01,BOS,MTL,5.549436982605698,5.5,9,0.049436982605698176,-3.450563017394302,-3.5
2024020396,2024-12-03,BOS,DET,6.124281849812212,5.5,5,0.6242818498122116,1.1242818498122116,0.5
2024020425,2024-12-07,BOS,PHI,5.813549125467777,5.5,7,0.3135491254677767,-1.1864508745322233,-1.5
2024020531,2024-12-21,BOS,BUF,6.016868173909613,5.5,4,0.5168681739096126,2.0168681739096126,1.5
2024020547,2024-12-23,BOS,WSH,5.508419644461073,6.0,5,-0.4915803555389271,0.5084196444610729,1.0
2024020570,2024-12-28,BOS,CBJ,6.329415145774875,6.5,4,-0.17058485422512515,2.329415145774875,2.5
2024020633,2025-01-05,BOS,NYI,6.289500999278438,5.5,9,0.7895009992784381,-2.710499000721562,-3.5
2024020641,2025-01-07,BOS,EDM,5.325377162330727,5.5,4,-0.1746228376692729,1.325377162330727,1.5
2024020692,2025-01-14,BOS,TBL,5.532114380783748,5.5,8,0.03211438078374762,-2.4678856192162524,-2.5
2024020740,2025-01-20,BOS,SJS,6.078424105284586,5.5,9,0.5784241052845864,-2.9215758947154136,-3.5
2024020761,2025-01-23,BOS,OTT,6.01452829120742,5.5,2,0.5145282912074203,4.01452829120742,3.5
2024020776,2025-01-25,BOS,COL,5.686399887154952,5.5,4,0.18639988715495193,1.686399887154952,1.5
2024020812,2025-01-30,BOS,WPG,5.857258304631093,5.5,8,0.35725830463109265,-2.1427416953689074,-2.5
2024020827,2025-02-01,BOS,NYR,5.904525729384751,5.5,9,0.4045257293847513,-3.0954742706152487,-3.5
2024020845,2025-02-04,BOS,MIN,6.007880913753241,5.5,3,0.5078809137532412,3.007880913753241,2.5
2024020879,2025-02-08,BOS,VGK,5.835098116847739,5.5,7,0.33509811684773894,-1.164901883152261,-1.5
2024020899,2025-02-22,BOS,ANA,6.668445599413376,5.5,5,1.168445599413376,1.668445599413376,0.5
2024020918,2025-02-25,BOS,TOR,6.370151454814622,5.5,9,0.8701514548146223,-2.6298485451853777,-3.5
2024020933,2025-02-27,BOS,NYI,5.950476228815961,5.5,3,0.45047622881596094,2.950476228815961,2.5
2024020973,2025-03-04,BOS,NSH,5.656779932148207,5.5,9,0.15677993214820685,-3.343220067851793,-3.5
2024021025,2025-03-11,BOS,FLA,5.382906063575948,5.5,5,-0.11709393642405175,0.38290606357594825,0.5
2024021058,2025-03-15,BOS,TBL,5.557843171764942,5.5,8,0.057843171764941914,-2.442156828235058,-2.5
2024021073,2025-03-17,BOS,BUF,6.026176919879653,5.5,5,0.5261769198796529,1.0261769198796529,0.5
2024021182,2025-04-01,BOS,WSH,6.046307238743415,5.5,7,0.5463072387434149,-0.9536927612565851,-1.5
2024021214,2025-04-05,BOS,CAR,6.050526611632398,5.5,6,0.5505266116323977,0.05052661163239769,-0.5
2024021250,2025-04-10,BOS,CHI,5.760944086962013,5.5,7,0.260944086962013,-1.239055913037987,-1.5
2024021291,2025-04-15,BOS,NJD,5.741919051277307,5.5,9,0.24191905127730706,-3.258080948722693,-3.5
2024020001,2024-10-04,BUF,NJD,6.207771538081694,6.5,5,-0.292228461918306,1.207771538081694,1.5
2024020012,2024-10-10,BUF,LAK,5.863169645540262,6.5,4,-0.6368303544597378,1.8631696455402622,2.5
2024020025,2024-10-12,BUF,FLA,6.022276706172557,6.0,7,0.022276706172556615,-0.9777232938274434,-1.0
2024020095,2024-10-22,BUF,DAL,5.680963622396359,6.0,6,-0.31903637760364134,-0.31903637760364134,0.0
2024020122,2024-10-26,BUF,DET,6.252573099419681,6.5,8,-0.2474269005803187,-1.7474269005803187,-1.5
2024020140,2024-10-28,BUF,FLA,5.803171093198095,6.0,7,-0.19682890680190468,-1.1968289068019047,-1.0
2024020169,2024-11-01,BUF,NYI,6.084446723408664,6.0,7,0.08444672340866433,-0.9155532765913357,-1.0
2024020194,2024-11-05,BUF,OTT,6.265080039983635,6.5,6,-0.23491996001636473,0.2650800399836353,0.5
2024020224,2024-11-09,BUF,CGY,5.696914338471762,6.0,5,-0.3030856615282378,0.6969143384717622,1.0
2024020239,2024-11-11,BUF,MTL,5.876018242983845,6.5,12,-0.6239817570161552,-6.123981757016155,-5.5
2024020257,2024-11-14,BUF,STL,6.200875729525064,6.0,7,0.20087572952506427,-0.7991242704749357,-1.0
2024020347,2024-11-27,BUF,MIN,5.887322116059044,6.0,1,-0.11267788394095568,4.887322116059044,5.0
2024020364,2024-11-29,BUF,VAN,5.981569028173767,6.0,7,-0.01843097182623321,-1.0184309718262332,-1.0
2024020397,2024-12-03,BUF,COL,5.813470707833715,6.5,9,-0.6865292921662851,-3.186529292166285,-2.5
2024020410,2024-12-05,BUF,WPG,5.50889925361511,5.5,5,0.008899253615109792,0.5088992536151098,0.5
2024020426,2024-12-07,BUF,UTA,6.110422629401577,6.0,7,0.11042262940157688,-0.8895773705984231,-1.0
2024020443,2024-12-09,BUF,DET,6.081451862742881,6.0,11,0.08145186274288108,-4.918548137257119,-5.0
2024020457,2024-12-11,BUF,NYR,5.832298728417802,6.0,5,-0.16770127158219772,0.8322987284178023,1.0
2024020521,2024-12-20,BUF,TOR,5.969666078934336,6.0,9,-0.03033392106566435,-3.0303339210656643,-3.0
2024020558,2024-12-27,BUF,CHI,5.899322591086393,6.0,8,-0.1006774089136071,-2.100677408913607,-2.0
2024020637,2025-01-06,BUF,WSH,5.783008723837111,6.5,7,-0.7169912761628892,-1.2169912761628892,-0.5
2024020670,2025-01-11,BUF,SEA,5.679353094506308,5.5,8,0.17935309450630843,-2.3206469054936916,-2.5
2024020705,2025-01-15,BUF,CAR,5.838413712130113,5.5,6,0.3384137121301132,-0.16158628786988682,-0.5
2024020720,2025-01-17,BUF,PIT,5.901355650062371,6.5,7,-0.5986443499376293,-1.0986443499376293,-0.5
2024020799,2025-01-28,BUF,BOS,6.2235372837651255,5.5,9,0.7235372837651255,-2.7764627162348745,-3.5
2024020822,2025-01-31,BUF,NSH,6.333637055164806,6.5,7,-0.16636294483519443,-0.6663629448351944,-0.5
2024020835,2025-02-02,BUF,NJD,5.83511099309045,6.5,7,-0.6648890069095499,-1.1648890069095499,-0.5
2024020846,2025-02-04,BUF,CBJ,6.20944031482018,6.5,5,-0.29055968517981956,1.2094403148201804,1.5
2024020895,2025-02-22,BUF,NYR,6.577994009841586,6.5,10,0.07799400984158567,-3.4220059901584143,-3.5
2024020919,2025-02-25,BUF,ANA,6.487132202114594,6.5,5,-0.012867797885405707,1.4871322021145943,1.5
2024020953,2025-03-01,BUF,MTL,6.083347066584537,6.5,6,-0.41665293341546317,0.08334706658453683,0.5
2024020974,2025-03-04,BUF,SJS,6.3915464932001145,6.5,8,-0.10845350679988552,-1.6084535067998855,-1.5
2024021021,2025-03-10,BUF,EDM,6.123373809815778,6.5,5,-0.37662619018422205,1.123373809815778,1.5
2024021055,2025-03-15,BUF,VGK,6.076777835320246,6.5,7,-0.42322216467975426,-0.9232221646797543,-0.5
2024021129,2025-03-25,BUF,OTT,6.253268466947718,6.5,5,-0.2467315330522819,1.253268466947718,1.5
2024021143,2025-03-27,BUF,PIT,6.302872547731278,6.5,10,-0.19712745226872208,-3.697127452268722,-3.5
2024021215,2025-04-05,BUF,TBL,6.3739513503736935,6.5,5,-0.12604864962630646,1.3739513503736935,1.5
2024021226,2025-04-06,BUF,BOS,6.258801903628817,5.5,9,0.7588019036288172,-2.741198096371183,-3.5
2024021235,2025-04-08,BUF,CAR,5.957046797179647,6.5,3,-0.5429532028203532,2.957046797179647,3.5
2024021292,2025-04-15,BUF,TOR,6.124953532544286,6.5,4,-0.37504646745571435,2.1249535325442857,2.5
2024021307,2025-04-17,BUF,PHI,6.597172685117639,6.5,9,0.09717268511763866,-2.4028273148823613,-2.5
2024020020,2024-10-11,CAR,TBL,6.207771538081694,6.0,5,0.20777153808169402,1.207771538081694,1.0
2024020050,2024-10-15,CAR,NJD,5.815237792072806,6.5,6,-0.6847622079271938,-0.18476220792719378,0.5
2024020165,2024-10-31,CAR,BOS,5.736269723933171,5.5,10,0.23626972393317125,-4.263730276066829,-4.5
2024020188,2024-11-03,CAR,WSH,6.091365929925395,6.0,6,0.09136592992539505,0.09136592992539505,0.0
2024020197,2024-11-05,CAR,PHI,5.8812303069365015,6.0,10,-0.1187696930634985,-4.1187696930634985,-4.0
2024020214,2024-11-07,CAR,PIT,6.035405794551801,6.5,6,-0.46459420544819885,0.03540579455180115,0.5
2024020280,2024-11-16,CAR,OTT,6.297670270141911,6.5,4,-0.20232972985808928,2.2976702701419107,2.5
2024020284,2024-11-17,CAR,STL,6.238944713635691,6.0,5,0.23894471363569103,1.238944713635691,1.0
2024020339,2024-11-25,CAR,DAL,6.199223707115278,6.5,10,-0.30077629288472174,-3.8007762928847217,-3.5
2024020349,2024-11-27,CAR,NYR,6.003560620810655,6.5,7,-0.49643937918934533,-0.9964393791893453,-0.5
2024020367,2024-11-29,CAR,FLA,6.0824704096103765,6.0,9,0.08247040961037655,-2.9175295903896235,-3.0
2024020401,2024-12-03,CAR,SEA,5.91601294310347,6.0,6,-0.08398705689652974,-0.08398705689652974,0.0
2024020415,2024-12-05,CAR,COL,5.967445220227932,6.5,8,-0.5325547797720684,-2.0325547797720684,-1.5
2024020448,2024-12-10,CAR,SJS,6.359968741613018,6.5,5,-0.1400312583869816,1.3599687416130184,1.5
2024020473,2024-12-13,CAR,OTT,6.0038016089273185,6.0,3,0.0038016089273185116,3.0038016089273185,3.0
2024020491,2024-12-15,CAR,CBJ,6.041264517105375,6.5,5,-0.4587354828946246,1.0412645171053754,1.5
2024020500,2024-12-17,CAR,NYI,6.35855703779731,5.5,4,0.8585570377973104,2.3585570377973104,1.5
2024020573,2024-12-28,CAR,NJD,5.814803060465879,6.0,7,-0.18519693953412109,-1.185196939534121,-1.0
2024020624,2025-01-04,CAR,MIN,5.629628957232459,5.5,4,0.12962895723245893,1.629628957232459,1.5
2024020634,2025-01-05,CAR,PIT,6.626539810385889,6.5,7,0.12653981038588924,-0.37346018961411076,-0.5
2024020659,2025-01-09,CAR,TOR,5.843536059801743,5.5,9,0.3435360598017434,-3.1564639401982566,-3.5
2024020666,2025-01-10,CAR,VAN,6.141535353511225,6.5,2,-0.3584646464887751,4.141535353511225,4.5
2024020687,2025-01-12,CAR,ANA,5.453485963465527,6.5,5,-1.0465140365344734,0.4534859634655266,1.5
2024020721,2025-01-17,CAR,VGK,5.529794078101639,5.5,5,0.02979407810163881,0.5297940781016388,0.5
2024020764,2025-01-23,CAR,CBJ,5.614855071448778,6.5,11,-0.8851449285512221,-5.385144928551222,-4.5
2024020817,2025-01-30,CAR,CHI,6.258685356947188,6.5,5,-0.24131464305281192,1.258685356947188,1.5
2024020832,2025-02-01,CAR,LAK,5.474916659789274,5.5,6,-0.02508334021072578,-0.5250833402107258,-0.5
2024020878,2025-02-08,CAR,UTA,5.412336891819237,5.5,10,-0.08766310818076306,-4.587663108180763,-4.5
2024020940,2025-02-27,CAR,BUF,6.19686905169662,6.5,7,-0.30313094830338017,-0.8031309483033802,-0.5
2024020955,2025-03-01,CAR,EDM,6.117285470050833,6.5,4,-0.3827145299491672,2.117285470050833,2.5
2024020963,2025-03-02,CAR,CGY,5.649919649808097,5.5,3,0.1499196498080968,2.649919649808097,2.5
2024020992,2025-03-06,CAR,BOS,5.692452588860801,5.5,5,0.1924525888608013,0.6924525888608013,0.5
2024021016,2025-03-09,CAR,WPG,5.640109494165459,5.5,6,0.1401094941654586,-0.3598905058345414,-0.5
2024021029,2025-03-11,CAR,TBL,5.999968375612747,5.5,5,0.4999683756127471,0.9999683756127471,0.5
2024021049,2025-03-14,CAR,DET,6.209387071815369,5.5,6,0.7093870718153692,0.2093870718153692,-0.5
2024021132,2025-03-25,CAR,NSH,5.403499378295056,5.5,4,-0.09650062170494422,1.4034993782950558,1.5
2024021154,2025-03-28,CAR,MTL,5.793994599096385,5.5,5,0.2939945990963846,0.7939945990963846,0.5
2024021175,2025-03-30,CAR,NYI,5.79860639414818,5.5,10,0.29860639414818024,-4.20139360585182,-4.5
2024021193,2025-04-02,CAR,WSH,6.087817716670655,5.5,6,0.5878177166706546,0.08781771667065463,-0.5
2024021266,2025-04-12,CAR,NYR,6.514734018118697,5.5,10,1.0147340181186966,-3.4852659818813034,-4.5
