TEAM_ID,team,Restricted_Area_FGM,Restricted_Area_FGA,Restricted_Area_FG_PCT,In_The_Paint_Non-RA_FGM,In_The_Paint_Non-RA_FGA,In_The_Paint_Non-RA_FG_PCT,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG_PCT,Left_Corner_3_FGM,Left_Corner_3_FGA,Left_Corner_3_FG_PCT,Right_Corner_3_FGM,Right_Corner_3_FGA,Right_Corner_3_FG_PCT,Above_the_Break_3_FGM,Above_the_Break_3_FGA,Above_the_Break_3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,Corner_3_FGM,Corner_3_FGA,Corner_3_FG_PCT,season
1610612737,Atlanta Hawks,18.0,27.1,0.665,9.1,20.0,0.455,6.7,14.7,0.457,1.7,4.7,0.361,1.4,3.8,0.37,7.7,22.0,0.349,0.0,0.1,0.0,3.1,8.5,0.365,2022-23
1610612738,Boston Celtics,16.5,23.9,0.689,6.7,15.0,0.447,3.0,7.3,0.413,2.0,5.0,0.396,2.0,5.0,0.413,12.0,32.4,0.369,0.0,0.1,0.0,4.0,10.0,0.404,2022-23
1610612751,Brooklyn Nets,15.0,22.4,0.667,7.0,15.3,0.462,6.7,13.6,0.489,1.7,4.4,0.396,1.6,4.1,0.394,9.4,25.2,0.373,0.0,0.1,0.0,3.4,8.5,0.395,2022-23
1610612766,Charlotte Hornets,19.5,30.3,0.645,7.0,18.0,0.389,4.0,9.6,0.418,1.7,5.0,0.338,1.4,3.8,0.365,7.7,23.6,0.325,0.0,0.1,0.0,3.1,8.8,0.35,2022-23
1610612741,Chicago Bulls,18.1,27.2,0.668,6.1,13.0,0.469,7.9,17.8,0.445,1.8,4.5,0.399,1.3,3.3,0.385,7.3,20.9,0.349,0.0,0.0,0.0,3.1,7.9,0.393,2022-23
1610612739,Cleveland Cavaliers,18.5,27.0,0.686,7.9,17.6,0.447,3.6,9.0,0.398,1.4,3.9,0.363,1.5,4.2,0.372,8.6,23.4,0.369,0.0,0.1,0.0,3.0,8.0,0.368,2022-23
1610612742,Dallas Mavericks,14.9,22.0,0.676,6.5,13.2,0.494,3.5,8.1,0.425,2.4,5.6,0.433,2.2,5.9,0.37,10.5,29.1,0.363,0.0,0.3,0.04,4.6,11.5,0.401,2022-23
1610612743,Denver Nuggets,20.5,29.0,0.708,7.0,15.4,0.456,4.3,10.9,0.391,1.7,4.5,0.38,1.6,3.6,0.439,8.5,22.7,0.373,0.0,0.3,0.074,3.3,8.1,0.406,2022-23
1610612765,Detroit Pistons,15.7,24.4,0.643,7.6,18.3,0.413,5.0,12.0,0.413,1.7,4.5,0.369,1.7,4.4,0.375,8.0,23.2,0.345,0.0,0.2,0.0,3.3,9.0,0.372,2022-23
1610612744,Golden State Warriors,14.9,21.3,0.7,7.5,15.8,0.475,4.1,9.9,0.413,1.8,4.9,0.368,1.8,4.1,0.43,13.0,33.9,0.385,0.0,0.3,0.043,3.6,9.0,0.396,2022-23
1610612745,Houston Rockets,19.3,30.1,0.643,8.1,19.6,0.412,2.7,7.2,0.379,1.2,3.0,0.38,0.9,2.6,0.338,8.4,26.1,0.321,0.0,0.2,0.0,2.0,5.7,0.361,2022-23
1610612754,Indiana Pacers,18.6,29.1,0.64,6.2,14.8,0.417,3.7,8.7,0.421,1.6,4.4,0.366,1.8,4.5,0.402,10.1,27.9,0.363,0.0,0.2,0.125,3.4,8.9,0.384,2022-23
1610612746,LA Clippers,15.7,24.0,0.653,7.1,15.6,0.453,5.6,13.1,0.429,1.7,4.8,0.365,1.7,3.9,0.444,9.2,24.5,0.377,0.0,0.2,0.067,3.5,8.7,0.4,2022-23
1610612747,Los Angeles Lakers,20.4,29.7,0.686,6.9,15.7,0.436,4.9,12.4,0.392,1.4,4.0,0.345,1.5,3.9,0.384,7.9,23.1,0.34,0.0,0.1,0.0,2.9,7.9,0.364,2022-23
1610612763,Memphis Grizzlies,19.3,29.6,0.65,9.9,21.8,0.455,2.5,6.4,0.393,2.1,5.3,0.387,1.2,3.6,0.349,8.7,25.1,0.346,0.0,0.2,0.067,3.3,8.9,0.372,2022-23
1610612748,Miami Heat,13.9,21.2,0.657,9.2,19.3,0.48,4.1,10.0,0.408,1.8,5.1,0.362,1.7,4.5,0.378,8.4,25.0,0.335,0.0,0.1,0.0,3.6,9.6,0.37,2022-23
1610612749,Milwaukee Bucks,17.3,25.1,0.688,5.7,13.3,0.43,4.9,11.7,0.418,1.8,4.8,0.369,1.9,4.9,0.381,11.2,30.5,0.368,0.0,0.1,0.0,3.6,9.7,0.375,2022-23
1610612750,Minnesota Timberwolves,20.0,29.2,0.685,7.1,16.4,0.434,3.7,8.6,0.424,1.8,4.5,0.401,1.5,4.0,0.371,8.8,24.4,0.36,0.0,0.3,0.0,3.3,8.5,0.387,2022-23
1610612740,New Orleans Pelicans,18.6,28.0,0.666,8.0,18.5,0.435,4.4,11.1,0.398,1.3,3.4,0.384,1.4,3.8,0.365,8.2,22.6,0.365,0.0,0.2,0.0,2.7,7.3,0.374,2022-23
1610612752,New York Knicks,17.8,27.3,0.651,8.3,18.0,0.462,3.4,8.6,0.395,2.1,5.1,0.404,1.8,5.1,0.353,8.7,25.3,0.344,0.0,0.1,0.0,3.9,10.2,0.379,2022-23
