TEAM_ID,TEAM_NAME,GP,season,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK
1610612746,LA Clippers,82,2023-24,16.2,12.7,14.8,50.4,15.7,14.0,14.9,49.7,19,24,12,13,11,20,21,14
1610612747,Los Angeles Lakers,82,2023-24,16.3,10.5,17.0,55.6,17.0,14.9,16.2,51.3,17,30,3,2,19,27,27,21
1610612763,Memphis Grizzlies,82,2023-24,17.4,13.4,11.6,46.0,18.5,14.0,15.1,48.1,6,19,30,30,26,17,22,10
1610612748,Miami Heat,82,2023-24,16.5,11.5,12.8,47.2,15.8,13.2,13.0,46.4,15,28,22,25,13,7,5,3
1610612749,Milwaukee Bucks,82,2023-24,14.5,13.1,12.7,47.2,15.0,13.7,13.6,51.0,29,22,24,26,6,12,10,19
1610612750,Minnesota Timberwolves,82,2023-24,17.0,13.5,12.4,50.8,16.3,12.7,13.2,46.1,10,18,29,12,15,4,6,2
1610612740,New Orleans Pelicans,82,2023-24,17.6,14.0,15.1,51.3,15.6,12.8,13.6,46.6,5,13,11,10,10,5,9,5
1610612752,New York Knicks,82,2023-24,16.7,16.3,14.7,48.9,14.9,12.3,13.8,46.9,11,2,14,19,5,3,13,6
1610612760,Oklahoma City Thunder,82,2023-24,20.5,11.8,15.8,52.5,14.8,15.3,12.5,47.0,1,27,7,7,3,28,3,7
1610612753,Orlando Magic,82,2023-24,18.6,14.4,12.4,51.8,16.4,12.1,14.5,47.5,2,11,27,8,16,2,19,8
1610612755,Philadelphia 76ers,82,2023-24,17.7,15.0,15.8,50.3,14.4,13.6,15.4,50.1,3,6,5,14,2,11,24,17
1610612756,Phoenix Suns,82,2023-24,15.8,12.9,13.3,46.9,18.2,14.0,14.4,49.7,22,23,20,28,25,19,16,14
1610612757,Portland Trail Blazers,82,2023-24,15.8,16.1,12.7,46.9,19.1,14.2,17.0,53.5,21,3,23,29,28,22,29,24
1610612758,Sacramento Kings,82,2023-24,16.5,14.6,14.3,50.9,16.5,10.9,11.8,48.9,14,9,15,11,17,1,2,13
1610612759,San Antonio Spurs,82,2023-24,15.4,12.7,15.6,51.4,18.6,14.2,14.5,54.8,25,25,9,9,27,23,17,28
1610612761,Toronto Raptors,82,2023-24,16.2,13.9,18.7,54.0,17.2,15.6,14.5,54.3,18,14,1,4,23,29,18,26
1610612762,Utah Jazz,82,2023-24,14.9,16.5,13.8,53.3,19.3,14.4,18.4,51.8,28,1,18,6,29,25,30,22
1610612764,Washington Wizards,82,2023-24,17.2,11.4,17.6,54.8,17.1,16.4,15.1,58.4,7,29,2,3,20,30,23,29
1610612737,Atlanta Hawks,82,2024-25,19.1,14.6,17.2,55.2,19.3,13.7,16.5,50.5,5,12,6,3,26,13,21,21
1610612738,Boston Celtics,82,2024-25,15.5,14.2,11.9,41.2,13.2,12.8,13.6,46.2,25,16,29,30,2,5,4,4
1610612751,Brooklyn Nets,82,2024-25,17.1,13.0,14.3,43.5,19.0,13.3,16.1,49.6,17,22,23,28,24,8,19,17
1610612766,Charlotte Hornets,82,2024-25,14.7,16.3,11.8,45.0,19.5,13.6,16.6,47.9,29,4,30,25,27,10,24,10
1610612741,Chicago Bulls,82,2024-25,15.4,13.0,18.5,50.8,18.1,14.9,14.6,54.0,27,21,3,13,21,22,11,30
1610612739,Cleveland Cavaliers,82,2024-25,18.9,13.9,14.9,51.3,15.9,14.0,15.3,47.2,8,18,19,9,5,15,15,8
1610612742,Dallas Mavericks,82,2024-25,17.0,13.8,15.1,51.0,17.3,15.3,15.5,52.8,19,19,17,12,14,26,16,29
1610612743,Denver Nuggets,82,2024-25,16.9,14.4,20.1,58.5,17.8,14.8,16.6,51.1,20,13,1,1,18,21,23,24
1610612765,Detroit Pistons,82,2024-25,19.0,14.9,18.5,52.9,17.8,14.5,14.5,46.3,7,9,2,5,19,17,9,5
1610612744,Golden State Warriors,82,2024-25,19.7,15.6,14.5,44.9,16.4,12.8,14.2,45.7,2,7,20,26,8,3,8,2
1610612745,Houston Rockets,82,2024-25,17.6,18.1,17.0,51.5,15.8,13.7,13.8,49.8,15,1,7,7,4,12,5,18
1610612754,Indiana Pacers,82,2024-25,18.3,11.2,17.5,51.0,15.9,13.8,13.2,51.8,12,30,5,11,5,14,2,26
1610612746,LA Clippers,82,2024-25,19.3,12.9,15.7,51.4,17.4,12.3,15.1,46.5,4,23,15,8,15,2,12,6
1610612747,Los Angeles Lakers,82,2024-25,16.3,12.3,15.1,48.1,16.9,14.5,16.9,49.4,23,27,17,16,12,17,25,15
1610612763,Memphis Grizzlies,82,2024-25,18.5,16.3,16.7,56.0,19.7,14.9,16.5,48.2,10,3,8,2,28,23,21,12
1610612748,Miami Heat,82,2024-25,16.4,12.0,14.3,47.1,16.4,12.9,15.2,48.9,22,28,21,21,7,6,14,14
1610612749,Milwaukee Bucks,82,2024-25,15.5,11.5,13.5,44.3,16.8,13.6,15.2,47.0,25,29,27,27,10,11,13,7
1610612750,Minnesota Timberwolves,82,2024-25,17.6,15.1,13.6,47.2,17.4,13.5,14.2,48.0,14,8,26,20,17,9,7,11
1610612740,New Orleans Pelicans,82,2024-25,16.5,15.6,16.4,49.9,18.9,16.2,18.0,52.3,21,5,9,14,23,29,29,27
1610612752,New York Knicks,82,2024-25,19.4,14.3,15.7,52.5,15.7,12.8,14.5,50.2,3,15,14,6,3,4,10,20
1610612760,Oklahoma City Thunder,82,2024-25,21.8,14.8,16.1,51.1,12.7,15.0,12.3,42.5,1,11,11,10,1,24,1,1
1610612753,Orlando Magic,82,2024-25,19.0,14.0,13.8,45.8,17.3,11.9,13.9,45.7,6,17,25,24,13,1,6,3
1610612755,Philadelphia 76ers,82,2024-25,18.6,13.0,15.7,46.8,16.8,15.1,16.1,50.5,9,20,16,22,11,25,18,22
1610612756,Phoenix Suns,82,2024-25,15.7,12.4,12.7,42.2,17.9,14.0,17.1,49.4,24,26,28,29,20,16,26,15
1610612757,Portland Trail Blazers,82,2024-25,17.8,16.6,15.8,48.9,19.2,14.7,17.5,48.5,13,2,13,15,25,19,28,13
1610612758,Sacramento Kings,82,2024-25,17.4,14.4,14.3,48.0,16.7,13.1,13.3,47.4,16,14,21,17,9,7,3,9
1610612759,San Antonio Spurs,82,2024-25,17.1,12.6,16.2,47.9,17.4,15.8,15.5,50.5,18,25,10,19,16,28,17,22
1610612761,Toronto Raptors,82,2024-25,18.5,15.6,18.1,53.4,18.3,14.7,16.2,49.9,11,6,4,4,22,19,20,19
1610612762,Utah Jazz,82,2024-25,13.4,14.9,14.0,47.9,21.8,15.7,19.4,52.4,30,9,24,18,30,27,30,28
1610612764,Washington Wizards,82,2024-25,15.1,12.9,16.0,46.2,19.7,16.3,17.4,51.4,28,23,12,23,29,30,27,25
