TEAM_ID,TEAM_NAME,FTM,FTA,FT_PCT,PF,PFD,FTM_RANK,FTA_RANK,FT_PCT_RANK,PF_RANK,PFD_RANK,season,OPP_OPP_FTM,OPP_OPP_FTA,OPP_OPP_FT_PCT,OPP_OPP_PF,OPP_OPP_PFD,OPP_OPP_FTM_RANK,OPP_OPP_FTA_RANK,OPP_OPP_FT_PCT_RANK,OPP_OPP_PF_RANK,OPP_OPP_PFD_RANK
1610612743,Denver Nuggets,15.1,19.9,0.762,18.2,17.9,29,29,25,9,26,2023-24,17.1,22.2,0.772,17.9,18.2,18,20,6,4,22
1610612765,Detroit Pistons,17.0,21.7,0.785,20.6,17.8,14,15,12,28,28,2023-24,19.6,24.5,0.8,17.8,20.6,29,28,28,3,3
1610612744,Golden State Warriors,15.6,20.0,0.78,19.5,17.9,24,27,17,22,24,2023-24,17.7,22.4,0.788,17.9,19.5,22,22,18,7,9
1610612745,Houston Rockets,18.1,23.4,0.773,20.8,19.6,9,5,20,29,6,2023-24,19.3,25.2,0.767,19.6,20.8,28,29,2,25,2
1610612754,Indiana Pacers,16.1,20.5,0.782,21.4,18.3,21,22,13,30,20,2023-24,20.5,26.0,0.787,18.3,21.4,30,30,17,11,1
1610612746,LA Clippers,18.3,22.2,0.825,18.5,18.7,8,12,3,14,15,2023-24,16.2,21.0,0.775,18.7,18.5,9,10,8,16,17
1610612747,Los Angeles Lakers,18.9,24.2,0.782,15.6,19.7,2,2,15,1,4,2023-24,14.3,18.0,0.795,19.7,15.6,2,2,25,27,30
1610612763,Memphis Grizzlies,16.0,21.0,0.764,19.1,18.8,22,19,23,20,13,2023-24,17.0,21.8,0.779,18.8,19.1,15,16,11,18,11
1610612748,Miami Heat,18.0,22.0,0.818,17.3,18.9,10,13,5,4,11,2023-24,15.0,19.2,0.78,18.9,17.3,3,3,12,20,27
1610612749,Milwaukee Bucks,18.5,23.9,0.774,19.2,19.2,7,3,19,21,9,2023-24,17.4,21.5,0.807,19.2,19.2,21,13,29,22,10
1610612750,Minnesota Timberwolves,17.8,22.9,0.777,18.8,19.9,11,8,18,18,3,2023-24,17.1,21.9,0.781,19.9,18.8,17,19,14,28,13
1610612740,New Orleans Pelicans,17.6,22.8,0.771,18.4,18.4,13,9,21,11,18,2023-24,16.2,20.7,0.783,18.4,18.4,8,7,15,13,20
1610612752,New York Knicks,17.0,21.8,0.78,17.6,19.1,16,14,16,6,10,2023-24,15.1,19.8,0.764,19.1,17.6,4,4,1,21,25
1610612760,Oklahoma City Thunder,17.7,21.5,0.825,18.8,18.9,12,17,4,19,12,2023-24,18.1,22.9,0.789,18.9,18.8,23,23,20,19,12
