date,matchup,object,dog_team,dog_ml_price,fav_implied,sp_fip_diff,off_diff,bp_era_diff,fav_bp_era,dog_bp_era,day_night,win_loss
2026-04-12,SFG @ BAL,bp_adv_dog,SFG,113,0.5400,+0.642,-0.550,+0.260,4.570,4.310,day,pending
2026-04-12,BOS @ STL,bp_adv_dog,STL,110,0.5330,-0.172,-0.450,+0.156,4.636,4.480,day,pending
