context_output,bucket,bucket_n,archetype,response_family,archetype_count,archetype_pct
bs,LOW,2080,NUMBER_UP_SMALL,OVERWARD_NUMBER,307,14.76
bs,LOW,2080,NUMBER_UP_LARGE,OVERWARD_NUMBER,90,4.33
bs,LOW,2080,NUMBER_DOWN_SMALL,UNDERWARD_NUMBER,454,21.83
bs,LOW,2080,NUMBER_DOWN_LARGE,UNDERWARD_NUMBER,131,6.3
bs,LOW,2080,JUICE_ONLY_OVER,OVERWARD_JUICE_ONLY,452,21.73
bs,LOW,2080,JUICE_ONLY_UNDER,UNDERWARD_JUICE_ONLY,506,24.33
bs,LOW,2080,STATIC,STATIC,140,6.73
bs,MID,2080,NUMBER_UP_SMALL,OVERWARD_NUMBER,356,17.12
bs,MID,2080,NUMBER_UP_LARGE,OVERWARD_NUMBER,77,3.7
bs,MID,2080,NUMBER_DOWN_SMALL,UNDERWARD_NUMBER,495,23.8
bs,MID,2080,NUMBER_DOWN_LARGE,UNDERWARD_NUMBER,116,5.58
bs,MID,2080,JUICE_ONLY_OVER,OVERWARD_JUICE_ONLY,443,21.3
bs,MID,2080,JUICE_ONLY_UNDER,UNDERWARD_JUICE_ONLY,454,21.83
bs,MID,2080,STATIC,STATIC,139,6.68
bs,HIGH,2080,NUMBER_UP_SMALL,OVERWARD_NUMBER,336,16.15
bs,HIGH,2080,NUMBER_UP_LARGE,OVERWARD_NUMBER,79,3.8
bs,HIGH,2080,NUMBER_DOWN_SMALL,UNDERWARD_NUMBER,453,21.78
bs,HIGH,2080,NUMBER_DOWN_LARGE,UNDERWARD_NUMBER,73,3.51
bs,HIGH,2080,JUICE_ONLY_OVER,OVERWARD_JUICE_ONLY,466,22.4
bs,HIGH,2080,JUICE_ONLY_UNDER,UNDERWARD_JUICE_ONLY,527,25.34
bs,HIGH,2080,STATIC,STATIC,146,7.02
wpl,LOW,2080,NUMBER_UP_SMALL,OVERWARD_NUMBER,267,12.84
wpl,LOW,2080,NUMBER_UP_LARGE,OVERWARD_NUMBER,158,7.6
wpl,LOW,2080,NUMBER_DOWN_SMALL,UNDERWARD_NUMBER,473,22.74
wpl,LOW,2080,NUMBER_DOWN_LARGE,UNDERWARD_NUMBER,180,8.65
wpl,LOW,2080,JUICE_ONLY_OVER,OVERWARD_JUICE_ONLY,385,18.51
wpl,LOW,2080,JUICE_ONLY_UNDER,UNDERWARD_JUICE_ONLY,491,23.61
wpl,LOW,2080,STATIC,STATIC,126,6.06
wpl,MID,2080,NUMBER_UP_SMALL,OVERWARD_NUMBER,348,16.73
wpl,MID,2080,NUMBER_UP_LARGE,OVERWARD_NUMBER,45,2.16
wpl,MID,2080,NUMBER_DOWN_SMALL,UNDERWARD_NUMBER,467,22.45
wpl,MID,2080,NUMBER_DOWN_LARGE,UNDERWARD_NUMBER,74,3.56
wpl,MID,2080,JUICE_ONLY_OVER,OVERWARD_JUICE_ONLY,480,23.08
wpl,MID,2080,JUICE_ONLY_UNDER,UNDERWARD_JUICE_ONLY,515,24.76
wpl,MID,2080,STATIC,STATIC,151,7.26
wpl,HIGH,2080,NUMBER_UP_SMALL,OVERWARD_NUMBER,384,18.46
wpl,HIGH,2080,NUMBER_UP_LARGE,OVERWARD_NUMBER,43,2.07
wpl,HIGH,2080,NUMBER_DOWN_SMALL,UNDERWARD_NUMBER,462,22.21
wpl,HIGH,2080,NUMBER_DOWN_LARGE,UNDERWARD_NUMBER,66,3.17
wpl,HIGH,2080,JUICE_ONLY_OVER,OVERWARD_JUICE_ONLY,496,23.85
wpl,HIGH,2080,JUICE_ONLY_UNDER,UNDERWARD_JUICE_ONLY,481,23.12
wpl,HIGH,2080,STATIC,STATIC,148,7.12
