flag,hypothesis_direction,best_bucket,best_disc_over_rate,best_disc_gap,validation_consistent,oos_consistent,overall_disposition,notes
PATH_ASYMMETRY,UNDER,LOW_LINE,0.4615,-0.1445,N/A,YES,MONITOR,
HANDOFF_COLLAPSE,UNDER,HIGH_LINE,0.3333,-0.1523,YES,YES,MONITOR,
DEPTH_MISMATCH,UNDER,HIGH_LINE,0.4103,-0.0661,YES,YES,MONITOR,
