Engine commit: ae55ebe32
Games: 1087 total, 0 done, 1087 to run
Workers: 10 (cores=11, avail_mem=7.6GB, peak_rss=321MB)
  [97/1087] 2021_07_CHI_TB: 35.4s, 2 iter
  [98/1087] 2021_07_CIN_BAL: 34.2s, 2 iter
  [99/1087] 2021_07_DEN_CLE: 34.8s, 2 iter
  [100/1087] 2021_07_DET_LA: 52.6s, 3 iter
  [101/1087] 2021_07_KC_TEN: 36.8s, 2 iter
  [102/1087] 2021_07_WAS_GB: 34.4s, 2 iter
  [103/1087] 2021_07_PHI_LV: 37.6s, 2 iter
  [104/1087] 2021_07_IND_SF: 51.8s, 3 iter
  [105/1087] 2021_07_NO_SEA: 53.8s, 3 iter
  [106/1087] 2021_07_HOU_ARI: 58.6s, 3 iter
  [107/1087] 2021_07_NYJ_NE: 52.5s, 3 iter
  [108/1087] 2021_08_CIN_NYJ: 48.8s, 3 iter
  [109/1087] 2021_08_CAR_ATL: 53.2s, 3 iter
  [110/1087] 2021_08_GB_ARI: 34.1s, 2 iter
  [111/1087] 2021_08_MIA_BUF: 35.2s, 2 iter
  [112/1087] 2021_08_DAL_MIN: 53.9s, 3 iter
  [113/1087] 2021_08_NE_LAC: 35.2s, 2 iter
  [114/1087] 2021_08_PHI_DET: 35.7s, 2 iter
  [115/1087] 2021_08_JAX_SEA: 52.6s, 3 iter
  [116/1087] 2021_08_PIT_CLE: 33.5s, 2 iter
  [117/1087] 2021_08_LA_HOU: 52.9s, 3 iter
  [118/1087] 2021_08_SF_CHI: 34.0s, 2 iter
  [119/1087] 2021_08_TB_NO: 51.6s, 3 iter
  [120/1087] 2021_08_NYG_KC: 70.7s, 4 iter
  [121/1087] 2021_09_CHI_PIT: 34.5s, 2 iter
  [122/1087] 2021_08_TEN_IND: 48.0s, 3 iter
  [123/1087] 2021_08_WAS_DEN: 50.7s, 3 iter
  [124/1087] 2021_09_ARI_SF: 53.9s, 3 iter
  [125/1087] 2021_09_HOU_MIA: 17.7s, 1 iter
  [126/1087] 2021_09_ATL_NO: 53.2s, 3 iter
  [127/1087] 2021_09_CLE_CIN: 48.3s, 3 iter
  [128/1087] 2021_09_BUF_JAX: 52.4s, 3 iter
  [129/1087] 2021_09_DEN_DAL: 51.3s, 3 iter
  [130/1087] 2021_09_LAC_PHI: 36.2s, 2 iter
  [131/1087] 2021_09_LV_NYG: 36.1s, 2 iter
  [132/1087] 2021_09_NE_CAR: 36.1s, 2 iter
  [133/1087] 2021_09_NYJ_IND: 51.5s, 3 iter
  [134/1087] 2021_09_TEN_LA: 54.1s, 3 iter
  [135/1087] 2021_10_ATL_DAL: 57.9s, 3 iter
  [136/1087] 2021_10_BAL_MIA: 56.4s, 3 iter
  [137/1087] 2021_10_CLE_NE: 37.8s, 2 iter
  [138/1087] 2021_10_CAR_ARI: 40.8s, 2 iter
  [139/1087] 2021_09_GB_KC: 87.6s, 5 iter
  [140/1087] 2021_09_MIN_BAL: 73.3s, 4 iter
  [141/1087] 2021_10_DET_PIT: 36.6s, 2 iter
  [142/1087] 2021_10_BUF_NYJ: 73.7s, 4 iter
  [143/1087] 2021_10_JAX_IND: 35.7s, 2 iter
