label,N,WR,ImpWR,Resid,ROI_fav,ROI_dog,phase,dim
MIXED+STARTER-HOLD,32,0.5625,0.5342,0.0283,0.81,-10.16,..2023,cross
MIXED+STARTER-HOLD,38,0.4211,0.5377,-0.1166,-25.16,19.69,Validation,cross
MIXED+STARTER-HOLD,42,0.4762,0.5334,-0.0572,-14.37,7.86,OOS,cross
MIXED+LATE-CONVERT,162,0.4938,0.5368,-0.0429,-11.82,4.73,Discovery,cross
MIXED+LATE-CONVERT,60,0.55,0.5393,0.0107,-2.26,-6.42,..2022,cross
MIXED+LATE-CONVERT,102,0.4608,0.5353,-0.0745,-17.45,11.29,..2023,cross
MIXED+LATE-CONVERT,81,0.5556,0.536,0.0195,-0.86,-8.51,Validation,cross
MIXED+LATE-CONVERT,96,0.5312,0.5334,-0.0022,-4.79,-3.95,OOS,cross
MIXED+GRIND-OUT,72,0.5,0.5365,-0.0365,-10.75,3.25,Discovery,cross
MIXED+GRIND-OUT,48,0.5208,0.5358,-0.015,-7.07,-1.46,..2022,cross
MIXED+GRIND-OUT,24,0.4583,0.5379,-0.0796,-18.11,12.67,..2023,cross
MIXED+GRIND-OUT,68,0.4706,0.5371,-0.0665,-16.04,9.6,Validation,cross
MIXED+GRIND-OUT,55,0.4545,0.5345,-0.0799,-18.81,11.81,OOS,cross
MIXED+VOLATILE,53,0.4528,0.5356,-0.0828,-18.77,13.26,Discovery,cross
MIXED+VOLATILE,27,0.4815,0.5356,-0.0542,-13.49,7.59,..2022,cross
MIXED+VOLATILE,26,0.4231,0.5355,-0.1125,-24.25,19.16,..2023,cross
MIXED+VOLATILE,24,0.4167,0.5304,-0.1137,-24.18,19.88,Validation,cross
MIXED+VOLATILE,49,0.4694,0.5333,-0.0639,-16.32,8.17,OOS,cross
MIXED+UNCLASSIFIED,180,0.55,0.5356,0.0144,-1.44,-6.91,Discovery,cross
MIXED+UNCLASSIFIED,91,0.5714,0.5377,0.0337,1.99,-10.93,..2022,cross
MIXED+UNCLASSIFIED,89,0.5281,0.5335,-0.0054,-4.95,-2.8,..2023,cross
MIXED+UNCLASSIFIED,122,0.5738,0.5356,0.0382,2.52,-12.21,Validation,cross
MIXED+UNCLASSIFIED,116,0.5086,0.5346,-0.0259,-9.12,0.86,OOS,cross
SP-LED+LOW,71,0.5915,0.537,0.0546,5.63,-15.42,Discovery,reason_total
SP-LED+MID,68,0.6912,0.5372,0.154,23.22,-36.34,Discovery,reason_total
OFFENSE-LED+LOW,42,0.6429,0.5387,0.1041,14.53,-25.69,Discovery,reason_total
OFFENSE-LED+MID,44,0.5455,0.5378,0.0077,-2.72,-5.73,Discovery,reason_total
HOME-LED+LOW,37,0.6486,0.5386,0.1101,15.26,-27.43,Discovery,reason_total
MIXED+LOW,238,0.5294,0.5362,-0.0068,-5.42,-2.89,Discovery,reason_total
MIXED+MID,216,0.5231,0.5354,-0.0122,-6.27,-1.53,Discovery,reason_total
