game_pk,date,season,home_team,away_team,fav_side,fav_team,dog_team,fav_implied,fav_ml_price,dog_ml_price,total_line,fav_sp_fip,dog_sp_fip,sp_fip_diff,fav_off,dog_off,off_diff,fav_bp_era,dog_bp_era,bp_era_diff,fav_is_home,reason,winpath,fav_won
662349,2022-04-20,2022,NYM,SFG,away,SFG,NYM,0.5217391304347826,-120,100,6.5,0.6000000000000001,2.6,-2.0,4.363636363636363,4.916666666666667,-0.5530303030303036,1.9302949061662198,3.7871287128712874,-1.8568338067050676,0,SP-LED,STARTER-HOLD,1
662742,2022-04-21,2022,KCR,MIN,away,MIN,KCR,0.552594002855783,-135,115,8.0,4.7,3.4883495145631067,1.2116504854368935,3.3333333333333335,3.1,0.2333333333333334,5.538461538461538,5.128205128205129,0.4102564102564097,0,MIXED,UNCLASSIFIED,1
662175,2022-04-22,2022,SEA,KCR,home,SEA,KCR,0.552594002855783,-135,115,7.5,4.387128712871287,3.253846153846154,1.1332825590251332,4.230769230769231,2.8181818181818183,1.4125874125874125,2.849604221635884,4.603580562659847,-1.7539763410239626,1,MIXED,LATE-CONVERT,1
661760,2022-04-25,2022,TOR,BOS,home,TOR,BOS,0.5427435387673957,-130,110,8.0,6.2531531531531535,5.635211267605634,0.6179418855475198,4.125,3.625,0.5,3.015075376884422,3.6986301369863015,-0.6835547601018797,1,MIXED,LATE-CONVERT,1
662540,2022-04-26,2022,WSN,MIA,away,MIA,WSN,0.5217391304347826,-120,100,7.5,3.3094240837696334,3.8801418439716313,-0.5707177602019979,3.933333333333333,3.4444444444444446,0.4888888888888885,3.8876889848812097,4.63519313304721,-0.7475041481660001,0,MIXED,STARTER-HOLD,1
662048,2022-04-27,2022,STL,NYM,away,NYM,STL,0.5217391304347826,-120,100,7.0,2.6402298850574715,2.190909090909091,0.44932079414838055,4.684210526315789,3.875,0.8092105263157894,3.5820895522388057,2.769230769230769,0.8128587830080365,0,MIXED,STARTER-HOLD,0
662546,2022-04-27,2022,WSN,MIA,away,MIA,WSN,0.552594002855783,-135,115,7.0,1.638011695906433,4.092366412213741,-2.4543547163073076,4.0,3.3684210526315788,0.6315789473684212,3.8336713995943206,4.438356164383562,-0.604684764789241,0,SP-LED,STARTER-HOLD,1
661907,2022-04-29,2022,TBR,MIN,home,TBR,MIN,0.5427435387673957,-130,110,8.0,4.29718309859155,1.709271523178808,2.5879115754127415,4.2105263157894735,3.9473684210526314,0.26315789473684204,3.1395348837209305,4.191780821917808,-1.0522459381968776,1,MIXED,LATE-CONVERT,1
662592,2022-04-29,2022,NYM,PHI,home,NYM,PHI,0.5324675324675325,-125,105,7.0,2.696412556053812,3.90188679245283,-1.2054742363990183,4.7,4.8,-0.09999999999999964,3.673469387755102,4.834123222748816,-1.1606538349937137,1,SP-LED,STARTER-HOLD,1
661209,2022-04-29,2022,MIL,CHC,home,MIL,CHC,0.552594002855783,-135,115,7.5,3.1694444444444447,3.203092783505155,-0.033648339060710075,3.7,4.842105263157895,-1.1421052631578945,3.773291925465839,3.1337047353760448,0.6395871900897943,1,MIXED,STARTER-HOLD,1
663009,2022-04-29,2022,COL,CIN,home,COL,CIN,0.5217391304347826,-120,100,10.5,3.5580152671755725,4.993939393939394,-1.4359241267638216,4.2105263157894735,3.1052631578947367,1.1052631578947367,5.454545454545455,4.555403556771546,0.8991418977739087,1,SP-LED,VOLATILE,1
661825,2022-04-30,2022,TOR,HOU,home,TOR,HOU,0.552594002855783,-135,115,8.0,4.757458563535911,4.613157894736842,0.1443006687990689,3.85,3.95,-0.10000000000000009,4.44,3.75,0.6900000000000004,1,MIXED,GRIND-OUT,1
661534,2022-04-30,2022,CHW,LAA,home,CHW,LAA,0.5324675324675325,-125,105,9.0,6.108849557522124,5.620325203252033,0.48852435427009056,3.1578947368421053,5.15,-1.992105263157895,4.595744680851063,4.313471502590674,0.28227317826038956,1,MIXED,VOLATILE,1
661389,2022-04-30,2022,MIA,SEA,home,MIA,SEA,0.5217391304347826,-120,100,7.5,1.326950354609929,4.693625498007968,-3.366675143398039,4.052631578947368,4.7,-0.647368421052632,3.9335664335664333,3.267776096822996,0.6657903367434375,1,SP-LED,STARTER-HOLD,1
