game_pk,date,season,home_team,away_team,temperature,total_line,f5_total,f5_ratio,total_over_price,actual_total,over_result,month,early_heavy,cold_park,warm_day
776660,2025-08-20,2025,COL,LAD,94.3,11.5,6.5,0.5652173913043478,-117.0,11,0,8,True,True,True
776653,2025-08-21,2025,MIN,OAK,78.4,9.5,7.5,0.7894736842105263,-109.0,11,1,8,True,True,True
776612,2025-08-24,2025,BAL,HOU,81.1,9.0,5.5,0.6111111111111112,-109.0,5,0,8,True,True,True
776597,2025-08-25,2025,NYY,WSN,81.9,9.0,5.5,0.6111111111111112,-121.0,15,1,8,True,True,True
776588,2025-08-26,2025,NYY,WSN,77.2,9.0,5.5,0.6111111111111112,-116.0,6,0,8,True,True,True
776570,2025-08-27,2025,NYY,WSN,75.4,8.5,6.5,0.7647058823529411,-106.0,13,1,8,True,True,True
776560,2025-08-28,2025,PHI,ATL,75.6,9.5,5.5,0.5789473684210527,-111.0,23,1,8,True,True,True
776545,2025-08-29,2025,WSN,TBR,77.9,9.0,5.5,0.6111111111111112,-115.0,5,0,8,True,True,True
776535,2025-08-30,2025,NYM,MIA,78.4,7.5,4.5,0.6,-117.0,19,1,8,True,True,True
776520,2025-08-31,2025,WSN,TBR,76.6,8.0,5.5,0.6875,-114.0,11,1,8,True,True,True
776492,2025-09-01,2025,COL,SFG,80.0,11.5,6.5,0.5652173913043478,-105.0,10,0,9,True,True,True
776466,2025-09-03,2025,KCR,LAA,77.5,9.0,5.5,0.6111111111111112,-110.0,7,0,9,True,True,True
776467,2025-09-03,2025,COL,SFG,85.5,11.0,6.5,0.5909090909090909,-119.0,18,1,9,True,True,True
776354,2025-09-12,2025,PHI,KCR,79.3,9.0,5.5,0.6111111111111112,-119.0,10,1,9,True,True,True
776342,2025-09-13,2025,PHI,KCR,80.1,9.5,5.5,0.5789473684210527,-108.0,14,1,9,True,True,True
776334,2025-09-14,2025,PHI,KCR,84.1,8.5,5.5,0.6470588235294118,-118.0,13,1,9,True,True,True
776313,2025-09-15,2025,MIN,NYY,80.5,9.0,5.5,0.6111111111111112,-116.0,7,0,9,True,True,True
776287,2025-09-17,2025,PIT,CHC,76.4,7.5,9.5,1.2666666666666666,-118.0,12,1,9,True,True,True
776234,2025-09-21,2025,PIT,OAK,77.5,8.5,5.5,0.6470588235294118,-108.0,11,1,9,True,True,True
776232,2025-09-21,2025,COL,LAA,78.6,11.5,6.5,0.5652173913043478,-106.0,4,0,9,True,True,True
776211,2025-09-23,2025,SFG,STL,79.5,7.5,4.5,0.6,-108.0,17,1,9,True,True,True
776151,2025-09-28,2025,BOS,DET,80.6,9.0,5.5,0.6111111111111112,-115.0,7,0,9,True,True,True
