band,side,season,N,win_rate,implied,residual,roi_pct
A,Home Fav (bet home),2022,194,0.5463917525773195,0.5276489472162124,0.018742805361107173,-0.8419243986254275
A,Home Fav (bet home),2023,292,0.5068493150684932,0.5263879190852003,-0.01953860401670715,-7.766988166423701
A,Home Fav (bet home),2024,254,0.47244094488188976,0.525797146035423,-0.05335620115353329,-14.076260443613133
A,Home Fav (bet home),2025,293,0.5187713310580204,0.5244369334677884,-0.005665602409767989,-5.5965322293007835
A,Home Dog (bet home),2022,144,0.4583333333333333,0.47282216575694835,-0.014488832423615039,-7.326388888888882
A,Home Dog (bet home),2023,256,0.46484375,0.474242277544159,-0.009398527544158986,-6.240808823529412
A,Home Dog (bet home),2024,165,0.42424242424242425,0.4749133252892276,-0.05067090104680333,-14.4022578728461
A,Home Dog (bet home),2025,177,0.559322033898305,0.47552130373812,0.08380073016018502,12.34670669084762
A,Away Fav (bet away),2022,144,0.5416666666666666,0.5271778342430518,0.014488832423614872,-1.712962962962963
A,Away Fav (bet away),2023,256,0.53515625,0.5257577224558411,0.00939852754415893,-2.6088590870149035
A,Away Fav (bet away),2024,165,0.5757575757575758,0.5250866747107725,0.050670901046803274,5.017678872638584
A,Away Fav (bet away),2025,177,0.4406779661016949,0.5244786962618799,-0.08380073016018502,-19.722829146442418
A,Away Dog (bet away),2022,194,0.4536082474226804,0.47235105278378764,-0.01874280536110723,-8.065783014236615
A,Away Dog (bet away),2023,292,0.4931506849315068,0.4736120809147997,0.019538604016707095,-0.23509266720385585
A,Away Dog (bet away),2024,254,0.5275590551181102,0.474202853964577,0.05335620115353318,6.382738922340593
A,Away Dog (bet away),2025,293,0.4812286689419795,0.4755630665322116,0.005665602409767934,-3.4798950638631774
B,Home Fav (bet home),2022,276,0.5543478260869565,0.5321335722422885,0.02221425384466802,-0.17372723894463069
B,Home Fav (bet home),2023,432,0.5138888888888888,0.5316883513896155,-0.017799462500726615,-7.351048269185255
B,Home Fav (bet home),2024,350,0.4857142857142857,0.5304397219370053,-0.04472543622271957,-12.377329455351132
B,Home Fav (bet home),2025,389,0.5347043701799485,0.5288095454578108,0.005894824722137759,-3.500813258272744
B,Home Dog (bet home),2022,215,0.4372093023255814,0.4677047225202864,-0.03049542019470497,-10.581395348837187
B,Home Dog (bet home),2023,358,0.4664804469273743,0.46940274328779424,-0.0029222963604199625,-4.797896812356227
B,Home Dog (bet home),2024,235,0.4340425531914894,0.46966214083285307,-0.03561958764136369,-11.3249895702962
B,Home Dog (bet home),2025,254,0.5393700787401575,0.47022616538496953,0.06914391335518799,9.501445213700901
B,Away Fav (bet away),2022,215,0.5627906976744186,0.5322952774797136,0.03049542019470497,1.222524286432009
B,Away Fav (bet away),2023,358,0.5335195530726257,0.5305972567122058,0.0029222963604198515,-3.6704518782951325
B,Away Fav (bet away),2024,235,0.5659574468085107,0.530337859167147,0.03561958764136364,2.3446550513288886
B,Away Fav (bet away),2025,254,0.46062992125984253,0.5297738346150305,-0.06914391335518794,-16.97771399250462
B,Away Dog (bet away),2022,276,0.44565217391304346,0.4678664277577115,-0.02221425384466802,-8.749137336093842
B,Away Dog (bet away),2023,432,0.4861111111111111,0.46831164861038455,0.01779946250072656,-0.4829793028322294
B,Away Dog (bet away),2024,350,0.5142857142857142,0.46956027806299483,0.044725436222719406,4.803473389355743
B,Away Dog (bet away),2025,389,0.4652956298200514,0.4711904545421893,-0.00589482472213787,-5.839612477408508
C,Home Fav (bet home),2022,448,0.5915178571428571,0.5417950276208604,0.04972282952199669,4.615073218321719
C,Home Fav (bet home),2023,726,0.5303030303030303,0.5421437495621061,-0.011840719259075816,-6.132190102645574
C,Home Fav (bet home),2024,590,0.5169491525423728,0.5413965087121627,-0.02444735616978988,-8.623174626727725
C,Home Fav (bet home),2025,608,0.5263157894736842,0.5388386194973233,-0.012522830023639075,-6.6301140142050645
C,Home Dog (bet home),2022,347,0.43515850144092216,0.45821479230295675,-0.02305629086203459,-8.87608069164266
C,Home Dog (bet home),2023,536,0.4458955223880597,0.4604142820825299,-0.014518759694470196,-7.172848990342401
C,Home Dog (bet home),2024,379,0.43535620052770446,0.4595772319422928,-0.024221031414588312,-8.953489575249627
C,Home Dog (bet home),2025,402,0.5174129353233831,0.46015858359236933,0.05725435173101373,7.30937085641798
C,Away Fav (bet away),2022,347,0.5648414985590778,0.5417852076970434,0.023056290862034423,0.051679403173750804
C,Away Fav (bet away),2023,536,0.5541044776119403,0.5395857179174701,0.01451875969447014,-1.5374122829518595
C,Away Fav (bet away),2024,379,0.5646437994722955,0.5404227680577072,0.024221031414588312,0.3346744478281488
C,Away Fav (bet away),2025,402,0.48258706467661694,0.5398414164076306,-0.057254351731013675,-14.686739815087362
C,Away Dog (bet away),2022,448,0.40848214285714285,0.45820497237913965,-0.0497228295219968,-14.73161139455783
C,Away Dog (bet away),2023,726,0.4696969696969697,0.4578562504378939,0.011840719259075816,-1.5587425052665662
C,Away Dog (bet away),2024,590,0.4830508474576271,0.4586034912878373,0.024447356169789825,0.7444333665669646
C,Away Dog (bet away),2025,608,0.47368421052631576,0.4611613805026767,0.012522830023639075,-1.815146798868275
