strategy,decision,disc_N,disc_wr,disc_imp,disc_resid,disc_roi,val_N,val_wr,val_imp,val_resid,val_roi,oos_N,oos_wr,oos_imp,oos_resid,oos_roi
Home Dogs Band B,KILL,573,0.45549738219895286,0.46876561507660025,-0.01326823287764739,-6.96797043424698,235,0.4340425531914894,0.46966214083285307,-0.03561958764136369,-11.3249895702962,254,0.5393700787401575,0.47022616538496953,0.06914391335518799,9.501445213700901
Home Dogs Band C,KILL,883,0.4416761041902605,0.4595499299267972,-0.01787382573653673,-7.8421823995736455,379,0.43535620052770446,0.4595772319422928,-0.024221031414588312,-8.953489575249627,402,0.5174129353233831,0.46015858359236933,0.05725435173101373,7.30937085641798
Home Dogs Band C + Rest Adv,KILL,39,0.358974358974359,0.4630863773999577,-0.10411201842559875,-25.43489190548014,15,0.3333333333333333,0.45856228676796135,-0.12522895343462803,-31.2,17,0.47058823529411764,0.45804353572965617,0.01254469956446147,-2.465974625144175
Home Dogs Band B + Day,KILL,157,0.445859872611465,0.468005279127555,-0.022145406516090038,-8.72586486824027,71,0.4084507042253521,0.46950841176380687,-0.06105770753845474,-16.616404308202156,66,0.42424242424242425,0.47111470689469687,-0.04687228265227261,-13.99484539751633
Home Dogs Band C + Day,KILL,245,0.4530612244897959,0.45897907917219866,-0.005917854682402746,-5.093717486994797,115,0.40869565217391307,0.4599210778788645,-0.05122542570495142,-14.55447570332481,109,0.43119266055045874,0.45956093782189633,-0.028368277271437592,-10.10697060767044
Away Fav Band C + Night,WATCH,638,0.5626959247648903,0.5402308562254337,0.022465068539456623,-0.16067611497474552,264,0.553030303030303,0.5405725494315926,0.012457753598710375,-1.760147237920796,293,0.45051194539249145,0.5396190840220281,-0.08910713862953662,-20.41928892209343
Home Fav Band B,KILL,708,0.5296610169491526,0.5318619120609965,-0.002200895111843959,-4.55310956248128,350,0.4857142857142857,0.5304397219370053,-0.04472543622271957,-12.377329455351132,389,0.5347043701799485,0.5288095454578108,0.005894824722137759,-3.500813258272744
Home Fav Band C,KILL,1174,0.5536626916524702,0.5420106767940669,0.011652014858403281,-2.031019772327557,590,0.5169491525423728,0.5413965087121627,-0.02444735616978988,-8.623174626727725,608,0.5263157894736842,0.5388386194973233,-0.012522830023639075,-6.6301140142050645
