tier,N,mkt_err,over_rate,roi,inverted
LEAN_OVER,87,0.7,51.7,-1.3,False
NO_SIGNAL,50,1.2,52.0,-0.7,False
LEAN_UNDER,8,10.9,75.0,-52.3,True
