tier,N,mkt_err,over_rate,roi,inverted
LEAN_OVER,147,-0.8,46.3,-11.7,False
NO_SIGNAL,128,1.0,53.9,3.7,False
LEAN_UNDER,16,7.4,75.0,-52.3,True
