label,N,win_rate,implied_pct,edge_pp,roi,delta
OVERALL,118.0,52.54237288135594,67.02559322033896,-14.483220338983028,-21.608492581887486,
ARCH_01,6.0,50.0,54.72166666666666,-4.721666666666657,-8.628513995065925,9.76155367231637
ARCH_02,22.0,50.0,61.0090909090909,-11.0090909090909,-18.04500074504544,3.474129429892127
ARCH_03,39.0,46.15384615384615,66.15589743589744,-20.00205128205128,-30.234721403987468,-5.518830943068252
ARCH_04,51.0,58.82352941176471,71.7335294117647,-12.91,-17.997162701829485,1.5732203389830275
---ALL MARKETS---,,,,,,
OVERALL,590.0,16.94915254237288,19.325762711864407,-2.3766101694915247,-12.297626773780495,
ARCH_01,30.0,13.333333333333334,14.401000000000003,-1.0676666666666694,-7.4138370020600615,1.3089435028248553
ARCH_02,110.0,17.272727272727273,16.72172727272727,0.5510000000000015,3.295114141101135,2.927610169491526
ARCH_03,195.0,16.41025641025641,19.023794871794873,-2.613538461538462,-13.738260316364931,-0.2369282920469371
ARCH_04,255.0,17.647058823529413,21.259372549019606,-3.612313725490193,-16.991629066949006,-1.2357035559986684
