outcome,class,feature_a,feature_b,features,n_flagged,z_score,hit_rate,baseline,direction,val_z,val_n,val_hit,oos_z,oos_n,oos_hit,oos_att
b110,B,home_ortg_H,home_pace_H,home_ortg_H × home_pace_H,114,2.977101837382173,0.6140350877192983,0.47479674796747967,OVER,4.406582437834311,134,0.6194029850746269,1.5339356734198852,110,0.5,48.47553905751822
b110,B,home_ortg_H,away_ortg_H,home_ortg_H × away_ortg_H,153,2.0004055104404297,0.5555555555555556,0.47479674796747967,OVER,2.3213672557422824,291,0.49828178694158076,2.5497302569698768,176,0.5227272727272727,-27.46066953237407
b110,B,home_ortg_H,away_ortg_x_home_drtg_H,home_ortg_H × away_ortg_x_home_drtg_H,157,2.1506907582490613,0.5605095541401274,0.47479674796747967,OVER,3.718667497581481,310,0.535483870967742,2.7922521892460583,154,0.538961038961039,-29.830482533867887
b110,B,home_ortg_H,away_pace_trend_H,home_ortg_H × away_pace_trend_H,146,3.4272809409888407,0.6164383561643836,0.47479674796747967,OVER,3.407031593306202,204,0.5490196078431373,2.7078330222709615,153,0.5359477124183006,20.99179877883906
b110,B,home_ortg_H,away_3pa_rate_H,home_ortg_H × away_3pa_rate_H,137,3.413712839864995,0.6204379562043796,0.47479674796747967,OVER,1.5451694138573329,200,0.485,1.51275306970483,255,0.4745098039215686,55.685989400190564
b110,B,home_ortg_H,away_tov_rate_L,home_ortg_H × away_tov_rate_L,160,2.0632452239750636,0.55625,0.47479674796747967,OVER,3.358581739089878,279,0.5304659498207885,2.12486269966507,133,0.518796992481203,-2.986434912050534
b110,B,home_drtg_H,away_pace_H,home_drtg_H × away_pace_H,126,4.134550736636788,0.6587301587301587,0.47479674796747967,OVER,3.8526022990173185,150,0.5866666666666667,3.569861020860801,105,0.6,13.65782528128627
b110,B,home_drtg_H,home_ortg_x_away_drtg_H,home_drtg_H × home_ortg_x_away_drtg_H,170,4.036998252052568,0.6294117647058823,0.47479674796747967,OVER,4.18855265729465,255,0.5607843137254902,1.6880990901082398,119,0.5042016806722689,58.18429970213774
b110,B,home_drtg_H,home_ortg_trend_H,home_drtg_H × home_ortg_trend_H,147,2.8416812395318507,0.5918367346938775,0.47479674796747967,OVER,1.9723284223351596,185,0.5027027027027027,1.3454036816658355,209,0.47368421052631576,52.65465869467181
b110,B,home_drtg_H,away_pace_trend_H,home_drtg_H × away_pace_trend_H,134,3.0061505276351705,0.6044776119402985,0.47479674796747967,OVER,4.049354432450651,235,0.5617021276595745,2.0546234254479123,237,0.4936708860759494,31.652676519022823
b110,B,home_drtg_H,proj_total_naive_H,home_drtg_H × proj_total_naive_H,145,4.016945765096936,0.6413793103448275,0.47479674796747967,OVER,6.048077588271665,292,0.6061643835616438,3.22638566955242,171,0.5497076023391813,19.68062656990935
b110,B,home_drtg_H,games_l7_home_H,home_drtg_H × games_l7_home_H,324,3.133522678997525,0.5617283950617284,0.47479674796747967,OVER,1.1737286039041257,499,0.45691382765531063,1.3442734100171045,442,0.4592760180995475,57.100249536181316
b110,B,home_drtg_H,games_l7_away_H,home_drtg_H × games_l7_away_H,330,2.9011023236872804,0.5545454545454546,0.47479674796747967,OVER,1.9056069540586915,501,0.47305389221556887,1.2575030783886987,435,0.4574712643678161,56.654301086822024
