game_pk,date,home_team,away_team,season_yr,ml_home_price,ml_away_price,p_home,p_away,home_win,h_whiff_r10,a_whiff_r10,h_zone_r10,a_zone_r10,bet_side,bet_home,bet_won,profit,fav_imp
663226,2022-05-07,BOS,CHW,2022,115,-135,0.447405997144217,0.552594002855783,0,0.20662780697563304,0.2865532490869418,0.505386114859799,0.4674266561342386,home,1,False,-1.0,0.552594002855783
663416,2022-05-10,LAA,TBR,2022,100,-120,0.4782608695652174,0.5217391304347826,1,0.16883666274970624,0.24872575363787205,0.5481724941724941,0.469987616711505,home,1,True,1.0,0.5217391304347826
661548,2022-05-11,ATL,BOS,2022,-125,105,0.5324675324675325,0.4675324675324675,1,0.2889695811434942,0.21518157768157767,0.4273340131875062,0.5500460791693205,away,0,False,-1.0,0.5324675324675325
663002,2022-05-21,COL,NYM,2022,105,-125,0.4675324675324675,0.5324675324675325,0,0.1792755366340771,0.2731251212391314,0.5400973325624894,0.4788340668538075,home,1,False,-1.0,0.5324675324675325
663002,2022-05-21,COL,NYM,2022,110,-130,0.4572564612326044,0.5427435387673957,0,0.1792755366340771,0.2731251212391314,0.5400973325624894,0.4788340668538075,home,1,False,-1.0,0.5427435387673957
662369,2022-05-27,OAK,TEX,2022,105,-125,0.4675324675324675,0.5324675324675325,0,0.19681830277526005,0.24631574099659206,0.5076042423244054,0.48321700147542845,home,1,False,-1.0,0.5324675324675325
662131,2022-05-28,SEA,HOU,2022,105,-125,0.4675324675324675,0.5324675324675325,1,0.2322341833611553,0.16960322911062967,0.4924591128389973,0.5770784481595144,away,0,False,-1.0,0.5324675324675325
663414,2022-05-29,LAA,TOR,2022,-135,115,0.552594002855783,0.447405997144217,0,0.24383654206099314,0.17144408318888668,0.48345472311844073,0.5151749861352638,away,0,True,1.15,0.552594002855783
661764,2022-06-01,TOR,CHW,2022,-135,115,0.552594002855783,0.447405997144217,1,0.15308221534227726,0.24401800996393422,0.5390069805314941,0.4554876490003671,home,1,True,0.7407407407407407,0.552594002855783
661934,2022-06-02,TEX,TBR,2022,115,-135,0.447405997144217,0.552594002855783,0,0.1866059693534586,0.23350971064893358,0.5116970763525419,0.4664419132224684,home,1,False,-1.0,0.552594002855783
661936,2022-06-04,TEX,SEA,2022,-125,105,0.5324675324675325,0.4675324675324675,1,0.24471130999023621,0.14022066611951658,0.4560498529177658,0.5018332105835188,away,0,False,-1.0,0.5324675324675325
663084,2022-06-11,CLE,OAK,2022,-130,110,0.5427435387673957,0.4572564612326044,0,0.18074791102448512,0.25072167099921316,0.5089634473574257,0.45987664568578024,home,1,False,-1.0,0.5427435387673957
661880,2022-06-14,TEX,HOU,2022,105,-125,0.4675324675324675,0.5324675324675325,0,0.23442050002402642,0.17930193178366602,0.4573001003085076,0.5498379525092572,away,0,True,0.8,0.5324675324675325
662986,2022-06-16,COL,CLE,2022,110,-130,0.4572564612326044,0.5427435387673957,0,0.22306660990529129,0.22773768044312814,0.4946293659955339,0.5301669139439622,away,0,True,0.7692307692307693,0.5427435387673957
662999,2022-06-18,COL,SDP,2022,105,-125,0.4675324675324675,0.5324675324675325,1,0.18858458352813726,0.2557866506859084,0.5375818968613085,0.4520221465899669,home,1,True,1.05,0.5324675324675325
661274,2022-06-24,NYY,HOU,2022,-130,110,0.5427435387673957,0.4572564612326044,0,0.2867212342094224,0.20268109346168878,0.4897386185377872,0.5331231731140827,away,0,True,1.1,0.5427435387673957
661139,2022-06-24,ATL,LAD,2022,115,-135,0.447405997144217,0.552594002855783,0,0.23439594222202914,0.2154766480023917,0.4263079547901447,0.5442434154735314,away,0,True,0.7407407407407407,0.552594002855783
663441,2022-06-25,LAA,SEA,2022,-135,115,0.552594002855783,0.447405997144217,0,0.25060458516815254,0.22499509114546767,0.4842211144857168,0.5440029057024852,away,0,True,1.15,0.552594002855783
662521,2022-06-28,NYM,HOU,2022,100,-120,0.4782608695652174,0.5217391304347826,0,0.24008889391043403,0.19223097208485623,0.43637312069222817,0.5537820956530706,away,0,True,0.8333333333333334,0.5217391304347826
663215,2022-06-29,CHC,CIN,2022,-135,115,0.552594002855783,0.447405997144217,1,0.18919225911411636,0.2597818936970809,0.517429323806953,0.4786374534631669,home,1,True,0.7407407407407407,0.552594002855783
663245,2022-07-05,BOS,TBR,2022,-130,110,0.5427435387673957,0.4572564612326044,0,0.18445786065533862,0.2696279592714228,0.5353030462067566,0.4694265538686017,home,1,False,-1.0,0.5427435387673957
662147,2022-07-09,SEA,TOR,2022,100,-120,0.4782608695652174,0.5217391304347826,1,0.30428968781856824,0.19347666626459195,0.45717848382943405,0.5248815288278296,away,0,False,-1.0,0.5217391304347826
663402,2022-07-12,LAA,HOU,2022,105,-125,0.4675324675324675,0.5324675324675325,0,0.1971770763354362,0.28793703660966957,0.5467287837881367,0.46250200042898343,home,1,False,-1.0,0.5324675324675325
661673,2022-07-16,MIN,CHW,2022,-125,105,0.5324675324675325,0.4675324675324675,1,0.18566241324763066,0.22946525024979356,0.5202368515237766,0.462456493557411,home,1,True,0.8,0.5324675324675325
662458,2022-07-24,NYM,SDP,2022,-125,105,0.5324675324675325,0.4675324675324675,1,0.24515566753485235,0.21557214510393025,0.4450506822707866,0.5252767486049568,away,0,False,-1.0,0.5324675324675325
661659,2022-08-05,MIN,TOR,2022,105,-125,0.4675324675324675,0.5324675324675325,1,0.2706853453245705,0.17951903864990743,0.4856984604003918,0.5040298845732998,away,0,False,-1.0,0.5324675324675325
662499,2022-08-06,NYM,ATL,2022,-130,110,0.5427435387673957,0.4572564612326044,1,0.2776462160764166,0.18463071895424837,0.424312502636721,0.5193190623189722,away,0,False,-1.0,0.5427435387673957
662499,2022-08-06,NYM,ATL,2022,-130,110,0.5427435387673957,0.4572564612326044,1,0.2776462160764166,0.18463071895424837,0.424312502636721,0.5193190623189722,away,0,False,-1.0,0.5427435387673957
661043,2022-08-20,BAL,BOS,2022,110,-130,0.4572564612326044,0.5427435387673957,0,0.22785653800281458,0.16705731720605863,0.47030509827561345,0.5003988754516705,away,0,True,0.7692307692307693,0.5427435387673957
662338,2022-08-24,OAK,MIA,2022,100,-120,0.4782608695652174,0.5217391304347826,1,0.1851855641603231,0.30864673095721484,0.5263226439902525,0.45778392447796934,home,1,True,1.0,0.5217391304347826
663170,2022-08-27,BOS,TBR,2022,110,-130,0.4572564612326044,0.5427435387673957,1,0.19135746052021052,0.24660511987751627,0.5522230417329699,0.48832155024052104,home,1,True,1.1,0.5427435387673957
661648,2022-08-30,MIN,BOS,2022,-135,115,0.552594002855783,0.447405997144217,1,0.22896784571619352,0.22059726728535592,0.44156246202339267,0.5144541365767903,away,0,False,-1.0,0.552594002855783
662410,2022-09-01,NYM,LAD,2022,115,-135,0.447405997144217,0.552594002855783,1,0.21880751952450064,0.23368789616642988,0.5294460358644747,0.48211772671138914,home,1,True,1.15,0.552594002855783
663107,2022-09-04,CIN,COL,2022,-130,110,0.5427435387673957,0.4572564612326044,0,0.28009233961513924,0.21239657028322007,0.4401546202074553,0.5010485210070319,away,0,True,1.1,0.5427435387673957
663107,2022-09-04,CIN,COL,2022,-120,100,0.5217391304347826,0.4782608695652174,0,0.28009233961513924,0.21239657028322007,0.4401546202074553,0.5010485210070319,away,0,True,1.0,0.5217391304347826
663159,2022-09-14,BOS,NYY,2022,100,-120,0.4782608695652174,0.5217391304347826,0,0.2724055224055224,0.2235729096556068,0.4494583047961325,0.5076963463804431,away,0,True,0.8333333333333334,0.5217391304347826
661921,2022-09-14,STL,MIL,2022,105,-125,0.4675324675324675,0.5324675324675325,1,0.17087196272575306,0.31195526695526693,0.509649860040016,0.452732987222375,home,1,True,1.05,0.5324675324675325
663423,2022-09-19,LAA,SEA,2022,100,-120,0.4782608695652174,0.5217391304347826,0,0.22993831835439488,0.20693145158050558,0.4941979324996512,0.5133067265513114,away,0,True,0.8333333333333334,0.5217391304347826
