watch_id,label,DISC_N,DISC_WR,DISC_implied,DISC_resid,DISC_ROI,VAL_N,VAL_WR,VAL_implied,VAL_resid,VAL_ROI,OOS_N,OOS_WR,OOS_implied,OOS_resid,OOS_ROI,diagnoses,season_resids,season_rois
W1_fav_sp_decline_dog_sp_improve,Fav SP declining + Dog SP improving,346,0.4277456647398844,0.4680483744257658,-0.0403027096858814,-0.126768044755124,156,0.5064102564102564,0.4660064239865473,0.040403832423709096,0.042545143672594654,152,0.47368421052631576,0.46897495755488244,0.00470925297143332,-0.031029046621706562,WIN_RATE_SHORTFALL_DISC,"{2022: np.float64(0.011724314880369846), 2023: np.float64(-0.06828168734150997), 2024: np.float64(0.040403832423709096), 2025: np.float64(0.00470925297143332)}","{2022: np.float64(-0.02102787020142391), 2023: np.float64(-0.18363276084844715), 2024: np.float64(0.042545143672594654), 2025: np.float64(-0.031029046621706562)}"
W2_dog_sp_materially_improving,Dog SP materially improving (div>0.5),503,0.441351888667992,0.4685236831217542,-0.027171794453762166,-0.09996840393285251,263,0.5019011406844106,0.46789906103268414,0.03400207965172647,0.028951212393395338,205,0.5170731707317073,0.4666641086459729,0.050409062085734424,0.06050513253490706,WIN_RATE_SHORTFALL_DISC; DISC_NEGATIVE_RECOVERING,"{2022: np.float64(-0.02228931602147044), 2023: np.float64(-0.02986921309382451), 2024: np.float64(0.03400207965172647), 2025: np.float64(0.050409062085734424)}","{2022: np.float64(-0.08990785750562286), 2023: np.float64(-0.10552654532320473), 2024: np.float64(0.028951212393395338), 2025: np.float64(0.06050513253490706)}"
W3_bp_workload_mismatch,BP workload mismatch favors dog,775,0.4645161290322581,0.4664466751637292,-0.0019305461314710892,-0.04677051823010076,406,0.4876847290640394,0.46665609884210646,0.021028630221932965,-0.0006578221675295007,333,0.4894894894894895,0.4675947844936848,0.021894704995804704,0.0017654125721801779,PRICE_SHAPE,"{2022: np.float64(-0.008233622925846451), 2023: np.float64(0.001106500431019397), 2024: np.float64(0.021028630221932965), 2025: np.float64(0.021894704995804704)}","{2022: np.float64(-0.06325843468700611), 2023: np.float64(-0.03882605370402018), 2024: np.float64(-0.0006578221675295007), 2025: np.float64(0.0017654125721801779)}"
W4_dog_better_rd5,Dog better recent form (RD5),1402,0.4686162624821683,0.4672851037232908,0.0013311587588775153,-0.039658573208963405,687,0.4556040756914119,0.4686263177418832,-0.013022242050471255,-0.06980099866391501,716,0.5097765363128491,0.4687027013238876,0.041073834988961555,0.040962321977754554,PRICE_SHAPE,"{2022: np.float64(-0.019372583298873147), 2023: np.float64(0.014029771551490933), 2024: np.float64(-0.013022242050471255), 2025: np.float64(0.041073834988961555)}","{2022: np.float64(-0.0812683251707642), 2023: np.float64(-0.014137286907881914), 2024: np.float64(-0.06980099866391501), 2025: np.float64(0.040962321977754554)}"
W5_INT1_sp_rd5_mismatch,INT1: SP+RD5 mismatch (dog),326,0.41411042944785276,0.46843730135516853,-0.05432687190731578,-0.15315143755959346,151,0.4900662251655629,0.4690192569125081,0.0210469682530548,0.0003931836966507688,141,0.5106382978723404,0.4689255372042888,0.041712760668051574,0.04024128258153995,WIN_RATE_SHORTFALL_DISC; DISC_NEGATIVE_RECOVERING,"{2022: np.float64(-0.007243419273028684), 2023: np.float64(-0.07701253544929043), 2024: np.float64(0.0210469682530548), 2025: np.float64(0.041712760668051574)}","{2022: np.float64(-0.05890713060524382), 2023: np.float64(-0.1985600581830528), 2024: np.float64(0.0003931836966507688), 2025: np.float64(0.04024128258153995)}"
W6_INT2_sp_bp_mismatch,INT2: SP+BP mismatch (dog),256,0.421875,0.4679617004286432,-0.04608670042864321,-0.13891199835363435,138,0.4855072463768116,0.46768983216161897,0.017817414215192617,-0.005299399220967838,127,0.47244094488188976,0.4686618793895147,0.0037790654923750555,-0.03406832928990402,WIN_RATE_SHORTFALL_DISC,"{2022: np.float64(0.006946170954474584), 2023: np.float64(-0.07107920303448034), 2024: np.float64(0.017817414215192617), 2025: np.float64(0.0037790654923750555)}","{2022: np.float64(-0.027536690951325087), 2023: np.float64(-0.19139921218690661), 2024: np.float64(-0.005299399220967838), 2025: np.float64(-0.03406832928990402)}"
W7_INT4_triple_mismatch,INT4: Triple mismatch SP+BP+RD5 (dog),124,0.4112903225806452,0.4674834725990268,-0.0561931500183816,-0.15739697051841262,70,0.5142857142857142,0.47134428650005844,0.042941427785655795,0.0435105557374465,60,0.48333333333333334,0.4691826410648172,0.014150692268516118,-0.01677605042771769,WIN_RATE_SHORTFALL_DISC; DISC_NEGATIVE_RECOVERING,"{2022: np.float64(-0.01978717058202628), 2023: np.float64(-0.0722795130251433), 2024: np.float64(0.042941427785655795), 2025: np.float64(0.014150692268516118)}","{2022: np.float64(-0.08652882205513784), 2023: np.float64(-0.18871080356032477), 2024: np.float64(0.0435105557374465), 2025: np.float64(-0.01677605042771769)}"
W8_INT5_fav_confirming,INT5: Fav SP improving + hot streak (fav),272,0.5661764705882353,0.5325379349585141,0.03363853562972119,0.01742471392889992,141,0.5390070921985816,0.5324667711403254,0.006540321058256193,-0.02632783745577419,125,0.44,0.5348253121862102,-0.09482531218621021,-0.21756146424486153,AMBIGUOUS,"{2022: np.float64(0.12392541508701471), 2023: np.float64(-0.01640619184089298), 2024: np.float64(0.006540321058256193), 2025: np.float64(-0.09482531218621021)}","{2022: np.float64(0.17798749628956484), 2023: np.float64(-0.07157294257958294), 2024: np.float64(-0.02632783745577419), 2025: np.float64(-0.21756146424486153)}"
