watch_id,label,season,split,N,WR,implied,resid,ROI,total_PnL
W1_fav_sp_decline_dog_sp_improve,Fav SP declining + Dog SP improving,2022,DISC,121,0.4793388429752066,0.4676145280948368,0.011724314880369846,-0.02102787020142391,-2.544372294372293
W1_fav_sp_decline_dog_sp_improve,Fav SP declining + Dog SP improving,2023,DISC,225,0.4,0.46828168734151,-0.06828168734150997,-0.18363276084844715,-41.31737119090061
W1_fav_sp_decline_dog_sp_improve,Fav SP declining + Dog SP improving,2024,VAL,156,0.5064102564102564,0.4660064239865473,0.040403832423709096,0.042545143672594654,6.6370424129247665
W1_fav_sp_decline_dog_sp_improve,Fav SP declining + Dog SP improving,2025,OOS,152,0.47368421052631576,0.46897495755488244,0.00470925297143332,-0.031029046621706562,-4.7164150864993974
W2_dog_sp_materially_improving,Dog SP materially improving (div>0.5),2022,DISC,179,0.44692737430167595,0.4692166903231464,-0.02228931602147044,-0.08990785750562286,-16.093506493506492
W2_dog_sp_materially_improving,Dog SP materially improving (div>0.5),2023,DISC,324,0.4382716049382716,0.4681408180320961,-0.02986921309382451,-0.10552654532320473,-34.19060068471833
W2_dog_sp_materially_improving,Dog SP materially improving (div>0.5),2024,VAL,263,0.5019011406844106,0.46789906103268414,0.03400207965172647,0.028951212393395338,7.614168859462974
W2_dog_sp_materially_improving,Dog SP materially improving (div>0.5),2025,OOS,205,0.5170731707317073,0.4666641086459729,0.050409062085734424,0.06050513253490706,12.403552169655947
W3_bp_workload_mismatch,BP workload mismatch favors dog,2022,DISC,252,0.45634920634920634,0.4645828292750528,-0.008233622925846451,-0.06325843468700611,-15.94112554112554
W3_bp_workload_mismatch,BP workload mismatch favors dog,2023,DISC,523,0.4684512428298279,0.4673447423988085,0.001106500431019397,-0.03882605370402018,-20.306026087202554
W3_bp_workload_mismatch,BP workload mismatch favors dog,2024,VAL,406,0.4876847290640394,0.46665609884210646,0.021028630221932965,-0.0006578221675295007,-0.2670758000169773
W3_bp_workload_mismatch,BP workload mismatch favors dog,2025,OOS,333,0.4894894894894895,0.4675947844936848,0.021894704995804704,0.0017654125721801779,0.5878823865359992
W4_dog_better_rd5,Dog better recent form (RD5),2022,DISC,533,0.44652908067542213,0.4659016639742953,-0.019372583298873147,-0.0812683251707642,-43.316017316017316
W4_dog_better_rd5,Dog better recent form (RD5),2023,DISC,869,0.48216340621403914,0.4681336346625482,0.014029771551490933,-0.014137286907881914,-12.285302322949384
W4_dog_better_rd5,Dog better recent form (RD5),2024,VAL,687,0.4556040756914119,0.4686263177418832,-0.013022242050471255,-0.06980099866391501,-47.953286082109614
W4_dog_better_rd5,Dog better recent form (RD5),2025,OOS,716,0.5097765363128491,0.4687027013238876,0.041073834988961555,0.040962321977754554,29.32902253607226
W5_INT1_sp_rd5_mismatch,INT1: SP+RD5 mismatch (dog),2022,DISC,106,0.46226415094339623,0.4695075702164249,-0.007243419273028684,-0.05890713060524382,-6.244155844155845
W5_INT1_sp_rd5_mismatch,INT1: SP+RD5 mismatch (dog),2023,DISC,220,0.39090909090909093,0.46792162635838136,-0.07701253544929043,-0.1985600581830528,-43.68321280027162
W5_INT1_sp_rd5_mismatch,INT1: SP+RD5 mismatch (dog),2024,VAL,151,0.4900662251655629,0.4690192569125081,0.0210469682530548,0.0003931836966507688,0.05937073819426608
W5_INT1_sp_rd5_mismatch,INT1: SP+RD5 mismatch (dog),2025,OOS,141,0.5106382978723404,0.4689255372042888,0.041712760668051574,0.04024128258153995,5.674020843997133
W6_INT2_sp_bp_mismatch,INT2: SP+BP mismatch (dog),2022,DISC,82,0.47560975609756095,0.46866358514308637,0.006946170954474584,-0.027536690951325087,-2.258008658008657
W6_INT2_sp_bp_mismatch,INT2: SP+BP mismatch (dog),2023,DISC,174,0.39655172413793105,0.4676309271724114,-0.07107920303448034,-0.19139921218690661,-33.30346292052175
W6_INT2_sp_bp_mismatch,INT2: SP+BP mismatch (dog),2024,VAL,138,0.4855072463768116,0.46768983216161897,0.017817414215192617,-0.005299399220967838,-0.7313170924935617
W6_INT2_sp_bp_mismatch,INT2: SP+BP mismatch (dog),2025,OOS,127,0.47244094488188976,0.4686618793895147,0.0037790654923750555,-0.03406832928990402,-4.32667781981781
W7_INT4_triple_mismatch,INT4: Triple mismatch SP+BP+RD5 (dog),2022,DISC,38,0.4473684210526316,0.46715559163465786,-0.01978717058202628,-0.08652882205513784,-3.288095238095238
W7_INT4_triple_mismatch,INT4: Triple mismatch SP+BP+RD5 (dog),2023,DISC,86,0.3953488372093023,0.4676283502344456,-0.0722795130251433,-0.18871080356032477,-16.22912910618793
W7_INT4_triple_mismatch,INT4: Triple mismatch SP+BP+RD5 (dog),2024,VAL,70,0.5142857142857142,0.47134428650005844,0.042941427785655795,0.0435105557374465,3.045738901621255
W7_INT4_triple_mismatch,INT4: Triple mismatch SP+BP+RD5 (dog),2025,OOS,60,0.48333333333333334,0.4691826410648172,0.014150692268516118,-0.01677605042771769,-1.0065630256630613
W8_INT5_fav_confirming,INT5: Fav SP improving + hot streak (fav),2022,DISC,97,0.6597938144329897,0.535868399345975,0.12392541508701471,0.17798749628956484,17.26478714008779
W8_INT5_fav_confirming,INT5: Fav SP improving + hot streak (fav),2023,DISC,175,0.5142857142857142,0.5306919061266072,-0.01640619184089298,-0.07157294257958294,-12.525264951427014
W8_INT5_fav_confirming,INT5: Fav SP improving + hot streak (fav),2024,VAL,141,0.5390070921985816,0.5324667711403254,0.006540321058256193,-0.02632783745577419,-3.712225081264161
W8_INT5_fav_confirming,INT5: Fav SP improving + hot streak (fav),2025,OOS,125,0.44,0.5348253121862102,-0.09482531218621021,-0.21756146424486153,-27.19518303060769
