watch_id,label,DISC_N,DISC_resid,DISC_ROI,VAL_N,VAL_resid,VAL_ROI,OOS_N,OOS_resid,OOS_ROI,direction_pattern
W1_fav_sp_decline_dog_sp_improve,Fav SP declining + Dog SP improving,346,-0.0403027096858814,-0.126768044755124,156,0.040403832423709096,0.042545143672594654,152,0.00470925297143332,-0.031029046621706562,-++
W2_dog_sp_materially_improving,Dog SP materially improving (div>0.5),503,-0.027171794453762166,-0.09996840393285251,263,0.03400207965172647,0.028951212393395338,205,0.050409062085734424,0.06050513253490706,-++
W3_bp_workload_mismatch,BP workload mismatch favors dog,775,-0.0019305461314710892,-0.04677051823010076,406,0.021028630221932965,-0.0006578221675295007,333,0.021894704995804704,0.0017654125721801779,-++
W4_dog_better_rd5,Dog better recent form (RD5),1402,0.0013311587588775153,-0.039658573208963405,687,-0.013022242050471255,-0.06980099866391501,716,0.041073834988961555,0.040962321977754554,+-+
W5_INT1_sp_rd5_mismatch,INT1: SP+RD5 mismatch (dog),326,-0.05432687190731578,-0.15315143755959346,151,0.0210469682530548,0.0003931836966507688,141,0.041712760668051574,0.04024128258153995,-++
W6_INT2_sp_bp_mismatch,INT2: SP+BP mismatch (dog),256,-0.04608670042864321,-0.13891199835363435,138,0.017817414215192617,-0.005299399220967838,127,0.0037790654923750555,-0.03406832928990402,-++
W7_INT4_triple_mismatch,INT4: Triple mismatch SP+BP+RD5 (dog),124,-0.0561931500183816,-0.15739697051841262,70,0.042941427785655795,0.0435105557374465,60,0.014150692268516118,-0.01677605042771769,-++
W8_INT5_fav_confirming,INT5: Fav SP improving + hot streak (fav),272,0.03363853562972119,0.01742471392889992,141,0.006540321058256193,-0.02632783745577419,125,-0.09482531218621021,-0.21756146424486153,++-
