cluster_label,course_name,year,cluster_prob,score_mean,birdie_rate,bogey_rate
COURSE_A,Albany GC,2025,1.0,68.925,5.2,1.925
COURSE_A,Sherwood Country Club,2020,0.9999999999999787,69.25974025974025,5.133116883116883,1.9350649350649352
COURSE_A,Pete Dye Stadium Course,2023,0.9999999996845546,69.19555555555556,5.137777777777778,1.6577777777777778
COURSE_A,Keene Trace Golf Club (Champions Course),2023,0.9999999992238529,70.42567567567568,4.202702702702703,2.22972972972973
COURSE_A,Keene Trace Golf Club,2021,0.9999999991336139,69.88536585365854,4.348780487804878,1.9804878048780488
COURSE_A,Albany GC,2024,0.9999999990890878,69.9375,4.8125,2.15
COURSE_A,Keene Trace Golf Club,2019,0.9999999985135215,69.58937198067633,4.504830917874396,2.031400966183575
COURSE_A,Pebble Beach Golf Links,2025,0.999999995825263,70.10169491525424,4.4576271186440675,2.25
COURSE_A,Pebble Beach Golf Links,2023,0.9999999816017537,71.53097345132744,3.730088495575221,2.6371681415929205
COURSE_A,Pebble Beach Golf Links,2022,0.9999999684859362,70.7557603686636,4.119815668202765,2.4976958525345623
COURSE_B,Plantation Course at Kapalua,2021,0.999999999999801,69.31547619047619,5.142857142857143,1.4404761904761905
COURSE_B,Plantation Course at Kapalua,2019,0.9999999999995488,70.92424242424242,4.401515151515151,1.9848484848484849
COURSE_B,Waialae Country Club,2024,0.9999999999690807,68.82039911308205,3.713968957871397,2.3835920177383594
COURSE_B,Plantation Course at Kapalua,2023,0.9999999998313704,68.92156862745098,5.562091503267974,1.5490196078431373
COURSE_B,East Lake Golf Club,2025,0.9999999997116795,67.81666666666666,4.625,2.0
COURSE_B,Waialae Country Club,2025,0.9999999930387204,68.7270642201835,3.697247706422018,2.2775229357798166
COURSE_B,Sea Island GC (Seaside),2019,0.9999999920628451,68.89869281045752,3.781045751633987,2.2058823529411766
COURSE_B,Detroit Golf Club,2021,0.9999999827030362,70.5505376344086,3.7419354838709675,2.109677419354839
COURSE_B,Plantation Course at Kapalua,2022,0.9999999543497476,68.21710526315789,5.828947368421052,1.105263157894737
COURSE_B,Plantation Course at Kapalua,2025,0.999999946275668,68.74468085106383,5.651063829787234,1.4340425531914893
COURSE_C,The Riviera Country Club,2023,1.0,71.07124681933843,3.213740458015267,2.9796437659033077
COURSE_C,The Riviera Country Club,2024,1.0,70.11618257261411,3.788381742738589,2.804979253112033
COURSE_C,Silverado Resort and Spa (North Course),2022,0.9999999999999964,71.51754385964912,3.5789473684210527,2.581140350877193
COURSE_C,Innisbrook Resort (Copperhead Course),2023,0.9999999999999822,71.93518518518519,2.925925925925926,3.2291666666666665
COURSE_C,Innisbrook Resort (Copperhead),2021,0.9999999999999449,70.96666666666667,3.137777777777778,2.76
COURSE_C,PGA National (Champion),2020,0.9999999999999005,71.90352941176471,2.7576470588235296,3.3317647058823527
COURSE_C,Innisbrook Resort (Copperhead Course),2025,0.9999999999997211,71.86521739130434,2.893478260869565,3.1934782608695653
COURSE_C,Innisbrook Resort (Copperhead),2019,0.9999999999997051,71.98126463700234,2.8524590163934427,3.2365339578454333
COURSE_C,Riviera Country Club,2020,0.9999999999993303,71.25531914893617,3.2898936170212765,3.199468085106383
COURSE_C,The Riviera Country Club,2021,0.9999999999989786,71.27077747989276,3.2761394101876675,3.2037533512064345
COURSE_D,Augusta National Golf Club,2024,1.0,73.90604026845638,2.9060402684563758,3.6879194630872485
COURSE_D,St. Andrews Links (Old Course),2022,1.0,71.61924686192468,3.8138075313807533,2.8577405857740588
COURSE_D,Winged Foot GC,2020,1.0,74.0,2.2224938875305624,4.897310513447433
COURSE_D,Augusta National Golf Club,2025,0.9999999999999183,72.80743243243244,3.233108108108108,3.2533783783783785
COURSE_D,Augusta National Golf Club,2022,0.9999999999999023,73.95053003533569,2.92226148409894,3.8586572438162543
COURSE_D,Pinehurst Resort & Country Club (Course No. 2),2024,0.999999999999865,72.8913043478261,2.1891304347826086,3.9565217391304346
COURSE_D,Muirfield Village Golf Club,2019,0.9999999999972076,72.08072916666667,3.7708333333333335,2.90625
COURSE_D,Augusta National Golf Club,2023,0.9999999999181348,72.96028880866426,3.1588447653429603,3.371841155234657
COURSE_D,Muirfield Village Golf Club,2023,0.99999999981946,73.52173913043478,3.2092391304347827,3.652173913043478
COURSE_D,Memorial Park Golf Course,2020,0.9999999997200355,71.02518891687657,3.075566750629723,3.1662468513853903
