event_id,game_date,home_team,away_team,book_open,book_noon,book_move,dk_open,dk_noon,dk_move,bookmaker
9eef8d769bb25bda682eaf53adca31a5,2025-05-25,Cincinnati Reds,Chicago Cubs,9.0,9.0,0.0,9.0,8.5,-0.5,bovada
9af15cad48f108021eb765c23d3bea5e,2025-05-26,Milwaukee Brewers,Boston Red Sox,7.5,7.5,0.0,7.5,7.5,0.0,bovada
95b8ca0b6328d174cff9dfa305a91a12,2025-05-27,Cleveland Guardians,Los Angeles Dodgers,8.5,9.0,0.5,8.5,9.0,0.5,bovada
e1a87244278aa01837f0019bd08c5a52,2025-05-28,Los Angeles Angels,New York Yankees,9.0,9.0,0.0,9.0,9.0,0.0,bovada
e23b0f9f192be3c57c901d6185baeb6f,2025-05-28,Milwaukee Brewers,Boston Red Sox,8.0,7.5,-0.5,8.0,7.5,-0.5,bovada
fc891d276f5f89d12a3da760c82f68b8,2025-05-28,Tampa Bay Rays,Minnesota Twins,7.5,8.0,0.5,7.5,8.0,0.5,bovada
e71e32da7687bc7628fe5a772895a7b1,2025-06-01,Atlanta Braves,Boston Red Sox,8.0,8.0,0.0,8.0,8.0,0.0,bovada
1222c02d94f525c0c3db0dd3d0ef9193,2025-06-01,Houston Astros,Tampa Bay Rays,7.5,7.5,0.0,7.5,7.5,0.0,bovada
6598140467611c3da414b7de22982251,2025-06-03,Oakland Athletics,Minnesota Twins,9.0,9.5,0.5,9.0,9.5,0.5,bovada
dfc80b6e99c9c3ab644d9d2ee8cd34cf,2025-06-03,Miami Marlins,Colorado Rockies,8.0,8.0,0.0,8.5,8.0,-0.5,bovada
6247408db50b8a596b324f4b0b3f2a13,2025-06-03,Washington Nationals,Chicago Cubs,9.0,9.5,0.5,9.0,9.5,0.5,bovada
44b91dc189da31debc18e8ee4d2f6c5e,2025-06-03,New York Yankees,Cleveland Guardians,8.0,7.5,-0.5,8.0,8.0,0.0,bovada
581b7743963d4a002d0ed346628748e1,2025-06-04,Pittsburgh Pirates,Houston Astros,8.5,9.5,1.0,9.0,9.5,0.5,bovada
bc04b75af6fef0c83dd8aa734575d14d,2025-06-06,Detroit Tigers,Chicago Cubs,7.0,7.0,0.0,7.0,7.0,0.0,bovada
