features,feature_a,feature_b,depth,n_flagged,z_score,mean_residual,z_a,z_b,controlled_z,bucket_consistent,month_consistent,direction,plausibility,val_n,val_z,val_mean_residual,val_direction,val_consistent,val_status,val_attenuation,oos_n,oos_z,oos_mean_residual,oos_direction,oos_consistent,oos_status,oos_attenuation,synthetic_roi,real_roi,games_per_season
opp_pl_velo_ff_mean_season_baseline_LOW × med_lev_bb_rate_last_10_HIGH,opp_pl_velo_ff_mean_season_baseline_LOW,med_lev_bb_rate_last_10_HIGH,2,112,2.084821209832146,1.3482142857142858,0.8880928487121028,1.4435537556842533,3.0299463412882512,4,4,OVER,PLAUSIBLE,191,0.5061407303291231,0.5863874345549738,OVER,True,WEAK,75.72258340705035,163.0,-0.9344155243896453,0.03067484662576687,UNDER,False,DEAD,,,,
opp_pl_velo_mean_last_3_HIGH × exit_prob_by_5_last_5_HIGH,opp_pl_velo_mean_last_3_HIGH,exit_prob_by_5_last_5_HIGH,2,172,-2.6932120010273115,-0.4738372093023256,-0.5474080808083222,-0.9548936757154578,-2.4392797233886854,3,3,UNDER,PLAUSIBLE,256,-0.5083530528109147,0.294921875,UNDER,True,WEAK,81.12465514719946,370.0,1.5137463778095213,0.7135135135135136,OVER,False,DEAD,,,,
opp_pl_velo_mean_last_3_HIGH × exit_prob_by_5_last_10_HIGH,opp_pl_velo_mean_last_3_HIGH,exit_prob_by_5_last_10_HIGH,2,136,-2.358065874509791,-0.45955882352941174,-0.5474080808083222,-0.45429996863613037,-2.237160779790329,3,4,UNDER,PLAUSIBLE,173,-0.7661755940443405,0.18208092485549132,UNDER,True,WEAK,67.50830405857013,299.0,0.9576288550060859,0.6086956521739131,OVER,False,DEAD,,,,
opp_pl_velo_mean_last_3_LOW × opp_pl_zone_rate_last_3_HIGH,opp_pl_velo_mean_last_3_LOW,opp_pl_zone_rate_last_3_HIGH,2,112,-2.057060013802223,-0.42410714285714285,-0.5134239945682776,-1.1024814893957193,-2.2820702741249144,3,4,UNDER,PLAUSIBLE,211,-0.9256140821523806,0.15876777251184834,UNDER,True,PASS,55.00305893159157,265.0,-0.4211832886150832,0.24339622641509434,UNDER,True,WEAK,79.5249878083733,,,
opp_pl_velo_mean_last_3_LOW × top_order_avg_exit_velo_LOW,opp_pl_velo_mean_last_3_LOW,top_order_avg_exit_velo_LOW,2,111,-2.182503350797167,-0.481981981981982,-0.5134239945682776,-1.70264635305697,-2.9802883012480885,4,3,UNDER,PLAUSIBLE,136,0.5830654445132736,0.6433823529411765,OVER,False,DEAD,,,,,,,,,,,
opp_pl_velo_mean_last_3_LOW × lineup_depth_dropoff_ev_LOW,opp_pl_velo_mean_last_3_LOW,lineup_depth_dropoff_ev_LOW,2,106,-2.280987421567068,-0.5471698113207547,-0.5134239945682776,-1.4241824885144485,-2.4909546136867906,3,4,UNDER,PLAUSIBLE,182,0.316260550613151,0.5302197802197802,OVER,False,DEAD,,,,,,,,,,,
opp_pl_velo_mean_last_3_LOW × lineup_quality_hh_LOW,opp_pl_velo_mean_last_3_LOW,lineup_quality_hh_LOW,2,126,-2.497832115059299,-0.5515873015873016,-0.5134239945682776,-1.7407190867941216,-2.24078517694841,3,4,UNDER,PLAUSIBLE,168,-0.07773096232979784,0.40476190476190477,UNDER,True,WEAK,96.88806297824574,174.0,0.8247370649600481,0.6408045977011494,OVER,False,DEAD,,,,
opp_pl_velo_mean_last_5_HIGH × exit_prob_by_5_last_5_HIGH,opp_pl_velo_mean_last_5_HIGH,exit_prob_by_5_last_5_HIGH,2,170,-2.812113179214276,-0.5205882352941177,-0.8344777722488255,-0.9548936757154578,-2.8408001395405877,3,3,UNDER,PLAUSIBLE,243,-1.0472258881714067,0.1440329218106996,UNDER,True,WEAK,62.76017992760843,368.0,1.5899688973394794,0.7323369565217391,OVER,False,DEAD,,,,
opp_pl_velo_mean_last_5_HIGH × exit_prob_by_6_last_5_HIGH,opp_pl_velo_mean_last_5_HIGH,exit_prob_by_6_last_5_HIGH,2,200,-2.3612851418358907,-0.3,-0.8344777722488255,-0.328105525311744,-2.5824040537109685,3,3,UNDER,PLAUSIBLE,323,-1.377398633592069,0.10371517027863777,UNDER,True,PASS,41.66741622228874,437.0,1.4237256722796192,0.665903890160183,OVER,False,DEAD,,,,
opp_pl_velo_std_last_3_HIGH × middle_order_hard_hit_rate_LOW,opp_pl_velo_std_last_3_HIGH,middle_order_hard_hit_rate_LOW,2,126,2.0366928567177154,1.2777777777777777,0.9988678431137124,0.7567663508736308,2.817755874812973,3,4,OVER,PLAUSIBLE,175,-0.005423077886363943,0.42857142857142855,UNDER,False,DEAD,,,,,,,,,,,
opp_pl_velo_std_last_3_HIGH × middle_order_xwoba_contact_LOW,opp_pl_velo_std_last_3_HIGH,middle_order_xwoba_contact_LOW,2,115,2.4925899785434353,1.508695652173913,0.9988678431137124,0.8359016683277427,3.056474676907601,4,4,OVER,PLAUSIBLE,138,-0.21741250895334988,0.35144927536231885,UNDER,False,DEAD,,,,,,,,,,,
opp_pl_velo_std_last_3_HIGH × high_lev_k_rate_last_5_HIGH,opp_pl_velo_std_last_3_HIGH,high_lev_k_rate_last_5_HIGH,2,116,2.1444233012565586,1.3577586206896552,0.9988678431137124,1.1159909333575648,2.624110676008222,3,3,OVER,PLAUSIBLE,121,0.8091795662990746,0.743801652892562,OVER,True,WEAK,62.26586580061301,119.0,0.17727036387449163,0.4327731092436975,OVER,True,WEAK,91.73342484337783,,,
opp_pl_velo_std_last_3_HIGH × med_lev_k_rate_last_5_LOW,opp_pl_velo_std_last_3_HIGH,med_lev_k_rate_last_5_LOW,2,103,2.4265055134537605,1.5388349514563107,0.9988678431137124,0.7857934268453529,1.8731166466904403,3,4,OVER,PLAUSIBLE,153,-0.5186451377150044,0.25163398692810457,UNDER,False,DEAD,,,,,,,,,,,
opp_pl_velo_std_last_3_HIGH × med_lev_bb_rate_last_5_HIGH,opp_pl_velo_std_last_3_HIGH,med_lev_bb_rate_last_5_HIGH,2,119,2.170492592467249,1.3571428571428572,0.9988678431137124,1.1103549839762954,2.798601252004578,4,4,OVER,PLAUSIBLE,142,-0.7897589696031757,0.14788732394366197,UNDER,False,DEAD,,,,,,,,,,,
opp_pl_velo_std_last_3_HIGH × med_lev_bb_rate_last_10_HIGH,opp_pl_velo_std_last_3_HIGH,med_lev_bb_rate_last_10_HIGH,2,133,2.313767193408766,1.3646616541353382,0.9988678431137124,1.4435537556842533,3.2004708349686566,3,3,OVER,PLAUSIBLE,124,-1.7671736764539951,-0.24596774193548387,UNDER,False,DEAD,,,,,,,,,,,
opp_pl_velo_std_last_3_HIGH × low_lev_bb_rate_last_10_HIGH,opp_pl_velo_std_last_3_HIGH,low_lev_bb_rate_last_10_HIGH,2,116,2.0829143388680476,1.331896551724138,0.9988678431137124,0.7573852562766372,1.9772968924116983,3,4,OVER,PLAUSIBLE,130,-1.213072113055999,-0.023076923076923078,UNDER,False,DEAD,,,,,,,,,,,
opp_pl_velo_std_last_3_LOW × leverage_gap_k_last_10_HIGH,opp_pl_velo_std_last_3_LOW,leverage_gap_k_last_10_HIGH,2,54,-2.8737178928039504,-1.3148148148148149,-0.09428693094105926,-2.0116095846147504,-2.7017500720492436,3,4,UNDER,PLAUSIBLE,106,-0.21911790390875113,0.33962264150943394,UNDER,True,WEAK,92.37510736675154,88.0,-0.13408642347279837,0.29545454545454547,UNDER,True,WEAK,95.33404361616138,,,
opp_pl_velo_std_last_3_LOW × deterioration_score_norm_HIGH,opp_pl_velo_std_last_3_LOW,deterioration_score_norm_HIGH,2,86,-2.5175489391845494,-0.7732558139534884,-0.09428693094105926,-0.6257852999667566,-3.239214034863174,4,4,UNDER,PLAUSIBLE,144,-2.0623791612583795,-0.3020833333333333,UNDER,True,PASS,18.07987804493693,153.0,0.8445237780229823,0.6666666666666666,OVER,False,DEAD,,,,
opp_pl_velo_std_last_5_HIGH × middle_order_hard_hit_rate_LOW,opp_pl_velo_std_last_5_HIGH,middle_order_hard_hit_rate_LOW,2,121,2.0337924895931283,1.2933884297520661,1.1712055206801295,0.7567663508736308,3.464372990668615,3,4,OVER,PLAUSIBLE,155,0.015090812169080727,0.43548387096774194,OVER,True,WEAK,99.25799646491468,161.0,-1.1028905319702866,-0.031055900621118012,UNDER,False,DEAD,,,,
opp_pl_velo_std_last_5_HIGH × middle_order_xwoba_contact_LOW,opp_pl_velo_std_last_5_HIGH,middle_order_xwoba_contact_LOW,2,115,2.90442873723445,1.682608695652174,1.1712055206801295,0.8359016683277427,4.195581217744472,3,4,OVER,PLAUSIBLE,122,-0.021220551099362175,0.42213114754098363,UNDER,False,DEAD,,,,,,,,,,,
opp_pl_velo_std_last_5_HIGH × bottom_order_barrel_rate_HIGH,opp_pl_velo_std_last_5_HIGH,bottom_order_barrel_rate_HIGH,2,104,2.3832813785672586,1.5144230769230769,1.1712055206801295,0.619354901608277,2.8181611762507774,4,3,OVER,PLAUSIBLE,194,-1.6170587310202826,-0.06443298969072164,UNDER,False,DEAD,,,,,,,,,,,
opp_pl_velo_std_last_5_HIGH × high_lev_k_rate_last_5_HIGH,opp_pl_velo_std_last_5_HIGH,high_lev_k_rate_last_5_HIGH,2,105,2.2112244514344233,1.4333333333333333,1.1712055206801295,1.1159909333575648,3.2745925541739496,3,3,OVER,PLAUSIBLE,111,0.3059103694486542,0.5540540540540541,OVER,True,WEAK,86.16556680846172,109.0,0.15533585524581475,0.42660550458715596,OVER,True,WEAK,92.97512040692892,,,
opp_pl_velo_std_last_5_HIGH × low_lev_bb_rate_last_10_HIGH,opp_pl_velo_std_last_5_HIGH,low_lev_bb_rate_last_10_HIGH,2,112,2.241315462614301,1.4151785714285714,1.1712055206801295,0.7573852562766372,2.144216066902056,3,4,OVER,PLAUSIBLE,119,-1.4887440192037544,-0.15126050420168066,UNDER,False,DEAD,,,,,,,,,,,
opp_pl_velo_std_last_5_LOW × opp_pl_zone_rate_season_baseline_HIGH,opp_pl_velo_std_last_5_LOW,opp_pl_zone_rate_season_baseline_HIGH,2,93,-2.0360915681419787,-0.5,-0.26965891389526914,-1.3695875522544514,-3.556678437083965,4,3,UNDER,PLAUSIBLE,203,-1.0599117969534366,0.11330049261083744,UNDER,True,PASS,47.94380500673397,305.0,-1.5247158649508772,-0.03278688524590164,UNDER,True,THREE_STAGE_SURVIVOR,25.115555272288358,8.857409713574091,8.721816001493332,194.0
opp_pl_velo_std_last_5_LOW × leverage_gap_k_last_10_HIGH,opp_pl_velo_std_last_5_LOW,leverage_gap_k_last_10_HIGH,2,54,-3.339498024140831,-1.6018518518518519,-0.26965891389526914,-2.0116095846147504,-3.3650713797470306,3,4,UNDER,PLAUSIBLE,96,0.6631569593749448,0.71875,OVER,False,DEAD,,,,,,,,,,,
opp_pl_zone_drift_last_3_HIGH × top_order_xwoba_contact_HIGH,opp_pl_zone_drift_last_3_HIGH,top_order_xwoba_contact_HIGH,2,134,2.515793853044471,1.4402985074626866,0.2002418164726616,1.244539642407457,3.677105816452077,4,4,OVER,PLAUSIBLE,254,-0.08541117129162179,0.4074803149606299,UNDER,False,DEAD,,,,,,,,,,,
opp_pl_zone_drift_last_3_HIGH × lineup_quality_hh_LOW,opp_pl_zone_drift_last_3_HIGH,lineup_quality_hh_LOW,2,124,-2.26183844424428,-0.4637096774193548,0.2002418164726616,-1.7407190867941216,-1.8191099432581124,3,4,UNDER,PLAUSIBLE,137,0.16131621151126901,0.48905109489051096,OVER,False,DEAD,,,,,,,,,,,
opp_pl_zone_drift_last_3_HIGH × high_lev_k_rate_last_10_HIGH,opp_pl_zone_drift_last_3_HIGH,high_lev_k_rate_last_10_HIGH,2,104,2.0909582085681304,1.3846153846153846,0.2002418164726616,0.5621955442275469,1.5312975375019597,4,3,OVER,PLAUSIBLE,138,-0.30730240236492024,0.3188405797101449,UNDER,False,DEAD,,,,,,,,,,,
opp_pl_zone_drift_last_3_HIGH × high_lev_hr_rate_last_10_HIGH,opp_pl_zone_drift_last_3_HIGH,high_lev_hr_rate_last_10_HIGH,2,133,2.610559075890057,1.481203007518797,0.2002418164726616,1.3174582269328283,3.0551264043340978,4,4,OVER,PLAUSIBLE,131,1.489045792726055,0.9847328244274809,OVER,True,PASS,42.96065519151785,166.0,-1.091308392505416,-0.02108433734939759,UNDER,False,DEAD,,,,
