features,feature_a,feature_b,depth,n_flagged,z_score,mean_residual,z_a,z_b,controlled_z,bucket_consistent,month_consistent,direction,plausibility,val_n,val_z,val_mean_residual,val_direction,val_consistent,val_status,val_attenuation,oos_n,oos_z,oos_mean_residual,oos_direction,oos_consistent,oos_status,oos_attenuation,synthetic_roi,real_roi,games_per_season
home_sp_CLUSTERED × relievers_used_last_game_HIGH,home_sp_CLUSTERED,relievers_used_last_game_HIGH,2,35,-2.2568823933518685,-1.2714285714285714,-0.24768530723049922,-1.3491716361487527,-3.1401751491309025,3,3,UNDER,PLAUSIBLE,87,1.83811041993352,1.2701149425287357,OVER,False,DEAD,,,,,,,,,,,
home_sp_CLUSTERED × opp_sp_contact_la_allowed_last_3_LOW,home_sp_CLUSTERED,opp_sp_contact_la_allowed_last_3_LOW,2,33,2.246780195731621,2.227272727272727,-0.24768530723049922,-0.7295154825169381,2.356822274972468,4,3,OVER,PLAUSIBLE,62,2.423487590274247,1.7419354838709677,OVER,True,PASS,-7.86491686540279,28.0,-0.7386517785717629,-0.26785714285714285,UNDER,False,DEAD,,,,
home_sp_DISPERSED × park_factor_runs_HIGH,home_sp_DISPERSED,park_factor_runs_HIGH,2,38,-2.322447968856161,-1.25,-1.5411873568584231,-0.19848441207391893,-2.0450895146843178,3,3,UNDER,PLAUSIBLE,41,0.507824281116502,0.7682926829268293,OVER,False,DEAD,,,,,,,,,,,
home_sp_DISPERSED × park_factor_hr_HIGH,home_sp_DISPERSED,park_factor_hr_HIGH,2,38,-2.322447968856161,-1.25,-1.5411873568584231,-0.19848441207391893,-2.0450895146843178,3,3,UNDER,PLAUSIBLE,41,0.507824281116502,0.7682926829268293,OVER,False,DEAD,,,,,,,,,,,
home_sp_FRONT_LOADED × away_bp_USAGE_STRESSED,home_sp_FRONT_LOADED,away_bp_USAGE_STRESSED,2,64,-2.1169092520571318,-0.7421875,-0.29090941337666915,-0.770190354882188,-2.3043561102631753,3,3,UNDER,PLAUSIBLE,109,-0.64967060456467,0.1651376146788991,UNDER,True,WEAK,69.31041782101218,132.0,0.88122907472051,0.7045454545454546,OVER,False,DEAD,,,,
home_sp_FRONT_LOADED × opp_sp_contact_la_allowed_last_10_HIGH,home_sp_FRONT_LOADED,opp_sp_contact_la_allowed_last_10_HIGH,2,86,2.0900841078630537,1.4767441860465116,-0.29090941337666915,1.7199797378169484,2.0986068649531386,3,4,OVER,PLAUSIBLE,171,-1.239710087176015,0.02631578947368421,UNDER,False,DEAD,,,,,,,,,,,
home_sp_FRONT_LOADED × opp_pl_ff_pct_last_3_LOW,home_sp_FRONT_LOADED,opp_pl_ff_pct_last_3_LOW,2,113,-2.1820529853920183,-0.47345132743362833,-0.29090941337666915,-1.272401920595943,-2.6230408076117446,4,3,UNDER,PLAUSIBLE,176,1.5081587461862025,0.9147727272727273,OVER,False,DEAD,,,,,,,,,,,
home_sp_FRONT_LOADED × opp_pl_heart_rate_last_3_HIGH,home_sp_FRONT_LOADED,opp_pl_heart_rate_last_3_HIGH,2,114,-2.0164384232187667,-0.3991228070175439,-0.29090941337666915,-1.4253303086761442,-2.7267098759121846,4,4,UNDER,PLAUSIBLE,157,0.6075318316987548,0.6369426751592356,OVER,False,DEAD,,,,,,,,,,,
home_sp_FRONT_LOADED × opp_pl_pfx_x_std_last_3_HIGH,home_sp_FRONT_LOADED,opp_pl_pfx_x_std_last_3_HIGH,2,102,-2.2525939155616896,-0.553921568627451,-0.29090941337666915,-1.0231852881689483,-2.5992608216291018,4,4,UNDER,PLAUSIBLE,206,0.06301759977728326,0.44902912621359226,OVER,False,DEAD,,,,,,,,,,,
home_sp_FRONT_LOADED × opp_pl_pfx_z_mean_last_5_LOW,home_sp_FRONT_LOADED,opp_pl_pfx_z_mean_last_5_LOW,2,102,-2.0120808133456407,-0.44607843137254904,-0.29090941337666915,-1.1457044901171118,-2.658978644504257,4,4,UNDER,PLAUSIBLE,167,0.29302032877807793,0.5269461077844312,OVER,False,DEAD,,,,,,,,,,,
home_sp_FRONT_LOADED × opp_pl_two_strike_ff_pct_last_3_LOW,home_sp_FRONT_LOADED,opp_pl_two_strike_ff_pct_last_3_LOW,2,112,-2.077925914173177,-0.4330357142857143,-0.29090941337666915,-1.368690164942736,-2.803399968832043,3,4,UNDER,PLAUSIBLE,157,1.6656557134861996,0.9968152866242038,OVER,False,DEAD,,,,,,,,,,,
home_sp_FRONT_LOADED × opp_pl_velo_ff_mean_last_5_HIGH,home_sp_FRONT_LOADED,opp_pl_velo_ff_mean_last_5_HIGH,2,87,-2.111365081815486,-0.5689655172413793,-0.29090941337666915,-0.6399058337490822,-2.321759080520523,4,4,UNDER,PLAUSIBLE,154,-1.5462026374436957,-0.10064935064935066,UNDER,True,PASS,26.76763243076028,188.0,-0.05883091658815942,0.3404255319148936,UNDER,True,WEAK,97.21360758047713,,,
home_sp_BACK_LOADED × home_lu_HIGH_TURNOVER,home_sp_BACK_LOADED,home_lu_HIGH_TURNOVER,2,101,2.3386199405120283,1.50990099009901,1.634747612924342,1.6856482469305967,1.8859962363148184,3,4,OVER,PLAUSIBLE,109,-0.46986027670897684,0.23853211009174313,UNDER,False,DEAD,,,,,,,,,,,
home_sp_BACK_LOADED × contact_ev_last_15_HIGH,home_sp_BACK_LOADED,contact_ev_last_15_HIGH,2,145,2.0880771395381643,1.2413793103448276,1.634747612924342,1.1191626702072524,2.641788148368596,4,3,OVER,PLAUSIBLE,177,-3.1866073534594235,-0.5903954802259888,UNDER,False,DEAD,,,,,,,,,,,
home_sp_BACK_LOADED × contact_barrel_rate_last_7_HIGH,home_sp_BACK_LOADED,contact_barrel_rate_last_7_HIGH,2,152,2.107621229410119,1.230263157894737,1.634747612924342,1.1086353022584954,3.4484663294982165,4,4,OVER,PLAUSIBLE,202,-0.8820662552208071,0.16584158415841585,UNDER,False,DEAD,,,,,,,,,,,
home_sp_BACK_LOADED × contact_barrel_rate_last_20_HIGH,home_sp_BACK_LOADED,contact_barrel_rate_last_20_HIGH,2,151,2.904497402806705,1.5264900662251655,1.634747612924342,1.2918590566328811,3.7485373288409702,4,3,OVER,PLAUSIBLE,181,-0.7306080008624701,0.19889502762430938,UNDER,False,DEAD,,,,,,,,,,,
home_sp_BACK_LOADED × contact_la_last_10_HIGH,home_sp_BACK_LOADED,contact_la_last_10_HIGH,2,159,2.530165369977234,1.3647798742138364,1.634747612924342,-0.0020020163353412206,4.022173633735891,4,4,OVER,PLAUSIBLE,282,-0.6406940838518415,0.26773049645390073,UNDER,False,DEAD,,,,,,,,,,,
home_sp_BACK_LOADED × contact_la_last_15_HIGH,home_sp_BACK_LOADED,contact_la_last_15_HIGH,2,168,2.468189402956016,1.318452380952381,1.634747612924342,1.0349437266171984,4.237510576071098,4,4,OVER,PLAUSIBLE,271,-0.6359847497746562,0.2656826568265683,UNDER,False,DEAD,,,,,,,,,,,
home_sp_BACK_LOADED × contact_la_last_20_HIGH,home_sp_BACK_LOADED,contact_la_last_20_HIGH,2,182,3.2407659203340677,1.543956043956044,1.634747612924342,1.2349637176435766,5.406034845914544,4,4,OVER,PLAUSIBLE,265,0.7346699484309669,0.6226415094339622,OVER,True,WEAK,77.33036058478315,304.0,2.1514801475061227,0.9144736842105263,OVER,True,THREE_STAGE_SURVIVOR,33.61198554925739,3.7037037037037033,3.7793302683543306,243.0
home_sp_BACK_LOADED × contact_xslg_last_7_HIGH,home_sp_BACK_LOADED,contact_xslg_last_7_HIGH,2,145,2.14309242798864,1.2620689655172415,1.634747612924342,1.4928842323881168,3.6616625880250706,4,3,OVER,PLAUSIBLE,163,-0.5448163705894399,0.24846625766871167,UNDER,False,DEAD,,,,,,,,,,,
home_sp_BACK_LOADED × contact_xslg_last_20_HIGH,home_sp_BACK_LOADED,contact_xslg_last_20_HIGH,2,145,2.051400280571181,1.2275862068965517,1.634747612924342,1.3823468689261706,3.6632703105576723,3,3,OVER,PLAUSIBLE,146,-0.4044618018421796,0.2876712328767123,UNDER,False,DEAD,,,,,,,,,,,
home_sp_BACK_LOADED × plate_bb_rate_last_20_HIGH,home_sp_BACK_LOADED,plate_bb_rate_last_20_HIGH,2,182,2.1604410297845744,1.1813186813186813,1.634747612924342,-0.23360411120798957,3.902095754454484,3,4,OVER,PLAUSIBLE,117,-0.20278182193723393,0.3504273504273504,UNDER,False,DEAD,,,,,,,,,,,
home_sp_BACK_LOADED × damage_iso_last_7_HIGH,home_sp_BACK_LOADED,damage_iso_last_7_HIGH,2,149,2.0087624738402967,1.2013422818791946,1.634747612924342,1.1138989862328736,2.6519384624553455,4,4,OVER,PLAUSIBLE,162,-0.17904838430117428,0.37037037037037035,UNDER,False,DEAD,,,,,,,,,,,
home_sp_BACK_LOADED × damage_hr_rate_last_7_HIGH,home_sp_BACK_LOADED,damage_hr_rate_last_7_HIGH,2,154,3.1631224871512003,1.6103896103896105,1.634747612924342,2.1824268330316836,4.642505154318647,4,4,OVER,PLAUSIBLE,159,-0.3148877748250267,0.3238993710691824,UNDER,False,DEAD,,,,,,,,,,,
home_sp_BACK_LOADED × damage_hr_rate_last_10_HIGH,home_sp_BACK_LOADED,damage_hr_rate_last_10_HIGH,2,148,2.931397389294109,1.5472972972972974,1.634747612924342,1.724486327260765,4.17757697326822,4,4,OVER,PLAUSIBLE,137,-0.5503985349828473,0.22992700729927007,UNDER,False,DEAD,,,,,,,,,,,
home_sp_BACK_LOADED × damage_hr_rate_last_20_HIGH,home_sp_BACK_LOADED,damage_hr_rate_last_20_HIGH,2,155,2.1781454789558437,1.2483870967741935,1.634747612924342,1.2612821375154681,4.171369948805906,4,4,OVER,PLAUSIBLE,122,-0.5098569508883717,0.2336065573770492,UNDER,False,DEAD,,,,,,,,,,,
home_sp_BACK_LOADED × relievers_used_last_game_LOW,home_sp_BACK_LOADED,relievers_used_last_game_LOW,2,277,2.1979333174976716,1.0541516245487366,1.634747612924342,1.1116071556267861,3.564237118391847,4,4,OVER,PLAUSIBLE,472,0.15542429827901852,0.4608050847457627,OVER,True,WEAK,92.92861630324765,422.0,0.29993124867283927,0.4253554502369668,OVER,True,WEAK,86.35394230183888,,,
home_sp_BACK_LOADED × relievers_used_last_3_games_HIGH,home_sp_BACK_LOADED,relievers_used_last_3_games_HIGH,2,184,2.2721914647251964,1.2146739130434783,1.634747612924342,0.9265883254346348,2.650950128909065,4,4,OVER,PLAUSIBLE,279,0.28717153687591745,0.503584229390681,OVER,True,WEAK,87.3614727748901,317.0,0.42439021817898537,0.4668769716088328,OVER,True,WEAK,81.32242705918658,,,
home_sp_BACK_LOADED × opp_sp_batmiss_k_rate_last_3_LOW,home_sp_BACK_LOADED,opp_sp_batmiss_k_rate_last_3_LOW,2,131,2.6480115727759426,1.5038167938931297,1.634747612924342,0.33247782817556565,2.9281365230114704,4,4,OVER,PLAUSIBLE,238,0.7466056823634575,0.6365546218487395,OVER,True,WEAK,71.80504458366919,232.0,1.6362483497922973,0.8426724137931034,OVER,True,THREE_STAGE_SURVIVOR,38.20841394295727,1.8619934282584878,1.9424026682978823,193.0
home_sp_BACK_LOADED × opp_sp_command_bb_rate_last_5_LOW,home_sp_BACK_LOADED,opp_sp_command_bb_rate_last_5_LOW,2,130,2.1247194047627893,1.3,1.634747612924342,1.5941058807717499,2.23503347482049,4,4,OVER,PLAUSIBLE,249,0.9718261181717697,0.6927710843373494,OVER,True,PASS,54.26096660136317,218.0,-0.300063702654177,0.268348623853211,UNDER,False,DEAD,,,,
home_sp_BACK_LOADED × opp_sp_command_bb_rate_last_10_HIGH,home_sp_BACK_LOADED,opp_sp_command_bb_rate_last_10_HIGH,2,143,2.1102406718288744,1.2552447552447552,1.634747612924342,0.6185896711156786,2.9359295616325514,3,4,OVER,PLAUSIBLE,180,-0.38404388996935157,0.30833333333333335,UNDER,False,DEAD,,,,,,,,,,,
home_sp_BACK_LOADED × opp_sp_command_bb_rate_last_10_LOW,home_sp_BACK_LOADED,opp_sp_command_bb_rate_last_10_LOW,2,126,2.1744007734311173,1.3333333333333333,1.634747612924342,1.3583306582508177,1.8789372419816375,4,3,OVER,PLAUSIBLE,207,1.0344439341902876,0.7367149758454107,OVER,True,PASS,52.426252472400634,165.0,-0.15330189260502408,0.30606060606060603,UNDER,False,DEAD,,,,
home_sp_BACK_LOADED × opp_sp_contact_hh_allowed_last_3_HIGH,home_sp_BACK_LOADED,opp_sp_contact_hh_allowed_last_3_HIGH,2,157,2.1657743375728495,1.2388535031847134,1.634747612924342,1.0337608582828777,3.3773007443452427,4,4,OVER,PLAUSIBLE,218,0.14606725049041241,0.4724770642201835,OVER,True,WEAK,93.25565697421146,275.0,0.47721611273549536,0.4890909090909091,OVER,True,WEAK,77.96556619697026,,,
home_sp_BACK_LOADED × opp_sp_contact_hh_allowed_last_10_HIGH,home_sp_BACK_LOADED,opp_sp_contact_hh_allowed_last_10_HIGH,2,124,2.5966523315969865,1.5120967741935485,1.634747612924342,0.6622843467806526,2.786024936458557,4,4,OVER,PLAUSIBLE,165,0.3744518764151805,0.5545454545454546,OVER,True,WEAK,85.57943734481827,225.0,-0.4216708599302179,0.23333333333333334,UNDER,False,DEAD,,,,
home_sp_BACK_LOADED × opp_sp_contact_barrel_allowed_last_5_HIGH,home_sp_BACK_LOADED,opp_sp_contact_barrel_allowed_last_5_HIGH,2,153,2.280031332626576,1.2908496732026145,1.634747612924342,1.5682726284151713,1.9954832651050445,4,4,OVER,PLAUSIBLE,183,-1.2879490586886435,0.02459016393442623,UNDER,False,DEAD,,,,,,,,,,,
home_sp_BACK_LOADED × opp_sp_contact_barrel_allowed_last_10_HIGH,home_sp_BACK_LOADED,opp_sp_contact_barrel_allowed_last_10_HIGH,2,134,2.229649617980026,1.328358208955224,1.634747612924342,1.093694488851957,2.720321795627529,3,4,OVER,PLAUSIBLE,165,-0.411081022325036,0.29393939393939394,UNDER,False,DEAD,,,,,,,,,,,
home_sp_BACK_LOADED × opp_sp_contact_ev_allowed_last_3_HIGH,home_sp_BACK_LOADED,opp_sp_contact_ev_allowed_last_3_HIGH,2,155,2.7812036534153544,1.467741935483871,1.634747612924342,1.0282333462427529,3.038985028532619,4,4,OVER,PLAUSIBLE,207,0.4146657021993575,0.5531400966183575,OVER,True,WEAK,85.09042292929024,308.0,1.5235387992705918,0.75,OVER,True,THREE_STAGE_SURVIVOR,45.22016403222877,-2.0373752985808635,-1.9307153085972417,215.0
home_sp_BACK_LOADED × opp_sp_contact_ev_allowed_last_5_HIGH,home_sp_BACK_LOADED,opp_sp_contact_ev_allowed_last_5_HIGH,2,148,2.032892422872459,1.212837837837838,1.634747612924342,1.5570764105667472,2.35159365343804,4,4,OVER,PLAUSIBLE,173,-0.587767380993462,0.2398843930635838,UNDER,False,DEAD,,,,,,,,,,,
home_sp_BACK_LOADED × opp_sp_contact_la_allowed_last_3_HIGH,home_sp_BACK_LOADED,opp_sp_contact_la_allowed_last_3_HIGH,2,139,2.0528153632457333,1.2446043165467626,1.634747612924342,1.205113731526747,3.835785471861676,3,4,OVER,PLAUSIBLE,260,-1.0242776170798407,0.1596153846153846,UNDER,False,DEAD,,,,,,,,,,,
home_sp_BACK_LOADED × opp_sp_workload_ip_last_10_HIGH,home_sp_BACK_LOADED,opp_sp_workload_ip_last_10_HIGH,2,145,2.6749068830098994,1.4620689655172414,1.634747612924342,1.7744349635143328,3.1863036595908665,4,4,OVER,PLAUSIBLE,169,0.3479490877181645,0.5443786982248521,OVER,True,WEAK,86.99210466247558,142.0,-0.9441215661262441,0.0035211267605633804,UNDER,False,DEAD,,,,
home_sp_BACK_LOADED × opp_sp_workload_ppbf_last_3_LOW,home_sp_BACK_LOADED,opp_sp_workload_ppbf_last_3_LOW,2,151,2.2485779191024378,1.2847682119205297,1.634747612924342,0.6382109691454058,4.016495946330661,4,3,OVER,PLAUSIBLE,242,-0.5224818176531983,0.2871900826446281,UNDER,False,DEAD,,,,,,,,,,,
home_sp_BACK_LOADED × opp_sp_damage_hr_rate_last_3_HIGH,home_sp_BACK_LOADED,opp_sp_damage_hr_rate_last_3_HIGH,2,160,2.706317836651338,1.425,1.634747612924342,-0.03279078214443434,2.458676517916196,4,4,OVER,PLAUSIBLE,198,0.5719536748151381,0.6035353535353535,OVER,True,WEAK,78.8659828838565,215.0,1.5194170378176477,0.8255813953488372,OVER,True,THREE_STAGE_SURVIVOR,43.85666689845645,-2.462809917355375,-2.4407810359743376,183.0
home_sp_BACK_LOADED × opp_sp_damage_hr_rate_last_5_HIGH,home_sp_BACK_LOADED,opp_sp_damage_hr_rate_last_5_HIGH,2,149,2.5514805181525184,1.4026845637583893,1.634747612924342,0.25354952284882837,3.0075675285033743,4,3,OVER,PLAUSIBLE,172,1.6279631990324381,0.9593023255813954,OVER,True,PASS,36.195350603295324,191.0,3.1995149056535213,1.4005235602094241,OVER,True,THREE_STAGE_SURVIVOR,-25.398367061420206,4.025974025974024,3.8710661383784872,163.0
home_sp_BACK_LOADED × opp_sp_damage_hr_rate_last_10_HIGH,home_sp_BACK_LOADED,opp_sp_damage_hr_rate_last_10_HIGH,2,138,2.3883758921309552,1.3768115942028984,1.634747612924342,1.3409929788648376,3.4916168010340276,4,3,OVER,PLAUSIBLE,173,1.4728474797441853,0.9075144508670521,OVER,True,PASS,38.33267683714215,162.0,2.0573682308147108,1.0864197530864197,OVER,True,THREE_STAGE_SURVIVOR,13.85911080440998,-2.657342657342658,-2.589435258547157,151.0
home_sp_BACK_LOADED × temperature_HIGH,home_sp_BACK_LOADED,temperature_HIGH,2,159,2.197428306461595,1.2452830188679245,1.634747612924342,0.6767066717023689,3.0253567377606543,3,4,OVER,PLAUSIBLE,242,-0.3037569239584139,0.34710743801652894,UNDER,False,DEAD,,,,,,,,,,,
home_sp_BACK_LOADED × batting_barrel_rate_last_1_HIGH,home_sp_BACK_LOADED,batting_barrel_rate_last_1_HIGH,2,145,2.5373686618837117,1.410344827586207,1.634747612924342,0.6792218710152772,4.205122478580776,3,4,OVER,PLAUSIBLE,244,-0.44312987269610643,0.3094262295081967,UNDER,False,DEAD,,,,,,,,,,,
home_sp_BACK_LOADED × batting_xwoba_contact_last_1_HIGH,home_sp_BACK_LOADED,batting_xwoba_contact_last_1_HIGH,2,140,2.0929473576889404,1.2571428571428571,1.634747612924342,0.3769832298199015,4.092945055779243,3,3,OVER,PLAUSIBLE,251,-0.3334072317103374,0.34063745019920316,UNDER,False,DEAD,,,,,,,,,,,
home_sp_BACK_LOADED × batting_total_bip_last_3_HIGH,home_sp_BACK_LOADED,batting_total_bip_last_3_HIGH,2,164,2.6933806599725627,1.4085365853658536,1.634747612924342,1.6890867690033482,2.746906690977439,4,3,OVER,PLAUSIBLE,250,0.2511183421770673,0.498,OVER,True,WEAK,90.67646300766022,247.0,3.398845431632586,1.3319838056680162,OVER,True,THREE_STAGE_SURVIVOR,-26.19253869845526,3.508522727272725,3.856965834964976,213.0
home_sp_BACK_LOADED × batting_hard_hit_rate_last_3_LOW,home_sp_BACK_LOADED,batting_hard_hit_rate_last_3_LOW,2,178,2.1485723713664946,1.1853932584269662,1.634747612924342,0.277120507132122,2.43268554433381,4,4,OVER,PLAUSIBLE,309,-0.2331908586829883,0.3737864077669903,UNDER,False,DEAD,,,,,,,,,,,
home_sp_BACK_LOADED × batting_total_bip_last_5_HIGH,home_sp_BACK_LOADED,batting_total_bip_last_5_HIGH,2,170,2.378900327776812,1.2823529411764707,1.634747612924342,2.043912227908798,2.7692181295084666,4,3,OVER,PLAUSIBLE,243,0.9322969237638391,0.6851851851851852,OVER,True,WEAK,60.8097526038381,234.0,2.520310454155585,1.1004273504273505,OVER,True,THREE_STAGE_SURVIVOR,-5.944348517994735,3.85454545454545,4.005232709200435,208.0
home_sp_BACK_LOADED × batting_hard_hit_rate_last_10_LOW,home_sp_BACK_LOADED,batting_hard_hit_rate_last_10_LOW,2,182,2.479627929265107,1.2884615384615385,1.634747612924342,0.3454011259736312,2.246067538672507,4,3,OVER,PLAUSIBLE,325,0.1060396107793623,0.4553846153846154,OVER,True,WEAK,95.72356765594307,162.0,-0.668870408481711,0.12345679012345678,UNDER,False,DEAD,,,,
home_sp_BACK_LOADED × opp_pl_ff_pct_last_3_HIGH,home_sp_BACK_LOADED,opp_pl_ff_pct_last_3_HIGH,2,149,2.750477134400333,1.476510067114094,1.634747612924342,1.7918298553814225,2.8036378167319724,4,4,OVER,PLAUSIBLE,213,1.0023746269529892,0.7230046948356808,OVER,True,WEAK,63.55633666550986,179.0,0.8996121787557171,0.6620111731843575,OVER,True,THREE_STAGE_SURVIVOR,67.2925047256627,3.134796238244516,3.14747167072138,174.0
home_sp_BACK_LOADED × opp_pl_ff_pct_last_5_HIGH,home_sp_BACK_LOADED,opp_pl_ff_pct_last_5_HIGH,2,145,3.2892442707068716,1.693103448275862,1.634747612924342,2.2777894064340356,3.4969982664620334,4,4,OVER,PLAUSIBLE,186,0.980070493748488,0.7365591397849462,OVER,True,WEAK,70.20377895078414,160.0,0.44745391318414185,0.51875,OVER,True,WEAK,86.39645230459024,,,
home_sp_BACK_LOADED × opp_pl_heart_drift_last_3_LOW,home_sp_BACK_LOADED,opp_pl_heart_drift_last_3_LOW,2,142,3.293571737417144,1.7077464788732395,1.634747612924342,1.7351897116480146,3.615594178853369,4,4,OVER,PLAUSIBLE,229,0.10788159808399574,0.4606986899563319,OVER,True,WEAK,96.72448008773,185.0,0.12187689578409718,0.4,OVER,True,WEAK,96.29955241601405,,,
home_sp_BACK_LOADED × opp_pl_pfx_x_mean_last_5_HIGH,home_sp_BACK_LOADED,opp_pl_pfx_x_mean_last_5_HIGH,2,135,2.022652651553798,1.2444444444444445,1.634747612924342,0.139546585524144,3.839443755728524,3,4,OVER,PLAUSIBLE,195,0.6316387455449542,0.6230769230769231,OVER,True,WEAK,68.77176389827831,159.0,0.1024044670157139,0.39622641509433965,OVER,True,WEAK,94.9371204721163,,,
home_sp_BACK_LOADED × opp_pl_primary_mix_drift_last_3_HIGH,home_sp_BACK_LOADED,opp_pl_primary_mix_drift_last_3_HIGH,2,138,2.5011625812259535,1.4202898550724639,1.634747612924342,1.5029651223410423,3.0349165966251976,3,4,OVER,PLAUSIBLE,223,1.5641511220523232,0.8766816143497758,OVER,True,PASS,37.463036837627364,207.0,0.9282060107644143,0.6497584541062802,OVER,True,THREE_STAGE_SURVIVOR,62.88901738209073,-1.2539184952978102,-1.2277514787004007,183.0
home_sp_BACK_LOADED × opp_pl_secondary_pitch_pct_last_5_HIGH,home_sp_BACK_LOADED,opp_pl_secondary_pitch_pct_last_5_HIGH,2,139,2.146465570957273,1.2805755395683454,1.634747612924342,-0.12557247043772926,2.5590769355036285,4,3,OVER,PLAUSIBLE,211,0.5121468347564778,0.580568720379147,OVER,True,WEAK,76.13999303384716,201.0,-0.3656005833381813,0.24378109452736318,UNDER,False,DEAD,,,,
home_sp_BACK_LOADED × opp_pl_spin_sl_mean_last_3_HIGH,home_sp_BACK_LOADED,opp_pl_spin_sl_mean_last_3_HIGH,2,75,2.6975286750314997,1.8666666666666667,1.634747612924342,0.30799457550185644,3.4524966916455413,4,4,OVER,PLAUSIBLE,136,-0.40290641669233107,0.28308823529411764,UNDER,False,DEAD,,,,,,,,,,,
home_sp_BACK_LOADED × opp_pl_two_strike_ff_pct_last_3_HIGH,home_sp_BACK_LOADED,opp_pl_two_strike_ff_pct_last_3_HIGH,2,144,2.379738187753141,1.3541666666666667,1.634747612924342,1.3500367342608413,2.3641112377810543,4,3,OVER,PLAUSIBLE,233,1.1104844476660924,0.740343347639485,OVER,True,PASS,53.33585629793293,171.0,-0.6295547608161596,0.14327485380116958,UNDER,False,DEAD,,,,
home_sp_BACK_LOADED × opp_pl_two_strike_ff_pct_last_5_HIGH,home_sp_BACK_LOADED,opp_pl_two_strike_ff_pct_last_5_HIGH,2,136,2.053904703278357,1.2536764705882353,1.634747612924342,0.6006232045882716,2.2559039293749503,3,4,OVER,PLAUSIBLE,206,0.8723174940017613,0.6893203883495146,OVER,True,PASS,57.5288233865279,150.0,-0.3987772442962482,0.21333333333333335,UNDER,False,DEAD,,,,
home_sp_BACK_LOADED × opp_pl_velo_drift_last_5_HIGH,home_sp_BACK_LOADED,opp_pl_velo_drift_last_5_HIGH,2,121,2.1542419076214805,1.3429752066115703,1.634747612924342,0.7297161373432218,2.577698946061252,4,4,OVER,PLAUSIBLE,164,2.5731730970047852,1.2865853658536586,OVER,True,PASS,-19.446803439352397,157.0,0.47086571122963666,0.5286624203821656,OVER,True,WEAK,78.14239387119137,,,
home_sp_BACK_LOADED × opp_pl_velo_ff_mean_last_5_HIGH,home_sp_BACK_LOADED,opp_pl_velo_ff_mean_last_5_HIGH,2,114,2.0062215184594336,1.3070175438596492,1.634747612924342,-0.6399058337490822,2.114849065002226,4,4,OVER,PLAUSIBLE,181,1.083369711482104,0.7734806629834254,OVER,True,PASS,45.99949698904548,187.0,0.329109838766472,0.4679144385026738,OVER,True,WEAK,83.59553839203193,,,
home_sp_BACK_LOADED × opp_pl_velo_mean_last_3_HIGH,home_sp_BACK_LOADED,opp_pl_velo_mean_last_3_HIGH,2,129,2.307067770290135,1.375968992248062,1.634747612924342,-0.5474080808083222,2.701797876510807,3,4,OVER,PLAUSIBLE,241,1.6973956061255842,0.8962655601659751,OVER,True,PASS,26.426278933621404,261.0,-0.16364482444335762,0.31417624521072796,UNDER,False,DEAD,,,,
home_sp_BACK_LOADED × opp_pl_zone_drift_last_5_LOW,home_sp_BACK_LOADED,opp_pl_zone_drift_last_5_LOW,2,146,2.200506814203714,1.2808219178082192,1.634747612924342,-0.29271274484847565,2.204135385613864,3,4,OVER,PLAUSIBLE,243,0.804342977745211,0.6502057613168725,OVER,True,WEAK,63.44737618836802,178.0,0.316278063544439,0.46629213483146065,OVER,True,WEAK,85.62703548550978,,,
home_sp_BACK_LOADED × top_order_xwoba_contact_HIGH,home_sp_BACK_LOADED,top_order_xwoba_contact_HIGH,2,163,2.640333938911168,1.392638036809816,1.634747612924342,1.244539642407457,3.9096738494257184,4,4,OVER,PLAUSIBLE,460,-0.9294035224017974,0.24565217391304348,UNDER,False,DEAD,,,,,,,,,,,
home_sp_BACK_LOADED × middle_order_hard_hit_rate_LOW,home_sp_BACK_LOADED,middle_order_hard_hit_rate_LOW,2,187,2.5386119749508103,1.2967914438502675,1.634747612924342,0.7567663508736308,2.5678978523322855,4,4,OVER,PLAUSIBLE,299,-0.9046936081630689,0.20735785953177258,UNDER,False,DEAD,,,,,,,,,,,
home_sp_BACK_LOADED × middle_order_barrel_rate_LOW,home_sp_BACK_LOADED,middle_order_barrel_rate_LOW,2,183,2.3756174444597056,1.2513661202185793,1.634747612924342,0.9513444674610981,2.878092100685357,4,4,OVER,PLAUSIBLE,288,-0.6420313901433854,0.2690972222222222,UNDER,False,DEAD,,,,,,,,,,,
home_sp_BACK_LOADED × middle_order_avg_exit_velo_LOW,home_sp_BACK_LOADED,middle_order_avg_exit_velo_LOW,2,189,2.3097094885254092,1.216931216931217,1.634747612924342,0.19896365563656288,2.404517913814242,3,3,OVER,PLAUSIBLE,302,-0.3842472132827996,0.3360927152317881,UNDER,False,DEAD,,,,,,,,,,,
home_sp_BACK_LOADED × middle_order_xwoba_contact_LOW,home_sp_BACK_LOADED,middle_order_xwoba_contact_LOW,2,182,2.3486794576833496,1.2445054945054945,1.634747612924342,0.8359016683277427,2.7241253334912843,4,4,OVER,PLAUSIBLE,235,-0.26979184945686957,0.3553191489361702,UNDER,False,DEAD,,,,,,,,,,,
