features,feature_a,feature_b,depth,n_flagged,z_score,mean_residual,z_a,z_b,controlled_z,bucket_consistent,month_consistent,direction,plausibility,val_n,val_z,val_mean_residual,val_direction,val_consistent,val_attenuation,val_status,oos_n,oos_z,oos_mean_residual,oos_direction,oos_consistent,oos_attenuation,oos_status,synthetic_roi,real_roi,games_per_season
opp_sp_command_bb_rate_last_5_LOW × opp_pl_heart_drift_last_3_LOW,opp_sp_command_bb_rate_last_5_LOW,opp_pl_heart_drift_last_3_LOW,2,129,2.452886244285638,1.434108527131783,1.5941058807717499,1.7351897116480146,2.873576541792139,4,4,OVER,PLAUSIBLE,215,0.2957718597456715,0.5162790697674419,OVER,True,87.94188436440068,WEAK,199,2.0879147826888103,1.0251256281407035,OVER,True,14.879265699625602,THREE_STAGE_SURVIVOR,4.572036150983516,4.198455531635825,171
opp_sp_command_bb_rate_last_10_LOW × opp_sp_contact_la_allowed_last_5_HIGH,opp_sp_command_bb_rate_last_10_LOW,opp_sp_contact_la_allowed_last_5_HIGH,2,111,2.313348045878045,1.4504504504504505,1.3583306582508177,1.4451142320825063,2.4664872313319504,4,3,OVER,PLAUSIBLE,236,0.9003840529331525,0.6800847457627118,OVER,True,61.078746687621475,WEAK,211,0.8437377867451101,0.6208530805687204,OVER,True,63.52741697262141,THREE_STAGE_SURVIVOR,2.031488065007612,1.7504923605266454,179
opp_sp_command_bb_rate_last_10_LOW × opp_sp_contact_la_allowed_last_10_HIGH,opp_sp_command_bb_rate_last_10_LOW,opp_sp_contact_la_allowed_last_10_HIGH,2,107,2.352443978756466,1.485981308411215,1.3583306582508177,1.7199797378169484,2.1171011426656223,4,3,OVER,PLAUSIBLE,224,0.730769895619934,0.6383928571428571,OVER,True,68.9357152723259,WEAK,208,0.9821156824078994,0.6658653846153846,OVER,True,58.251261612314394,THREE_STAGE_SURVIVOR,1.1781255494988576,0.9843881205612526,172
opp_sp_command_bb_rate_last_10_LOW × batting_total_bip_last_3_HIGH,opp_sp_command_bb_rate_last_10_LOW,batting_total_bip_last_3_HIGH,2,124,2.6759746299780685,1.5443548387096775,1.3583306582508177,1.6890867690033482,2.1839284592450774,4,3,OVER,PLAUSIBLE,195,0.9341162590647324,0.7153846153846154,OVER,True,65.09248448770279,WEAK,176,2.861862323379961,1.3295454545454546,OVER,True,-6.946541694358888,THREE_STAGE_SURVIVOR,7.6615208690680365,7.803224502188244,159
opp_sp_command_bb_rate_last_10_LOW × batting_total_bip_last_5_HIGH,opp_sp_command_bb_rate_last_10_LOW,batting_total_bip_last_5_HIGH,2,127,2.656557051879129,1.5236220472440944,1.3583306582508177,2.043912227908798,2.292274937037518,4,3,OVER,PLAUSIBLE,194,0.7163284267462325,0.6494845360824743,OVER,True,73.03545857449085,WEAK,174,2.1231501357146234,1.0833333333333333,OVER,True,20.07888051141975,THREE_STAGE_SURVIVOR,5.080213903743316,5.2417809948172245,158
opp_sp_command_bb_rate_last_10_LOW × opp_pl_heart_drift_last_3_LOW,opp_sp_command_bb_rate_last_10_LOW,opp_pl_heart_drift_last_3_LOW,2,128,3.0178630950372445,1.6640625,1.3583306582508177,1.7351897116480146,3.193077646913821,4,4,OVER,PLAUSIBLE,216,0.008801126476713494,0.43287037037037035,OVER,True,99.70836561502121,WEAK,188,3.2911158754052336,1.4388297872340425,OVER,True,-9.054512141963713,THREE_STAGE_SURVIVOR,5.381818181818181,5.127128667952441,166
opp_sp_command_zone_rate_last_3_HIGH × batting_barrel_rate_last_10_LOW,opp_sp_command_zone_rate_last_3_HIGH,batting_barrel_rate_last_10_LOW,2,144,-2.5059913310218875,-0.4895833333333333,-1.2435741022485456,-1.0255634521630672,-3.123599360537301,4,4,UNDER,PLAUSIBLE,286,-1.5203751588654775,0.0472027972027972,UNDER,True,39.33039033117875,PASS,237,-1.1956498815929897,0.010548523206751054,UNDER,True,52.288347258351045,THREE_STAGE_SURVIVOR,5.0,4.8517015338350955,213
opp_sp_command_zone_rate_last_3_HIGH × opp_pl_ff_pct_last_3_LOW,opp_sp_command_zone_rate_last_3_HIGH,opp_pl_ff_pct_last_3_LOW,2,106,-2.012883466262676,-0.42924528301886794,-1.2435741022485456,-1.272401920595943,-2.1686134685796588,3,4,UNDER,PLAUSIBLE,166,-1.9111525148871558,-0.20180722891566266,UNDER,True,5.053991106817737,PASS,244,-1.1572711909342714,0.02663934426229508,UNDER,True,42.50679632820579,THREE_STAGE_SURVIVOR,8.259423503325939,8.263596883936097,164
opp_sp_command_zone_rate_last_3_HIGH × opp_pl_two_strike_ff_pct_last_3_LOW,opp_sp_command_zone_rate_last_3_HIGH,opp_pl_two_strike_ff_pct_last_3_LOW,2,98,-2.2908679527947053,-0.5918367346938775,-1.2435741022485456,-1.368690164942736,-2.6729664015160877,4,4,UNDER,PLAUSIBLE,147,-1.1952646039291774,0.01020408163265306,UNDER,True,47.82481450006602,PASS,217,-1.465545677501764,-0.08755760368663594,UNDER,True,36.026619268304124,THREE_STAGE_SURVIVOR,10.156739811912226,10.19041368575564,145
opp_sp_command_zone_rate_last_3_LOW × exit_prob_by_5_drift_last_5_HIGH,opp_sp_command_zone_rate_last_3_LOW,exit_prob_by_5_drift_last_5_HIGH,2,130,2.027881704093711,1.2615384615384615,0.34282185326727604,-0.2251773923353387,1.7729852331376907,4,4,OVER,PLAUSIBLE,192,0.12496167357651368,0.46875,OVER,True,93.8378223283808,WEAK,127,1.2003662410603162,0.8385826771653543,OVER,True,40.80689033107201,THREE_STAGE_SURVIVOR,1.87724108837798,1.7010863391896613,143
