features,feature_a,feature_b,depth,n_flagged,z_score,mean_residual,z_a,z_b,controlled_z,bucket_consistent,month_consistent,direction,plausibility,val_n,val_z,val_mean_residual,val_direction,val_consistent,val_attenuation,val_status,oos_n,oos_z,oos_mean_residual,oos_direction,oos_consistent,oos_attenuation,oos_status,synthetic_roi,real_roi,games_per_season
home_sp_BACK_LOADED × contact_la_last_20_HIGH,home_sp_BACK_LOADED,contact_la_last_20_HIGH,2,182,3.2407659203340677,1.543956043956044,1.634747612924342,1.2349637176435766,5.406034845914544,4,4,OVER,PLAUSIBLE,265,0.7346699484309669,0.6226415094339622,OVER,True,77.33036058478315,WEAK,304,2.1514801475061227,0.9144736842105263,OVER,True,33.61198554925739,THREE_STAGE_SURVIVOR,3.7037037037037033,3.7793302683543306,243
home_sp_BACK_LOADED × opp_sp_batmiss_k_rate_last_3_LOW,home_sp_BACK_LOADED,opp_sp_batmiss_k_rate_last_3_LOW,2,131,2.6480115727759426,1.5038167938931297,1.634747612924342,0.33247782817556565,2.9281365230114704,4,4,OVER,PLAUSIBLE,238,0.7466056823634575,0.6365546218487395,OVER,True,71.80504458366919,WEAK,232,1.6362483497922973,0.8426724137931034,OVER,True,38.20841394295727,THREE_STAGE_SURVIVOR,1.8619934282584878,1.9424026682978823,193
home_sp_BACK_LOADED × opp_sp_contact_ev_allowed_last_3_HIGH,home_sp_BACK_LOADED,opp_sp_contact_ev_allowed_last_3_HIGH,2,155,2.7812036534153544,1.467741935483871,1.634747612924342,1.0282333462427529,3.038985028532619,4,4,OVER,PLAUSIBLE,207,0.4146657021993575,0.5531400966183575,OVER,True,85.09042292929024,WEAK,308,1.5235387992705918,0.75,OVER,True,45.22016403222877,THREE_STAGE_SURVIVOR,-2.0373752985808635,-1.9307153085972417,215
home_sp_BACK_LOADED × opp_sp_damage_hr_rate_last_3_HIGH,home_sp_BACK_LOADED,opp_sp_damage_hr_rate_last_3_HIGH,2,160,2.706317836651338,1.425,1.634747612924342,-0.03279078214443434,2.458676517916196,4,4,OVER,PLAUSIBLE,198,0.5719536748151381,0.6035353535353535,OVER,True,78.8659828838565,WEAK,215,1.5194170378176477,0.8255813953488372,OVER,True,43.85666689845645,THREE_STAGE_SURVIVOR,-2.462809917355375,-2.4407810359743376,183
home_sp_BACK_LOADED × opp_sp_damage_hr_rate_last_5_HIGH,home_sp_BACK_LOADED,opp_sp_damage_hr_rate_last_5_HIGH,2,149,2.5514805181525184,1.4026845637583893,1.634747612924342,0.25354952284882837,3.0075675285033743,4,3,OVER,PLAUSIBLE,172,1.6279631990324381,0.9593023255813954,OVER,True,36.195350603295324,PASS,191,3.1995149056535213,1.4005235602094241,OVER,True,-25.398367061420206,THREE_STAGE_SURVIVOR,4.025974025974024,3.8710661383784872,163
home_sp_BACK_LOADED × opp_sp_damage_hr_rate_last_10_HIGH,home_sp_BACK_LOADED,opp_sp_damage_hr_rate_last_10_HIGH,2,138,2.3883758921309552,1.3768115942028984,1.634747612924342,1.3409929788648376,3.4916168010340276,4,3,OVER,PLAUSIBLE,173,1.4728474797441853,0.9075144508670521,OVER,True,38.33267683714215,PASS,162,2.0573682308147108,1.0864197530864197,OVER,True,13.85911080440998,THREE_STAGE_SURVIVOR,-2.657342657342658,-2.589435258547157,151
home_sp_BACK_LOADED × batting_total_bip_last_3_HIGH,home_sp_BACK_LOADED,batting_total_bip_last_3_HIGH,2,164,2.6933806599725627,1.4085365853658536,1.634747612924342,1.6890867690033482,2.746906690977439,4,3,OVER,PLAUSIBLE,250,0.2511183421770673,0.498,OVER,True,90.67646300766022,WEAK,247,3.398845431632586,1.3319838056680162,OVER,True,-26.19253869845526,THREE_STAGE_SURVIVOR,3.508522727272725,3.856965834964976,213
home_sp_BACK_LOADED × batting_total_bip_last_5_HIGH,home_sp_BACK_LOADED,batting_total_bip_last_5_HIGH,2,170,2.378900327776812,1.2823529411764707,1.634747612924342,2.043912227908798,2.7692181295084666,4,3,OVER,PLAUSIBLE,243,0.9322969237638391,0.6851851851851852,OVER,True,60.8097526038381,WEAK,234,2.520310454155585,1.1004273504273505,OVER,True,-5.944348517994735,THREE_STAGE_SURVIVOR,3.85454545454545,4.005232709200435,208
home_sp_BACK_LOADED × opp_pl_ff_pct_last_3_HIGH,home_sp_BACK_LOADED,opp_pl_ff_pct_last_3_HIGH,2,149,2.750477134400333,1.476510067114094,1.634747612924342,1.7918298553814225,2.8036378167319724,4,4,OVER,PLAUSIBLE,213,1.0023746269529892,0.7230046948356808,OVER,True,63.55633666550986,WEAK,179,0.8996121787557171,0.6620111731843575,OVER,True,67.2925047256627,THREE_STAGE_SURVIVOR,3.134796238244516,3.14747167072138,174
home_sp_BACK_LOADED × opp_pl_primary_mix_drift_last_3_HIGH,home_sp_BACK_LOADED,opp_pl_primary_mix_drift_last_3_HIGH,2,138,2.5011625812259535,1.4202898550724639,1.634747612924342,1.5029651223410423,3.0349165966251976,3,4,OVER,PLAUSIBLE,223,1.5641511220523232,0.8766816143497758,OVER,True,37.463036837627364,PASS,207,0.9282060107644143,0.6497584541062802,OVER,True,62.88901738209073,THREE_STAGE_SURVIVOR,-1.2539184952978102,-1.2277514787004007,183
home_sp_VOLATILE × batting_avg_exit_velo_last_5_HIGH,home_sp_VOLATILE,batting_avg_exit_velo_last_5_HIGH,2,107,-2.002518517456395,-0.4205607476635514,-1.098331221649741,-0.7231267208251784,-3.487865828806543,4,3,UNDER,PLAUSIBLE,183,-1.3399886173509772,0.00819672131147541,UNDER,True,33.08483264099676,PASS,238,-1.3785481445463559,-0.04201680672268908,UNDER,True,31.159281048876796,THREE_STAGE_SURVIVOR,5.303030303030302,5.569946219912536,168
away_sp_BACK_LOADED × damage_hr_rate_last_10_LOW,away_sp_BACK_LOADED,damage_hr_rate_last_10_LOW,2,143,-2.534014906442532,-0.5034965034965035,-0.7062912788989939,-0.8863009240309079,-1.9606239802500764,3,4,UNDER,PLAUSIBLE,302,-1.0999130614246448,0.1605960264900662,UNDER,True,56.59405717668815,PASS,308,-1.4295556718253615,-0.006493506493506494,UNDER,True,43.585348760544804,THREE_STAGE_SURVIVOR,5.392278953922791,5.504916981758767,243
away_sp_BACK_LOADED × exit_prob_by_6_last_5_HIGH,away_sp_BACK_LOADED,exit_prob_by_6_last_5_HIGH,2,243,-2.228795926193857,-0.19135802469135801,-0.7062912788989939,-0.328105525311744,-3.381572719322679,4,3,UNDER,PLAUSIBLE,376,-1.3469083843509502,0.13430851063829788,UNDER,True,39.56789096204592,PASS,390,-0.7184728909183641,0.19615384615384615,UNDER,True,67.76407913912023,THREE_STAGE_SURVIVOR,5.713222294593839,6.084443045074717,325
away_sp_BACK_LOADED × exit_prob_by_7_last_5_HIGH,away_sp_BACK_LOADED,exit_prob_by_7_last_5_HIGH,2,324,-2.101273999107908,-0.07253086419753087,-0.7062912788989939,-1.208073993931313,-2.7183015923413953,3,4,UNDER,PLAUSIBLE,521,-0.9992334116074146,0.2437619961612284,UNDER,True,52.44630581106332,PASS,483,-1.1360063154130629,0.12732919254658384,UNDER,True,45.93725921058594,THREE_STAGE_SURVIVOR,5.097173773759524,5.435376752665677,425
home_bp_BALANCED_DEPTH × contact_la_last_15_LOW,home_bp_BALANCED_DEPTH,contact_la_last_15_LOW,2,79,-2.261681729262294,-0.6962025316455697,-0.5381944927157951,-0.9336740798003134,-2.004138013829105,3,4,UNDER,PLAUSIBLE,129,-0.07254093906611951,0.40310077519379844,UNDER,True,96.79261064332952,WEAK,167,-0.7844064810389925,0.08682634730538923,UNDER,True,65.31755680341253,THREE_STAGE_SURVIVOR,2.6737967914438467,2.537333391758767,119
home_bp_BALANCED_DEPTH × batting_total_bip_last_1_LOW,home_bp_BALANCED_DEPTH,batting_total_bip_last_1_LOW,2,98,-2.6477733253874787,-0.7551020408163265,-0.5381944927157951,-0.9568957089367036,-2.3052869995763148,3,3,UNDER,PLAUSIBLE,217,-0.9458921167610996,0.15668202764976957,UNDER,True,64.27594055383588,WEAK,220,-1.0742991165227487,0.03409090909090909,UNDER,True,59.426318475901475,THREE_STAGE_SURVIVOR,3.143418467583497,3.1192396007855505,169
home_bp_DEPLETED_BRIDGE × batting_barrel_rate_last_10_HIGH,home_bp_DEPLETED_BRIDGE,batting_barrel_rate_last_10_HIGH,2,83,2.1243302256911525,1.5120481927710843,0.36446442081894814,0.7187683732360793,2.167244344814832,4,4,OVER,PLAUSIBLE,148,0.18927937851340967,0.4966216216216216,OVER,True,91.0899267814246,WEAK,185,1.3565667093806482,0.8081081081081081,OVER,True,36.14143917105505,THREE_STAGE_SURVIVOR,-1.4814814814814816,-1.663268172663046,135
home_bp_CLOSER_DEPENDENT × batting_total_bip_last_10_HIGH,home_bp_CLOSER_DEPENDENT,batting_total_bip_last_10_HIGH,2,71,3.9209809049776396,2.563380281690141,1.4137602814315908,3.1847131179881796,3.579749686472806,3,4,OVER,PLAUSIBLE,86,1.4927474166830805,1.1162790697674418,OVER,True,61.92923523835439,WEAK,102,1.218127377856079,0.9019607843137255,OVER,True,68.93309589165099,THREE_STAGE_SURVIVOR,9.525534226729444,9.050296202525265,83
away_bp_BALANCED_DEPTH × contact_la_last_7_LOW,away_bp_BALANCED_DEPTH,contact_la_last_7_LOW,2,108,-2.289776614195163,-0.5416666666666666,-1.0253069096401162,-0.42309673428561123,-2.8010889973714606,4,4,UNDER,PLAUSIBLE,183,-0.2558311452190216,0.34972677595628415,UNDER,True,88.82724438563,WEAK,254,-1.1146825453343268,0.045275590551181105,UNDER,True,51.31915757965201,THREE_STAGE_SURVIVOR,5.0180443375150405,4.9284589638348475,176
away_bp_BALANCED_DEPTH × relievers_used_last_3_games_LOW,away_bp_BALANCED_DEPTH,relievers_used_last_3_games_LOW,2,151,-2.2170656891307243,-0.3609271523178808,-1.0253069096401162,-0.4156064161863726,-2.3661296568393366,3,4,UNDER,PLAUSIBLE,255,-1.178992565649869,0.11568627450980393,UNDER,True,46.82193804947056,PASS,268,-1.8873102752815791,-0.15858208955223882,UNDER,True,14.873506701483299,THREE_STAGE_SURVIVOR,7.533670033670033,7.784256776849197,216
away_bp_BALANCED_DEPTH × opp_pl_secondary_2strike_drift_last_5_LOW,away_bp_BALANCED_DEPTH,opp_pl_secondary_2strike_drift_last_5_LOW,2,103,-2.4147448624062555,-0.6213592233009708,-1.0253069096401162,0.519934796252049,-2.5590930696814294,4,4,UNDER,PLAUSIBLE,161,-0.032942256938442084,0.4192546583850932,UNDER,True,98.63578726467958,WEAK,171,-1.0718090672244214,-0.008771929824561403,UNDER,True,55.61398291344203,THREE_STAGE_SURVIVOR,9.68094405594405,9.655798243156655,138
away_bp_BALANCED_DEPTH × opp_pl_two_strike_secondary_pct_last_5_LOW,away_bp_BALANCED_DEPTH,opp_pl_two_strike_secondary_pct_last_5_LOW,2,109,-2.087960742695707,-0.44954128440366975,-1.0253069096401162,0.7850538522139224,-1.5337916369955642,3,4,UNDER,PLAUSIBLE,167,-0.5604285599565964,0.24550898203592814,UNDER,True,73.15904707896745,WEAK,176,-0.9692655530686094,0.03125,UNDER,True,53.578363172804764,THREE_STAGE_SURVIVOR,8.521408985446106,8.482705993749583,143
away_bp_DEPLETED_BRIDGE × opp_sp_contact_barrel_allowed_last_10_LOW,away_bp_DEPLETED_BRIDGE,opp_sp_contact_barrel_allowed_last_10_LOW,2,89,2.2097851512881124,1.5168539325842696,0.9892890948741678,0.30599335392993704,2.001060636728845,3,3,OVER,PLAUSIBLE,108,0.8924925799604382,0.7962962962962963,OVER,True,59.61179395923659,PASS,113,1.0117504458413331,0.7876106194690266,OVER,True,54.214985775808536,THREE_STAGE_SURVIVOR,3.4356947400425684,3.3644254445705846,99
away_bp_DEPLETED_BRIDGE × wind_speed_HIGH,away_bp_DEPLETED_BRIDGE,wind_speed_HIGH,2,109,2.5018272516875846,1.5412844036697249,0.9892890948741678,0.755178115552178,2.303569922680819,4,4,OVER,PLAUSIBLE,182,0.5684751390343926,0.6098901098901099,OVER,True,77.27760225447489,WEAK,112,1.1394156235898198,0.84375,OVER,True,54.456662712374026,THREE_STAGE_SURVIVOR,7.386363636363631,7.324804878437341,128
away_bp_DEPLETED_BRIDGE × opp_pl_primary_pitch_pct_last_3_HIGH,away_bp_DEPLETED_BRIDGE,opp_pl_primary_pitch_pct_last_3_HIGH,2,100,2.0180789458608475,1.37,0.9892890948741678,0.857267483780193,1.8192460016036418,4,4,OVER,PLAUSIBLE,146,0.4985936521368623,0.6061643835616438,OVER,True,75.2936497772054,WEAK,120,0.7580754029018105,0.6708333333333333,OVER,True,62.43579050974937,THREE_STAGE_SURVIVOR,-1.8181818181818212,-1.8360549669137027,116
home_st_DEEP_STABLE × opp_pl_pfx_x_mean_last_5_HIGH,home_st_DEEP_STABLE,opp_pl_pfx_x_mean_last_5_HIGH,2,51,-2.2808285990061887,-0.9901960784313726,0.01343486327254868,0.139546585524144,-2.835933845832636,4,4,UNDER,PLAUSIBLE,68,-0.6477198680491468,0.09558823529411764,UNDER,True,71.6015544380944,WEAK,58,-1.0620583981486578,-0.2672413793103448,UNDER,True,53.43541383989039,THREE_STAGE_SURVIVOR,11.91222570532915,12.125602205331631,58
home_st_SHORT_LEASH_VOLATILE × damage_hr_rate_last_15_HIGH,home_st_SHORT_LEASH_VOLATILE,damage_hr_rate_last_15_HIGH,2,78,2.0483551014566292,1.5064102564102564,0.05344399991365764,1.2139089817460627,2.8501381042184177,4,3,OVER,PLAUSIBLE,106,0.06578375317992045,0.45754716981132076,OVER,True,96.78845952378373,WEAK,107,1.505454909699178,1.014018691588785,OVER,True,26.504202878269652,THREE_STAGE_SURVIVOR,0.5139736588499785,0.5166706844516034,94
home_st_INEFFICIENT_PITCHER × PATH_ASYMMETRY,home_st_INEFFICIENT_PITCHER,PATH_ASYMMETRY,2,80,-2.2464182718417396,-0.68125,-1.1367892034029372,-0.6081355275572496,-2.274975420294585,3,4,UNDER,PLAUSIBLE,144,-0.34154380300067505,0.3090277777777778,UNDER,True,84.79607260669856,WEAK,121,-0.7790281136452935,0.04132231404958678,UNDER,True,65.32132402009879,THREE_STAGE_SURVIVOR,7.706919945725914,7.735673665948983,111
home_st_INEFFICIENT_PITCHER × opp_sp_workload_ip_last_3_LOW,home_st_INEFFICIENT_PITCHER,opp_sp_workload_ip_last_3_LOW,2,129,-2.5243843347608523,-0.5503875968992248,-1.1367892034029372,0.06536066830136861,-4.838059699024934,3,4,UNDER,PLAUSIBLE,188,-1.341758224530434,0.013297872340425532,UNDER,True,46.84810050298678,PASS,202,-1.1841367932518285,-0.01485148514851485,UNDER,True,53.092055874922565,THREE_STAGE_SURVIVOR,13.10319898789083,13.321469638805272,167
home_st_INEFFICIENT_PITCHER × batting_total_bip_last_5_LOW,home_st_INEFFICIENT_PITCHER,batting_total_bip_last_5_LOW,2,126,-2.1240534839800653,-0.4007936507936508,-1.1367892034029372,-1.4272063918184266,-2.8850348557672447,3,3,UNDER,PLAUSIBLE,216,-2.41811410450348,-0.2708333333333333,UNDER,True,-13.844313372580533,PASS,212,-1.6691245140430007,-0.15566037735849056,UNDER,True,21.41796208844119,THREE_STAGE_SURVIVOR,13.104631217838762,13.240170809224129,176
away_st_DEEP_STABLE × contact_barrel_rate_last_10_HIGH,away_st_DEEP_STABLE,contact_barrel_rate_last_10_HIGH,2,61,2.3234414869340787,1.8032786885245902,1.2843679406103137,0.9559884670015225,2.2515940917155763,3,3,OVER,PLAUSIBLE,76,0.061796698365803655,0.4605263157894737,OVER,True,97.34029461411795,WEAK,97,0.7815961932325542,0.7164948453608248,OVER,True,66.36040986494058,THREE_STAGE_SURVIVOR,5.502392344497608,5.929842828925813,76
home_lu_STABLE_DEEP × contact_xslg_last_10_LOW,home_lu_STABLE_DEEP,contact_xslg_last_10_LOW,2,102,-2.3400532254584347,-0.5931372549019608,-1.0568999277632503,-0.43362410223436787,-2.921039356293545,3,4,UNDER,PLAUSIBLE,261,-2.226880552072151,-0.15708812260536398,UNDER,True,4.836329026837082,PASS,292,-0.9442008236428652,0.1113013698630137,UNDER,True,59.650455238773944,THREE_STAGE_SURVIVOR,7.235327963176058,7.243630510149512,210
home_lu_STABLE_DEEP × opp_sp_contact_barrel_allowed_last_10_LOW,home_lu_STABLE_DEEP,opp_sp_contact_barrel_allowed_last_10_LOW,2,96,-2.1813598433568577,-0.5520833333333334,-1.0568999277632503,0.30599335392993704,-2.4217646107079283,4,4,UNDER,PLAUSIBLE,161,-0.21787974602031768,0.35714285714285715,UNDER,True,90.01174672377638,WEAK,127,-2.085948501551368,-0.47244094488188976,UNDER,True,4.373938673899063,THREE_STAGE_SURVIVOR,9.529612478674137,9.648763239989023,124
home_lu_STABLE_DEEP × opp_sp_workload_pitches_last_3_HIGH,home_lu_STABLE_DEEP,opp_sp_workload_pitches_last_3_HIGH,2,120,-2.544665914765495,-0.5958333333333333,-1.0568999277632503,-0.08520997242771183,-3.043794127526301,4,4,UNDER,PLAUSIBLE,130,-1.1204576672073419,0.011538461538461539,UNDER,True,55.968378375100045,PASS,103,-1.611999534088446,-0.35436893203883496,UNDER,True,36.651820392815665,THREE_STAGE_SURVIVOR,11.834319526627219,11.456366525005501,112
home_lu_STABLE_DEEP × opp_sp_workload_pitches_last_5_HIGH,home_lu_STABLE_DEEP,opp_sp_workload_pitches_last_5_HIGH,2,95,-2.896142695260945,-0.8894736842105263,-1.0568999277632503,-0.4129354919324458,-3.4757251031570084,3,4,UNDER,PLAUSIBLE,115,-1.3892204357497429,-0.12173913043478261,UNDER,True,52.03204462186996,PASS,82,-0.9824571871157625,-0.12804878048780488,UNDER,True,66.0770448664912,THREE_STAGE_SURVIVOR,11.93590582079791,11.57029314546083,92
home_lu_STABLE_DEEP × opp_sp_workload_pitches_last_10_HIGH,home_lu_STABLE_DEEP,opp_sp_workload_pitches_last_10_HIGH,2,91,-2.1529709490842754,-0.5659340659340659,-1.0568999277632503,-0.022904466165574348,-2.485735467678152,4,4,UNDER,PLAUSIBLE,104,-1.4209542459604128,-0.16346153846153846,UNDER,True,34.00030564440323,PASS,85,-2.2455573241688596,-0.7352941176470589,UNDER,True,-4.30040057549146,THREE_STAGE_SURVIVOR,18.34954713183495,18.142116809636377,90
home_lu_STABLE_DEEP × opp_sp_damage_hr_rate_last_3_LOW,home_lu_STABLE_DEEP,opp_sp_damage_hr_rate_last_3_LOW,2,109,-2.1514140329406377,-0.47706422018348627,-1.0568999277632503,-1.5136448633881254,-2.6333041456127164,4,4,UNDER,PLAUSIBLE,202,-1.7323608908643404,-0.0891089108910891,UNDER,True,19.47803331483893,PASS,178,-2.8097152780914603,-0.5870786516853933,UNDER,True,-30.598538220513067,THREE_STAGE_SURVIVOR,10.483558994197288,10.591279076911553,156
home_lu_STABLE_DEEP × batting_total_bip_last_3_LOW,home_lu_STABLE_DEEP,batting_total_bip_last_3_LOW,2,94,-2.4455933958716174,-0.6861702127659575,-1.0568999277632503,-1.129341623454688,-2.672221508706813,4,3,UNDER,PLAUSIBLE,201,-3.1529796628999347,-0.5174129353233831,UNDER,True,-28.92493364687888,PASS,174,-1.0470012578160282,0.0028735632183908046,UNDER,True,57.18825297846073,THREE_STAGE_SURVIVOR,11.812265825281006,11.987688272192521,153
home_lu_STABLE_DEEP × batting_hard_hit_rate_last_3_LOW,home_lu_STABLE_DEEP,batting_hard_hit_rate_last_3_LOW,2,97,-2.079417517604259,-0.5,-1.0568999277632503,0.277120507132122,-2.5134720720895727,4,4,UNDER,PLAUSIBLE,209,-1.3867827971531947,0.0215311004784689,UNDER,True,33.30907403574552,PASS,152,-1.7712652969746827,-0.28618421052631576,UNDER,True,14.819160559184136,THREE_STAGE_SURVIVOR,7.681307456588357,7.602445522689716,148
home_lu_STABLE_DEEP × batting_total_bip_last_5_LOW,home_lu_STABLE_DEEP,batting_total_bip_last_5_LOW,2,87,-2.3007635671092523,-0.6609195402298851,-1.0568999277632503,-1.4272063918184266,-1.510491131718719,3,3,UNDER,PLAUSIBLE,191,-3.492497581309526,-0.6465968586387435,UNDER,True,-51.797326384892465,PASS,151,-0.8926993460031549,0.033112582781456956,UNDER,True,61.19986604600277,THREE_STAGE_SURVIVOR,12.006046210321742,12.118642670011104,140
home_lu_STABLE_DEEP × opp_pl_arm_angle_mean_last_3_LOW,home_lu_STABLE_DEEP,opp_pl_arm_angle_mean_last_3_LOW,2,103,-2.2841942904729517,-0.5631067961165048,-1.0568999277632503,-0.9608811300621997,-3.864143015387931,4,3,UNDER,PLAUSIBLE,173,-0.8910613431799554,0.1416184971098266,UNDER,True,60.99012475005103,WEAK,212,-1.6385711634919153,-0.14622641509433962,UNDER,True,28.264807843791495,THREE_STAGE_SURVIVOR,7.036896158235067,6.9141590828933674,159
home_lu_STABLE_DEEP × opp_pl_arm_angle_mean_last_5_LOW,home_lu_STABLE_DEEP,opp_pl_arm_angle_mean_last_5_LOW,2,98,-2.5473936893457614,-0.7091836734693877,-1.0568999277632503,-1.0650160817808891,-3.625465916404402,4,4,UNDER,PLAUSIBLE,165,-1.123541093275465,0.05757575757575758,UNDER,True,55.894485490225875,PASS,201,-1.3697046430879232,-0.07462686567164178,UNDER,True,46.231136207309206,THREE_STAGE_SURVIVOR,7.649179014817779,7.5483944806824965,151
home_lu_STABLE_DEEP × opp_pl_pfx_z_mean_last_5_LOW,home_lu_STABLE_DEEP,opp_pl_pfx_z_mean_last_5_LOW,2,91,-2.00250480169188,-0.4945054945054945,-1.0568999277632503,-1.1457044901171118,-2.5604429006134177,3,4,UNDER,PLAUSIBLE,162,-0.3818507761561083,0.30246913580246915,UNDER,True,80.93134279460956,WEAK,182,-1.2772755363219932,-0.06593406593406594,UNDER,True,36.21610618646975,THREE_STAGE_SURVIVOR,3.390196501835452,3.730562332919507,140
home_lu_STABLE_DEEP × exit_prob_by_5_baseline_LOW,home_lu_STABLE_DEEP,exit_prob_by_5_baseline_LOW,2,103,-2.164522932867423,-0.5097087378640777,-1.0568999277632503,0.12919210190732616,-1.8900066565540001,3,4,UNDER,PLAUSIBLE,162,-0.4832519720835753,0.26851851851851855,UNDER,True,77.67397310762637,WEAK,165,-1.5559212378733307,-0.18484848484848485,UNDER,True,28.11712852530767,THREE_STAGE_SURVIVOR,3.2187907785993874,2.984977295021163,139
home_lu_HIGH_TURNOVER × contact_barrel_rate_last_7_HIGH,home_lu_HIGH_TURNOVER,contact_barrel_rate_last_7_HIGH,2,80,2.2346109558282747,1.5875,1.6856482469305967,1.1086353022584954,2.194459335824809,4,4,OVER,PLAUSIBLE,82,0.782956465680945,0.7987804878048781,OVER,True,64.96229181912622,WEAK,96,1.645141865916686,1.1145833333333333,OVER,True,26.37904769839892,THREE_STAGE_SURVIVOR,-0.727272727272731,-0.22085536837261888,83
home_lu_HIGH_TURNOVER × contact_la_last_15_HIGH,home_lu_HIGH_TURNOVER,contact_la_last_15_HIGH,2,83,2.3061195426871275,1.6024096385542168,1.6856482469305967,1.0349437266171984,2.2538744206447174,4,4,OVER,PLAUSIBLE,138,2.0098592944666698,1.1594202898550725,OVER,True,12.846699519975905,PASS,101,2.8920633357551973,1.6534653465346534,OVER,True,-25.408214198008082,THREE_STAGE_SURVIVOR,5.923753665689143,5.889244029788099,103
home_lu_HIGH_TURNOVER × contact_la_last_20_HIGH,home_lu_HIGH_TURNOVER,contact_la_last_20_HIGH,2,68,2.717629912132248,1.9485294117647058,1.6856482469305967,1.2349637176435766,2.9371501065952836,4,4,OVER,PLAUSIBLE,144,1.232629450860066,0.8680555555555556,OVER,True,54.64321888137642,PASS,101,2.936328908361916,1.6732673267326732,OVER,True,-8.047416436407893,THREE_STAGE_SURVIVOR,6.201083684527391,6.178883702269178,100
home_lu_HIGH_TURNOVER × contact_xwoba_last_7_HIGH,home_lu_HIGH_TURNOVER,contact_xwoba_last_7_HIGH,2,91,2.2799932394762976,1.5384615384615385,1.6856482469305967,1.02968004264282,2.1896687392436234,3,3,OVER,PLAUSIBLE,77,0.35741861306462114,0.6038961038961039,OVER,True,84.32369855856598,WEAK,63,1.5507771623653934,1.2380952380952381,OVER,True,31.98325611168923,THREE_STAGE_SURVIVOR,-1.1665325824617876,-0.791703494582241,75
home_lu_HIGH_TURNOVER × contact_xslg_last_7_HIGH,home_lu_HIGH_TURNOVER,contact_xslg_last_7_HIGH,2,84,2.811427051933772,1.8452380952380953,1.6856482469305967,1.4928842323881168,2.632346927591469,4,3,OVER,PLAUSIBLE,71,0.31879779016085275,0.5915492957746479,OVER,True,88.66064157910213,WEAK,56,1.5710736037781234,1.3035714285714286,OVER,True,44.11828673635696,THREE_STAGE_SURVIVOR,1.0150044130626668,1.460052339060236,68
home_lu_HIGH_TURNOVER × contact_xslg_last_20_HIGH,home_lu_HIGH_TURNOVER,contact_xslg_last_20_HIGH,2,74,2.047140711526991,1.5337837837837838,1.6856482469305967,1.3823468689261706,2.3427338358427714,4,4,OVER,PLAUSIBLE,66,0.8116271307955502,0.8560606060606061,OVER,True,60.35313419221945,WEAK,36,1.0584134740897275,1.1527777777777777,OVER,True,48.297961731206925,THREE_STAGE_SURVIVOR,3.5049288061336226,3.831369231241455,55
home_lu_HIGH_TURNOVER × damage_iso_last_20_HIGH,home_lu_HIGH_TURNOVER,damage_iso_last_20_HIGH,2,72,2.2032160117066257,1.6319444444444444,1.6856482469305967,1.3876105529005496,2.1833975772386793,4,3,OVER,PLAUSIBLE,77,1.1864180319729545,1.0064935064935066,OVER,True,46.15062591824815,PASS,57,1.2225535555691653,1.087719298245614,OVER,True,44.51049969348365,THREE_STAGE_SURVIVOR,-0.13986013986014384,-0.07242136413165845,65
home_lu_HIGH_TURNOVER × opp_sp_workload_pitches_last_3_HIGH,home_lu_HIGH_TURNOVER,opp_sp_workload_pitches_last_3_HIGH,2,74,2.136986624310946,1.5810810810810811,1.6856482469305967,-0.08520997242771183,2.008835512328708,3,4,OVER,PLAUSIBLE,79,0.22453847728381748,0.5379746835443038,OVER,True,89.49275233034189,WEAK,53,1.770110877458515,1.4528301886792452,OVER,True,17.167900944196457,THREE_STAGE_SURVIVOR,2.7972027972027966,2.948267522726944,65
home_lu_HIGH_TURNOVER × opp_sp_damage_hr_rate_last_10_HIGH,home_lu_HIGH_TURNOVER,opp_sp_damage_hr_rate_last_10_HIGH,2,56,2.1971577777792115,1.7857142857142858,1.6856482469305967,1.3409929788648376,2.8588278852581728,3,3,OVER,PLAUSIBLE,69,0.7008186001783425,0.7898550724637681,OVER,True,68.10340125474747,WEAK,59,1.1808202794345692,1.0508474576271187,OVER,True,46.25691921733134,THREE_STAGE_SURVIVOR,7.523510971786836,7.481994567550987,58
home_lu_HIGH_TURNOVER × batting_xwoba_contact_last_3_HIGH,home_lu_HIGH_TURNOVER,batting_xwoba_contact_last_3_HIGH,2,80,2.4074330197053557,1.675,1.6856482469305967,0.677013216359469,2.8505301017401066,4,4,OVER,PLAUSIBLE,81,0.994543982468043,0.9012345679012346,OVER,True,58.68861254591562,PASS,76,0.8588653658028562,0.8026315789473685,OVER,True,64.32443358661034,THREE_STAGE_SURVIVOR,1.0695187165775384,1.2278951535744875,73
home_lu_HIGH_TURNOVER × opp_pl_heart_drift_last_3_LOW,home_lu_HIGH_TURNOVER,opp_pl_heart_drift_last_3_LOW,2,69,2.885120279648045,2.028985507246377,1.6856482469305967,1.7351897116480146,2.8749762122895497,4,4,OVER,PLAUSIBLE,92,1.2699918005569613,0.9945652173913043,OVER,True,55.98132218210717,PASS,71,1.5960159066471828,1.2112676056338028,OVER,True,44.68113104657528,THREE_STAGE_SURVIVOR,12.0,11.596978081981945,75
