gate,combo,N,gate_base_pct,NRFI_pct,delta_pp,z,ROI_m135
gate_D,pitcher_park+cold,143,52.8,60.8,8.0,1.97,5.9
gate_D,pitcher_park+windy,727,52.8,54.9,2.1,1.13,-4.5
gate_D,hitter_park+windy,386,52.8,55.2,2.4,0.94,-4.0
gate_D,cold+windy,272,52.8,54.0,1.3,0.41,-6.0
gate_D,strong_wind,411,52.8,57.2,4.4,1.8,-0.5
gate_D,strong_wind+outdoor,411,52.8,57.2,4.4,1.8,-0.5
gate_D,ump_under+cold,116,52.8,50.9,-1.9,-0.42,-11.5
gate_D,ump_under+windy,451,52.8,54.5,1.8,0.75,-5.1
gate_D,indoor,316,52.8,50.0,-2.8,-0.99,-13.0
gate_D,outdoor+calm,2981,52.8,52.8,0.0,0.05,-8.1
gate_D,outdoor+windy,1737,52.8,54.3,1.6,1.3,-5.4
gate_D,warm+hitter_park,590,52.8,52.4,-0.4,-0.2,-8.9
gate_D,cold+pitcher_park,143,52.8,60.8,8.0,1.97,5.9
gate_D,pf_94,611,52.8,57.0,4.2,2.08,-0.9
gate_D,pf_96,321,52.8,55.8,3.0,1.07,-3.0
gate_D,pf_104,427,52.8,51.5,-1.3,-0.52,-10.4
