game_id,game_date,season_year,home_team,away_team,home_score,away_score,total_goals,home_goals_reg,away_goals_reg,went_to_ot,went_to_so,ot_goals,reg_total_goals,home_goalie_id,home_goalie_name,home_goalie_starter,home_goalie_sa,home_goalie_ga,home_goalie_toi,away_goalie_id,away_goalie_name,away_goalie_starter,away_goalie_sa,away_goalie_ga,away_goalie_toi,home_pp_opportunities,home_pp_goals,home_pk_goals_against,away_pp_opportunities,away_pp_goals,away_pk_goals_against,home_pp_pct,away_pp_pct,home_pk_pct,away_pk_pct,home_rest_days,home_is_b2b,home_games_last_7,away_rest_days,away_is_b2b,away_games_last_7,home_xgoals,home_xgoals_against,home_corsi_pct,home_fenwick_pct,home_shots_on_goal,home_hd_shots,home_hd_shots_against,away_xgoals,away_xgoals_against,away_corsi_pct,away_fenwick_pct,away_shots_on_goal,away_hd_shots,away_hd_shots_against,total_line,over_price,under_price,moneypuck_available,market_available,pregame_confirmed
2021020009,2021-10-14,2021,DET,TBL,6,7,13,6,6,True,False,1,12,8477968,A. Nedeljkovic,True,48,7,62:43,8476883,A. Vasilevskiy,True,26,6,62:07,5,1,0,7,3,0,0.2,0.4286,1.0,1.0,,False,0,2,False,1,4.404,4.736,0.3947,0.3804,26.0,5.0,5.0,4.736,4.404,0.6053,0.6196,48.0,5.0,5.0,6.0,100,-120,True,True,
2021020014,2021-10-14,2021,NSH,SEA,3,4,7,3,4,False,False,0,7,8477424,J. Saros,True,25,3,59:06,8475831,P. Grubauer,True,30,3,59:59,2,1,0,2,2,0,0.5,1.0,1.0,1.0,,False,0,2,False,1,3.06,3.051,0.5543,0.5735,30.0,4.0,3.0,3.051,3.06,0.4457,0.4265,26.0,3.0,4.0,5.5,-115,-105,True,True,
2021020016,2021-10-14,2021,LAK,VGK,6,2,8,6,2,False,False,0,8,8477361,C. Petersen,True,25,2,59:43,8475215,R. Lehner,True,31,4,40:00,2,2,0,1,0,0,1.0,0.0,1.0,1.0,,False,0,2,False,1,4.044,2.688,0.6563,0.6596,47.0,4.0,3.0,2.688,4.044,0.3438,0.3404,25.0,3.0,4.0,5.5,-120,100,True,True,
2021020017,2021-10-15,2021,NJD,CHI,4,3,7,3,3,True,False,1,6,8473541,J. Bernier,True,27,3,60:57,8480947,K. Lankinen,True,29,4,58:07,2,0,0,5,2,0,0.0,0.4,1.0,1.0,,False,0,2,False,1,3.415,4.344,0.5,0.5443,29.0,4.0,3.0,4.344,3.415,0.5,0.4557,27.0,3.0,4.0,6.5,100,-120,True,True,
2021020018,2021-10-15,2021,PHI,VAN,4,5,9,4,4,True,True,0,8,8479394,C. Hart,True,39,4,63:27,8477967,T. Demko,True,35,4,64:10,3,1,0,4,2,0,0.3333,0.5,1.0,1.0,,False,0,2,False,1,3.209,4.67,0.4806,0.4947,35.0,5.0,5.0,4.67,3.209,0.5194,0.5053,39.0,5.0,5.0,6.0,-115,-105,True,True,
2021020019,2021-10-15,2021,ANA,MIN,1,2,3,1,2,False,False,0,3,8476932,A. Stolarz,True,43,2,59:55,8475660,C. Talbot,True,29,1,59:27,4,1,0,5,1,0,0.25,0.2,1.0,1.0,2,False,1,,False,0,1.858,3.214,0.4394,0.4175,29.0,0.0,2.0,3.214,1.858,0.5606,0.5825,43.0,2.0,0.0,5.5,100,-120,True,True,
2021020021,2021-10-16,2021,BUF,ARI,2,1,3,1,1,True,True,0,2,8474682,D. Tokarski,True,21,1,65:00,8478872,K. Vejmelka,True,33,1,65:00,2,1,0,2,0,0,0.5,0.0,1.0,1.0,2,False,1,2,False,1,2.427,1.023,0.5889,0.6056,33.0,1.0,0.0,1.023,2.427,0.4111,0.3944,21.0,0.0,1.0,5.5,-120,100,True,True,
2021020025,2021-10-16,2021,FLA,NYI,5,1,6,5,1,False,False,0,6,8475683,S. Bobrovsky,True,30,1,60:00,8478009,I. Sorokin,True,29,5,60:00,1,0,0,4,1,0,0.0,0.25,1.0,1.0,2,False,1,2,False,1,2.586,3.607,0.5537,0.5057,29.0,2.0,6.0,3.607,2.586,0.4463,0.4943,30.0,6.0,2.0,5.5,-125,105,True,True,
2021020020,2021-10-16,2021,BOS,DAL,3,1,4,3,1,False,False,0,4,8480280,J. Swayman,True,28,1,59:48,8474651,B. Holtby,True,39,2,58:15,3,0,0,6,0,0,0.0,0.0,1.0,1.0,,False,0,2,False,1,2.978,2.6,0.5727,0.5714,40.0,1.0,5.0,2.6,2.978,0.4273,0.4286,28.0,5.0,1.0,5.5,115,-135,True,True,
2021020022,2021-10-16,2021,TOR,OTT,3,1,4,3,1,False,False,0,4,8475789,J. Campbell,True,21,1,60:00,8476341,A. Forsberg,True,29,3,57:29,3,0,0,2,1,0,0.0,0.5,1.0,1.0,2,False,2,2,False,1,3.561,2.172,0.6018,0.561,29.0,3.0,1.0,2.172,3.561,0.3982,0.439,21.0,1.0,3.0,6.0,-120,100,True,True,
