game_id,game_date,home_team,away_team,closing_line,home_csw_pct,away_csw_pct,home_starter,away_starter,predicted_side,actual_total,market_error,result,juice_available,went_extra_innings
823081,2026-03-26,STL,TBR,7.5,27.33,23.3,Matthew Liberatore,Drew Rasmussen,OVER,,,,,
823324,2026-03-27,SDP,DET,7.5,27.65,26.17,Michael King,Framber Valdez,OVER,None,None,None,None,None
