game_id,date,season,home_team,away_team,home_ortg,home_drtg,home_pace,away_ortg,away_drtg,away_pace,home_ortg_x_away_drtg,away_ortg_x_home_drtg,home_ortg_trend,away_ortg_trend,home_pace_trend,away_pace_trend,home_3pa_rate,away_3pa_rate,home_ft_rate,away_ft_rate,home_pace_vol,away_pace_vol,home_tov_rate,away_tov_rate,home_dreb_rate,away_dreb_rate,home_ortg_fb,home_drtg_fb,home_pace_fb,away_ortg_fb,away_drtg_fb,away_pace_fb,home_games_in_season,away_games_in_season,injury_adj_home,injury_adj_away,proj_total_naive,actual_total,home_score,away_score,days_rest_home,b2b_flag_home,games_l7_home,days_rest_away,b2b_flag_away,games_l7_away,rolling_league_avg,close_total,opening_total,home_3par_season,home_FTr_season,home_opp_FTr_season,away_3par_season,away_FTr_season,away_opp_FTr_season,combined_3par,foul_environment_score,team_pair,meeting_number,natl_tv,national_tv_flag,holiday_flag,game_spread,ref_1,ref_2,ref_3,attendance,crew_avg_pts,crew_avg_ft_rate,went_ot,home_win_pct_last10,home_streak,home_cover_pct_last10,home_pts_scored_last10,home_pts_allowed_last10,home_pace_proxy_last10,home_total_last10,away_win_pct_last10,away_streak,away_cover_pct_last10,away_pts_scored_last10,away_pts_allowed_last10,away_pace_proxy_last10,away_total_last10,home_3in4,away_3in4,game_month,day_of_week,days_into_season,is_early_season,is_late_season,line_move,line_move_direction,combined_pace_proxy,prior_meeting_over_rate,prior_meeting_avg_me,closing_line_percentile,line_vs_recent_env,home_opp_tov_rate,away_opp_tov_rate,combined_tov_env,rest_asymmetry,rest_asymmetry_large,rest_asymmetry_home_advantage,rest_asymmetry_away_advantage,high_foul_environment,low_foul_environment,bilateral_foul_environment,is_tanking_candidate,is_seeding_game,short_rotation_proxy,early_season_anchor,home_schedule_harder,away_schedule_harder,schedule_compression_flag,high_variance_environment
22200012,2022-10-19,2022-23,UTA,DEN,112.0,112.0,101.4,112.0,112.0,101.4,12544.0,12544.0,0.0,0.0,0.0,0.0,0.36,0.36,0.28,0.28,3.0,3.0,0.14,0.14,0.74,0.74,league_average,league_average,league_average,league_average,league_average,league_average,0,0,0.0,0.0,227.14,225,123,102,7,0,0,7,0,0,228.08,221.0,221.0,0.4218658536585366,0.2687012195121951,0.2678024390243902,0.3611,0.2603597560975609,0.2630048780487805,0.7829658536585367,0.5281621951219513,DEN_vs_UTA,1,,0,0,,Tony Brothers,Kevin Cutler,Lauren Holtkamp,18206.0,231.41517259032375,0.2637180655689067,0,,,,,,,,,,,,,,,0,0,10,2,1,1,0,0.0,0,,,,15.63517915309446,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22200011,2022-10-19,2022-23,SAS,CHA,112.0,112.0,101.4,112.0,112.0,101.4,12544.0,12544.0,0.0,0.0,0.0,0.0,0.36,0.36,0.28,0.28,3.0,3.0,0.14,0.14,0.74,0.74,league_average,league_average,league_average,league_average,league_average,league_average,0,0,0.0,0.0,227.14,231,102,129,7,0,0,7,0,0,227.96,225.5,226.0,0.34795,0.2319926829268292,0.2624121951219512,0.3600914634146341,0.2620073170731707,0.2691804878048781,0.7080414634146341,0.524419512195122,CHA_vs_SAS,1,,0,0,,Bill Kennedy,Brandon Schwab,Michael Smith,16236.0,227.85143557422967,0.255839889414099,0,,,,,,,,,,,,,,,0,0,10,2,1,1,0,-0.5,-1,,,,34.32410423452769,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22200008,2022-10-19,2022-23,TOR,CLE,112.0,112.0,101.4,112.0,112.0,101.4,12544.0,12544.0,0.0,0.0,0.0,0.0,0.36,0.36,0.28,0.28,3.0,3.0,0.14,0.14,0.74,0.74,league_average,league_average,league_average,league_average,league_average,league_average,0,0,0.0,0.0,227.14,213,108,105,7,0,0,7,0,0,228.69,214.5,213.5,0.3508634146341463,0.2601890243902439,0.2833463414634146,0.3713780487804878,0.2651536585365853,0.2707621951219512,0.7222414634146341,0.5485,CLE_vs_TOR,1,,0,0,,Ray Acosta,Karl Lane,Josh Tiven,19800.0,227.79895552927184,0.2520730181210157,0,,,,,,,,,,,,,,,0,0,10,2,1,1,0,1.0,1,,,,3.2166123778501627,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22200004,2022-10-19,2022-23,IND,WAS,112.0,112.0,101.4,112.0,112.0,101.4,12544.0,12544.0,0.0,0.0,0.0,0.0,0.36,0.36,0.28,0.28,3.0,3.0,0.14,0.14,0.74,0.74,league_average,league_average,league_average,league_average,league_average,league_average,0,0,0.0,0.0,227.14,221,107,114,7,0,0,7,0,0,229.65,228.0,227.5,0.4131439024390244,0.2676719512195122,0.2895634146341463,0.364670731707317,0.2616536585365854,0.2467426829268292,0.7778146341463414,0.5512170731707318,IND_vs_WAS,1,,0,0,,Brent Barnaky,Scott Foster,Ashley Moyer-Gleich,15027.0,228.64959403439056,0.2558285888263011,0,,,,,,,,,,,,,,,0,0,10,2,1,1,0,0.5,1,,,,46.33550488599349,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22200016,2022-10-20,2022-23,LAL,LAC,92.37,105.92,117.06,112.0,112.0,101.4,10345.44,11863.04,0.0,0.0,0.0,0.0,0.4255,0.36,0.266,0.28,3.0,3.0,0.1864,0.14,0.78,0.74,overall_rolling,overall_rolling,overall_rolling,league_average,league_average,league_average,1,0,0.0,0.0,223.23,200,97,103,1,0,1,7,0,0,226.67,220.5,224.0,0.3501939024390244,0.302459756097561,0.2254817073170731,0.3888414634146341,0.2803451219512195,0.2561951219512195,0.7390353658536586,0.5058268292682927,LAC_vs_LAL,1,TNT,1,0,,Kevin Cutler,Eric Lewis,Leon Wood,18997.0,225.64508233199825,0.2676807242990654,0,0.0,-1.0,1.0,109.0,123.0,116.0,,,,,,,,,0,0,10,3,2,1,0,-3.5,-1,,,,14.169381107491857,,0.155,,,-6,1,0,1,0,0,0,0,0,0,1,0,0,0,0
22200015,2022-10-20,2022-23,PHI,MIL,114.35,126.86,100.82,112.0,112.0,101.4,12807.2,14208.32,0.0,0.0,0.0,0.0,0.425,0.36,0.35,0.28,3.0,3.0,0.1368,0.14,0.8182,0.74,overall_rolling,overall_rolling,overall_rolling,league_average,league_average,league_average,1,0,0.0,0.0,228.86,178,88,90,1,0,1,7,0,0,227.62,225.0,225.0,0.3906195121951219,0.303230487804878,0.2782926829268293,0.4460414634146342,0.2505878048780487,0.2267451219512195,0.836660975609756,0.5288804878048781,MIL_vs_PHI,1,TNT,1,0,,Jacyn Goble,Jonathan Sterling,James Williams,20060.0,227.71436622072216,0.2493585474396914,0,0.0,-1.0,1.0,117.0,126.0,121.5,,,,,,,,,0,0,10,3,2,1,0,0.0,0,,,,31.881107491856675,,0.1108,,,-6,1,0,1,0,0,0,0,0,0,1,0,0,0,0
22200018,2022-10-21,2022-23,IND,SAS,97.95,108.0,107.4,93.37,122.72,107.18,12020.42,10083.96,0.0,0.0,0.0,0.0,0.433,0.3434,0.2165,0.2121,3.0,3.0,0.1373,0.1373,0.6818,0.6818,overall_rolling,overall_rolling,overall_rolling,overall_rolling,overall_rolling,overall_rolling,1,1,0.0,0.0,205.27,271,134,137,1,0,1,1,0,1,224.66,232.0,231.0,0.4131439024390244,0.2676719512195122,0.2895634146341463,0.34795,0.2319926829268292,0.2624121951219512,0.7610939024390244,0.5215560975609755,IND_vs_SAS,1,,0,0,,Mousa Dagher,Mitchell Ervin,Ben Taylor,12073.0,228.6212513284037,0.2574456791809942,0,0.0,-1.0,0.0,107.0,114.0,110.5,221.0,0.0,-1.0,1.0,102.0,129.0,115.5,,0,0,10,4,3,1,0,1.0,1,113.0,,,67.10097719869707,119.0,0.161,0.1427,0.5783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22200026,2022-10-21,2022-23,GSW,DEN,105.92,92.37,117.06,100.08,116.43,103.78,12332.27,9244.39,0.0,0.0,0.0,0.0,0.4545,0.2651,0.2323,0.2169,3.0,3.0,0.155,0.206,0.8043,0.6944,overall_rolling,overall_rolling,overall_rolling,overall_rolling,overall_rolling,overall_rolling,1,1,0.0,0.0,227.47,251,123,128,2,0,1,1,0,1,225.0,229.5,229.5,0.4796304878048781,0.2263646341463414,0.2815170731707317,0.3611,0.2603597560975609,0.2630048780487805,0.840730487804878,0.5418768292682927,DEN_vs_GSW,1,ESPN,1,0,,Brandon Adair,Courtney Kirkland,Gediminas Petraitis,18064.0,226.12998049433267,0.2515295167013849,0,1.0,1.0,1.0,123.0,109.0,116.0,232.0,0.0,-1.0,1.0,102.0,123.0,112.5,225.0,0,0,10,4,3,1,0,0.0,0,114.25,,,54.071661237785015,115.25,0.1864,0.1893,0.7367,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22200023,2022-10-21,2022-23,NYK,DET,100.97,102.57,101.0,107.05,106.49,103.96,10752.3,10980.12,0.0,0.0,0.0,0.0,0.3394,0.4043,0.1651,0.2553,3.0,3.0,0.1082,0.1232,0.6429,0.7436,overall_rolling,overall_rolling,overall_rolling,overall_rolling,overall_rolling,overall_rolling,1,1,0.0,0.0,213.18,236,130,106,1,0,1,1,0,1,221.82,219.0,217.5,0.4011768292682927,0.2867451219512195,0.2710878048780488,0.3736280487804878,0.2969682926829268,0.3004951219512195,0.7748048780487805,0.5680560975609756,DET_vs_NYK,1,,0,0,,Eric Dalen,JD Ralls,Sean Wright,19812.0,230.34865424430643,0.2536843961352657,0,0.0,-1.0,1.0,112.0,115.0,113.5,,1.0,1.0,1.0,113.0,109.0,111.0,,0,0,10,4,3,1,0,1.5,1,112.25,,,9.975570032573293,106.75,0.1249,0.1758,0.5321,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22200019,2022-10-21,2022-23,WAS,CHI,108.0,97.95,107.4,107.09,104.53,105.82,11289.24,10489.47,0.0,0.0,0.0,0.0,0.337,0.3871,0.2609,0.3011,3.0,3.0,0.161,0.1385,0.7647,0.8095,overall_rolling,overall_rolling,overall_rolling,overall_rolling,overall_rolling,overall_rolling,1,1,0.0,0.0,229.31,202,102,100,1,0,1,1,0,1,225.7,222.5,223.5,0.364670731707317,0.2616536585365854,0.2467426829268292,0.3332792682926829,0.2519512195121951,0.2540036585365853,0.6979500000000001,0.4986939024390244,CHI_vs_WAS,1,,0,0,,Brian Forte,Pat Fraher,Andy Nagy,20476.0,226.95173336104247,0.2599356658276953,0,1.0,1.0,0.0,114.0,107.0,110.5,,1.0,1.0,1.0,116.0,108.0,112.0,224.0,0,0,10,4,3,1,0,-1.0,-1,111.25,,,20.724755700325733,111.25,0.1373,0.1839,0.6207,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
