path_state,driver,driver_col,bet_side,disc_n,disc_roi,disc_win,val_n,val_roi,val_win,oos_n,oos_roi,oos_win,disc_p,verdict
BALANCED,BP quality diff,bp_quality_diff,over,356,0.058412529607643426,0.5393258426966292,421,-0.03792233014454763,0.4821852731591449,338,-0.12217291787574211,0.4526627218934911,0.0013633180834431422,WATCH
COMPRESSED_LOW,Temperature,temperature,over,220,0.16534875169844443,0.6090909090909091,351,0.05967986045661153,0.5441595441595442,261,-0.06822455769990801,0.47509578544061304,0.0006566670581489677,MONITOR
COMPRESSED_LOW,Park factor,park_factor_runs,over,257,0.1379250734271332,0.5953307392996109,464,-0.007251255021404918,0.5043103448275862,375,-0.05532716234890443,0.472,0.03518976174844402,WATCH
EARLY_HEAVY,Temperature,temperature,over,319,0.20241341431341672,0.6144200626959248,105,0.14400682187395286,0.5904761904761905,173,0.09090929206564842,0.5317919075144508,0.004590547510540193,PROMOTE
BALANCED,Temperature,temperature,over,803,-0.05598207275465399,0.4806973848069738,859,-0.021862991635016097,0.49243306169965073,749,-0.04257800520103519,0.4953271028037383,0.039510357428072976,REJECT
BALANCED,Avg SP IP vol,sp_fragility_avg,under,600,0.0604938535103978,0.5333333333333333,694,-0.04807764554045531,0.4769452449567723,697,-0.012911098115344816,0.5050215208034433,0.028075450851353184,WATCH
