game_pk,date,season,home_team,away_team,home_score,away_score,actual_total,actual_f5_total,park_factor_runs,temperature,wind_speed,wind_direction,home_rest_days,away_rest_days,umpire_over_rate,innings_played,completed_early,total_line,total_over_price,total_under_price,f5_line,late_implied,f5_ratio,actual_late_runs,actual_f5_share,path_state,fg_over,fg_under,fg_push,path_error,fg_error,home_sp_avg_ip,home_sp_fip,home_sp_ip_std,home_sp_k_rate,away_sp_avg_ip,away_sp_fip,away_sp_ip_std,away_sp_k_rate,home_bp_era,away_bp_era,sp_length_diff,bp_quality_diff,sp_fragility_max,sp_fragility_avg,sp_avg_ip_min,bp_era_avg,sp_fip_avg,sp_fip_max,split
718320,2023-05-03,2023,STL,LAA,4,6,10,7.0,97,65.0,6.7,330.0,1,1,0.985,9,False,7.5,-120.0,100.0,4.0,3.5,0.5333333333333333,3.0,0.7,COMPRESSED_LOW,1,0,0,-0.5,2.5,,,,,,,,,,,,,,,,,,,discovery
718320,2023-05-03,2023,STL,LAA,4,6,10,7.0,97,65.0,6.7,330.0,1,1,0.985,9,False,9.0,-105.0,-115.0,4.0,5.0,0.4444444444444444,3.0,0.7,ELEVATED_LATE,1,0,0,-2.0,1.0,,,,,,,,,,,,,,,,,,,discovery
718315,2023-05-03,2023,COL,MIL,7,1,8,4.0,117,75.6,6.1,147.0,1,1,1.0,9,False,12.0,-110.0,-110.0,7.0,5.0,0.5833333333333334,4.0,0.5,ELEVATED_LATE,0,1,0,-1.0,-4.0,,,,,,,,,,,,,,,,,,,discovery
718315,2023-05-03,2023,COL,MIL,7,1,8,4.0,117,75.6,6.1,147.0,1,1,1.0,9,False,12.5,-105.0,-115.0,7.0,5.5,0.56,4.0,0.5,ELEVATED_LATE,0,1,0,-1.5,-4.5,,,,,,,,,,,,,,,,,,,discovery
718319,2023-05-03,2023,OAK,SEA,2,7,9,0.0,95,54.5,3.2,172.0,1,1,1.0,10,False,7.5,-115.0,-105.0,4.0,3.5,0.5333333333333333,9.0,0.0,COMPRESSED_LOW,1,0,0,5.5,1.5,,,,,,,,,,,,,,,,,,,discovery
718319,2023-05-03,2023,OAK,SEA,2,7,9,0.0,95,54.5,3.2,172.0,1,1,1.0,10,False,8.0,-115.0,-105.0,4.0,4.0,0.5,9.0,0.0,LATE_HEAVY,1,0,0,5.0,1.0,,,,,,,,,,,,,,,,,,,discovery
718317,2023-05-04,2023,WSN,CHC,4,3,7,3.0,101,57.4,7.9,315.0,1,1,0.955,9,False,8.5,-105.0,-115.0,4.0,4.5,0.47058823529411764,4.0,0.42857142857142855,ELEVATED_LATE,0,1,0,-0.5,-1.5,,,,,,,,,,,,,,,,,,,discovery
718318,2023-05-04,2023,DET,NYM,2,0,2,2.0,99,55.2,3.6,349.0,1,1,0.973,9,False,7.5,-115.0,-105.0,4.0,3.5,0.5333333333333333,0.0,1.0,COMPRESSED_LOW,0,1,0,-3.5,-5.5,,,,,,,,,,,,,,,,,,,discovery
718309,2023-05-04,2023,TBR,PIT,3,2,5,2.0,97,72.0,0.0,0.0,1,1,1.0,9,False,8.0,-115.0,-105.0,2.5,5.5,0.3125,3.0,0.4,LATE_HEAVY,0,1,0,-2.5,-3.0,,,,,,,,,,,,,,,,,,,discovery
718311,2023-05-04,2023,STL,LAA,7,11,18,16.0,97,70.5,4.2,155.0,1,1,0.96,9,False,8.5,-115.0,-105.0,9.0,-0.5,1.0588235294117647,2.0,0.8888888888888888,EARLY_HEAVY,1,0,0,2.5,9.5,,,,,,,,,,,,,,,,,,,discovery
